title,desc,image_list,note_url
东西涌穿越不需要负重带水带食物太幸福了,"深圳户外最值得去的一定是东西涌穿越
导航深圳东涌海滩，问那边的店家穿越走哪里，一路上不知道问就对了
	
⭐️时间：匀速穿越，六小时，大概十个➕补给点，大一点的补给点都有休息一会儿
	
建议去的月份12月左右（这时候不冷不热，夏天肯定热中暑，现在11月底去都一身汗）
	
⭐️必带：手套，防晒衣，防晒帽，防晒口罩，墨镜，双肩包（这次的单肩包爬锁链的时候在身上跑来跑去不方便）
	
⭐️不必带：水，食物
水一路上都有很多地方卖，五元一瓶，两个补给（图七 图八）点有泡面（十元），水果，黄瓜等，图七还有厕所🚾可上
	
⭐️路线，图二出发点（11.44出发）
	
图三第一个打卡点，也算起点，图三过去后有个路标指路（一个长长的直立杆子）
	
图四图五是第一个绳索铁链后的礁石滩，沿着礁石往前走就是第一个小补给点
	
图七到达13:21
图八到达14:33
图十到达天文台下面16.34
图十一接近目的地17:10
本来以为到了天文台到达目的地还要俩小时，想坐船回去，结果一小时不到就到了，幸好没有坐船
	
⭐️大家一路上不知道怎走就跟着前面的人或者问店家，还是很容易知道路线的，我走的礁石路线，很多人走的山路，具体看怎么选择#
	
   ","https://sns-img-hw.xhscdn.net/6106391b-2ec2-13fb-2f06-41040f8e7108,https://sns-img-hw.xhscdn.net/4fa4b1bb-552a-d884-36d4-e4d7441cc33d,https://sns-img-hw.xhscdn.net/c2045126-d3c8-ca3b-9cab-375482f20e44,https://sns-img-hw.xhscdn.net/9b543d7e-ce13-6f7f-0362-1250b4352a62,https://sns-img-hw.xhscdn.net/b2bb04d7-e9a6-5132-06bc-294a24bcdeb0,https://sns-img-hw.xhscdn.net/566bfdf3-dce7-8af7-bc35-62168b489554,https://sns-img-hw.xhscdn.net/db33f0ef-404c-325d-56e1-d2fda9f79d65,https://sns-img-hw.xhscdn.net/d0c8c92d-70aa-6533-24a2-b9e37a0f960f,https://sns-img-hw.xhscdn.net/ae448cab-092a-45c3-97a4-d95228dbf3e2,https://sns-img-hw.xhscdn.net/ec150b88-fc0c-3776-95f0-cd101b470ed4,https://sns-img-hw.xhscdn.net/4d095a50-faf6-f687-ff92-a3cd6eca28bc",https://www.xiaohongshu.com/explore/6566be92000000003202c7e6
深圳东西涌｜海岸线徒步，爱惨了大海和落日😍,"深圳东西冲海岸线徒步实在太棒了🌟非常值得一去
永远为海滩和落日着迷🏖🌊🕶️⛱️🌄
	
广州出发东西涌徒步报团时间线一览🕑
早上7点半开始集合，8点左右出发
因为塞车等种种缘故
12点30到达，12点40开始徒步
走走停停拍拍照，一共耗时5小时左右
5点下山，5点半走到下面停车场
再走半小时才到我们团大巴的停车点
	
徒步路况🧗
全程路线基本是沿着海滩前行
全程8km左右
从东涌到西涌路况基本是大礁石不难走
上下山攀爬会稍微有点陡
部分路段说是连滚带爬一点都不过分
手脚并用，还挺好玩hhh
一般都有铁链子和绳子
抓紧铁链子or绳子慢慢走
人多的时候需要排队（勿催促）
	
友情提醒🌟需提前准备的物品
1⃣️手套手套手套很重要🧤下车就有小贩在卖，5块和6块，一次性用品，用完就丢
2⃣️尽量穿厚一点耐磨的裤子🤣（我穿瑜伽裤然而在岩石上拍照的时候不小心撕拉屁股处裂了个口子，后面全程套外套在腰间遮挡🥹）
3⃣️有抓力的专业登山鞋也非常必要👟
4⃣️防晒防晒防晒‼️防晒霜提前涂！墨镜🕶️也安排上
5⃣️可自己稍微带水/功能饮料、糖果巧克力🍫、面包水果等其他能量补给，不需要太多，轻装上阵即可（路上也有挺多补给点的）
	
徒步相关注意事项⚠️以下仅供参考
1⃣️一共有5个沙滩，前3个沙滩其实很近，走完前三个沙滩还有1/2的路程
2⃣️第三个沙滩的物品补给价格比第二个沙滩便宜一点（like泡面2号沙滩12块，3号沙滩10块，两个沙滩相隔不远），一路上都有小小的补给点的
3⃣️第2、3个海滩有厕所，环境一般般
4⃣️建议5点左右开始下山，可以看夕阳🌄
建议游玩时间4-6小时（有时间的话可以去玩玩水）
5⃣️下山后是有停车场的，也有不少海鲜餐厅等，但周末里面真的很塞车
6⃣️如果实在不想走走不动了，可以在第二三四海滩拼船，一艘船300，拼到4-6个朋友，人均50就可以坐船出去啦🛥️
还有一个问题我一直没搞清楚，到底是东西涌还是东西冲🤔️
	
         ","https://sns-img-hw.xhscdn.net/2b6eb9e2-3486-883c-eecf-adac1f4a5a44,https://sns-img-hw.xhscdn.net/b0668953-c578-21ad-2e5c-2da3549d1afe,https://sns-img-hw.xhscdn.net/a1171b37-7090-ea02-ac9f-bd1228a0907d,https://sns-img-hw.xhscdn.net/085ccee1-37c9-89fd-18aa-fa1bdf4aeb2b,https://sns-img-hw.xhscdn.net/2ef4168f-0ba7-04a4-0d73-a47094df91b8,https://sns-img-hw.xhscdn.net/5c0a7773-8503-762b-3ed8-40b017a8c5e4,https://sns-img-hw.xhscdn.net/f991e2bd-d71c-2f82-a944-ff3375903b63,https://sns-img-hw.xhscdn.net/08e18fd4-853f-7aec-8836-d77b87e50ab7,https://sns-img-hw.xhscdn.net/973ccd4c-4d68-06a4-6df4-d17b0a5f4f2c,https://sns-img-hw.xhscdn.net/3948d7de-5a52-0024-f5f8-d2fe09240dd3,https://sns-img-hw.xhscdn.net/85b2a5f3-0d69-c092-043f-ab3256aa1e18,https://sns-img-hw.xhscdn.net/257e79fc-1d2e-d63c-76d5-c5b3de34e8d9,https://sns-img-hw.xhscdn.net/d4e9f6f5-17d0-9496-ea3b-f963241723f0,https://sns-img-hw.xhscdn.net/43b85b0e-a3f0-3c2d-cf18-243e9421e5e5,https://sns-img-hw.xhscdn.net/0165613b-272b-37f2-d20f-b2f6f8759f2f,https://sns-img-hw.xhscdn.net/f6327d2e-e34b-6a44-1126-1e0d07f98338,https://sns-img-hw.xhscdn.net/12848a4d-e4bf-a027-9819-a68d1cb325a0,https://sns-img-hw.xhscdn.net/51cfc9c8-a7b5-0f96-f2ad-be614add2f46",https://www.xiaohongshu.com/explore/65635ef30000000032030502
风景绝了、但不会再来第二次“劝退”,"老早就听说深圳有个什么最难最刺激的海岸线
	
我实在是坐不住了
拉上几个老驴就出发了
去了东西涌望鱼岭、鱼翅石海岸线穿越
第一次从起步就开始后悔的海岸线
太他喵的刺激了、打s我都不会再去
	
恐高不要去
不会游泳不要去
没有买保险不要去
没有几个队友不要去
没有长时间户外经验不要去
	
喜欢挑战越野攀岩的可以去
	
求求了
我真的急需一双户外鞋、非常防滑的那种！
评论区告诉我，谢谢！
	
        ","https://sns-img-bd.xhscdn.com/48f30522-63bd-6395-8293-0f9776542965,https://sns-img-bd.xhscdn.com/ef1bcbd9-6b09-0b99-db0e-42528ec628cd,https://sns-img-bd.xhscdn.com/76245699-d466-c83d-eab9-f8eb5895e547,https://sns-img-bd.xhscdn.com/e25e14c1-3a6a-a634-90b7-d2209cb04751,https://sns-img-bd.xhscdn.com/04b47613-cde6-f777-7f3f-5830147477f8,https://sns-img-bd.xhscdn.com/1bf59ba9-4f4d-6ee9-10aa-00b0b37ad781,https://sns-img-bd.xhscdn.com/176b0d05-5d5d-ba8b-baf5-10545014b6ed,https://sns-img-bd.xhscdn.com/8a2c4f3f-5208-095c-0cab-b6d31767104a,https://sns-img-bd.xhscdn.com/9a9ca54f-5ddb-3f0e-f384-622715435324,https://sns-img-bd.xhscdn.com/3f155070-b53d-9880-53fc-321348e303f2,https://sns-img-bd.xhscdn.com/47f0973d-1950-c926-8528-00aa2c19a207",https://www.xiaohongshu.com/explore/64ef420b000000001e00dd16
倒霉蛋的东西涌穿越，小白可冲，全程公交,"东西涌穿越全长约9公里，用时4-5小时左右。🌊
	
1️⃣准备物资：穿舒适透气的衣物（建议长袖长裤），登山鞋（或者舒适防滑的鞋），防晒衣帽，擦汗巾，劳保手套（这个很重要），可以准备几颗糖🍬，食物跟水看个人情况提前准备，全程都有补给点水跟食物都很方便购买。（水5元，饮料8-10元）
	
2️⃣出发：深圳北站2楼乘坐E11，到南澳办事处转乘E231到东涌浴场，全程约2.5-3小时。下车之后一直走，看到人流很多的大部队跟上就对了。
	
3️⃣回来：西冲浴场乘坐M232到南澳办事处搭E11回北站。
	
4️⃣敲黑板🔶🔶🔶：很多小伙伴因为是第一次去，会把西涌天文台跟天文台栈道搞混了。天文台大概在全程的中间，不管是从东涌或者西涌上去，路程跟时间都是差不多的。想去天文台的小伙伴们要在公众号提前预约，不然是不让进的。天文台栈道大概在全程的最后三分之一段，想去栈道看风景，打卡的小伙伴，建议从西涌浴场上去。（大概1-1.5小时）
	
注意⚠️：🔸海滩旁边有船拼船50元/人，包船300，有坚持不下来的小伙伴可以搭船返回。
🔸西涌浴场出来之后不想搭公车🚌到E11总站的，可以搭叫卖佬的车拼车大概10元/人，记得讲价，不要搭贵了。🔸建议带一套轻便的衣服内衣裤，徒步完可以在公共厕所更换，接下来去游玩或者回程会更舒适。
🔸出发前一定要检查鞋的好坏，我就是倒霉蛋，才刚走六分之一鞋就坏了，在补给点买了一双足力健（60元）。
🔸照片滤镜是找了其他集美的攻略调的➡️王書婷。   
	
 ","https://sns-img-bd.xhscdn.com/4cc31344-e7f9-6b90-30df-bff97aa3afeb,https://sns-img-bd.xhscdn.com/b15a9cef-632b-25cf-c0c8-8a056d59cb4d,https://sns-img-bd.xhscdn.com/3c3a8fa1-2edd-e2c6-0cfd-9a4cf4a08648,https://sns-img-bd.xhscdn.com/0bed9eb3-9775-7132-6480-861895561c47,https://sns-img-bd.xhscdn.com/c9069ce1-cdfe-5a31-0e22-7bd90ed49f65,https://sns-img-bd.xhscdn.com/2a12ece1-b1a0-1e86-07d6-3c06f74606dd,https://sns-img-bd.xhscdn.com/31f1319f-914c-b8e0-2cb2-a68758d2985c,https://sns-img-bd.xhscdn.com/bcae54f1-67d3-3d9f-56c1-0434e6c28523,https://sns-img-bd.xhscdn.com/692b9367-4973-cbe2-d7ba-e298cc22c65d,https://sns-img-bd.xhscdn.com/1e1480e4-282a-723f-c96c-9d08534d14e8,https://sns-img-bd.xhscdn.com/566966fa-860e-999c-35e8-20c818170bad,https://sns-img-bd.xhscdn.com/56116659-efc2-d168-ad7a-322309332bf8,https://sns-img-bd.xhscdn.com/99758802-20b4-9aa3-cf33-7cf8defd7b5e,https://sns-img-bd.xhscdn.com/ddf109a2-563b-1e89-c362-1847e0fcf89d",https://www.xiaohongshu.com/explore/64a90b960000000015031a02
东西冲穿越✔,"早上7点50从市区出发 到东涌沙滩整顿整顿
10点半左右出发 2点左右到天文台 稍做休息之后，3点多点到西涌沙滩 搞定
下次想尝试坐船，估计会有不一样的风景，一路看多了有点眼馋[抠鼻R]","https://sns-img-bd.xhscdn.com/54514b47-2275-304d-4035-877c20397790,https://sns-img-bd.xhscdn.com/7dc3f328-26bd-afe0-bca9-788e1e9978d4,https://sns-img-bd.xhscdn.com/2bb5008f-9911-e6f5-92fb-5513c0f24323,https://sns-img-bd.xhscdn.com/192a77b7-ed82-fd92-f629-05f74904799a,https://sns-img-bd.xhscdn.com/91bf3368-b885-0887-61bc-50cbe8d36bc3,https://sns-img-bd.xhscdn.com/76b7a168-51da-7301-259c-94d0300b9dbd,https://sns-img-bd.xhscdn.com/a3d0ab05-1970-f377-b6fc-5ae00613aa87,https://sns-img-bd.xhscdn.com/46a1060f-2469-e0f6-5212-6ea03aa688a4,https://sns-img-bd.xhscdn.com/551082a6-069e-c631-d655-12ff1a817b83",https://www.xiaohongshu.com/explore/653e4efd000000001f038549
一个人去东西涌穿越,"有点累，还要爬岩
    ","https://sns-img-bd.xhscdn.com/6b162bf0-5896-933f-73a0-b15918c4561e,https://sns-img-bd.xhscdn.com/ececfd8c-4336-678c-759d-ee46a1b770c8,https://sns-img-bd.xhscdn.com/e61a811b-9d31-3042-ca94-93db76fd24f5,https://sns-img-bd.xhscdn.com/db243051-1ffd-1700-a6c1-7c412504390d,https://sns-img-bd.xhscdn.com/924fe99e-876b-5f75-ee5d-61d359b296c2,https://sns-img-bd.xhscdn.com/0888d0e8-df77-eec1-bfe3-228e555e8989,https://sns-img-bd.xhscdn.com/2083d38d-ddd5-7fa6-ac37-5104edceb33a,https://sns-img-bd.xhscdn.com/2f939e67-b00a-8eaa-1df7-934b66230697,https://sns-img-bd.xhscdn.com/82523171-2065-ae67-9e16-c35b6104f8c9",https://www.xiaohongshu.com/explore/63ea034a000000001300ec8c
东西涌穿越 ，手脚并用，一路爬行,"东西涌徒步攻略
1、前言：来之前看过一些攻略，但部分攻略较简单，所以这次多写点希望对大家有所帮助
	
2、基本情况：
①时间：2023.11.25中午12点-4点30共4.5小时
	
②到东涌交通：可开车或公交、坐船也可以（我是开车到西涌4号沙滩，在坐车到东涌）
	
③路线：东涌到西涌
如果想少走1公里的话就从桥上过，扫森林防火码通行。
上山后有两条路，最后都是通往一条路，基本都是丛林和荆棘中穿梭
	
3、注意事项
1）特别提醒，天气很重要！如果是天气热的时候去，防晒的必须全身装备。建议大夏天不要出行，容易中暑，选择春秋季会好些
	
2）建议不要带10岁以下的小孩，除非你想还没开始多久就坐快艇回去或者背着走 ！说到快艇，来回都可以快艇，途中也可以，每个山谷都有快艇🚤50元一人
	
3）一定要带手套（很多上下坡的地方要爬着上下拉铁链等）。
	
4）走的途中一定不要跳！一定不要跳！！特别是从高的地方向低的地方走的时候，就算是平路也是，很容易崴脚！！
	
5）水可一定不要多带，很重，一路都有卖水的，可以准备点小青瓜，非常解渴。
	
6 ）补给站在每个山脚都有，上厕所免费，还有山泉水可洗手
	
7）途中手机部分位置只有2g或者无服务，但购买物资可以对方扫码无需网络
	
8）沿途尽量沿着海岸线走，不要上山，因为山上走不通全是荆棘之类的。需要注意的是：指示牌，告知位置方向等，没有铁链意味着该路是不能走海岸线的必经之路。所以沿着海岸线，走不通就找指示牌和铁链栏杆！！
	
必备物品：
	
◆防晒的：长裤，吸汗长衣（没有则冰袖），帽子（不建议带鸭舌帽，最好是脑袋一圈都能遮住的，一定要有防风绳的），防晒霜
	
◆药物：防中暑的药与创可贴
	
◆一定不要穿拖鞋，高跟鞋之类的，一定要穿防滑运动鞋以及长袜，因为容易崴脚
	
◆太阳伞与登山杖没必要带，完全用不上
	
◆防滑手套🧤
	
◆手机出发前充满电，沿路风景非常美（充电宝根据情况带）我是出发前手机满电的，为了减轻负重所以没带
	
最后最后，大家一定要注意安全，带着好心情享受旅途   ","https://sns-img-bd.xhscdn.com/e00998c8-9d6b-caf3-385a-7f14b393920f,https://sns-img-bd.xhscdn.com/61066346-0ef6-02e7-e6b7-ea903c7e2a37,https://sns-img-bd.xhscdn.com/a825b9ab-fea8-cda0-5b72-8c768bbecb5a,https://sns-img-bd.xhscdn.com/45149fe6-ba6c-2995-7d33-0d57367eba2b,https://sns-img-bd.xhscdn.com/945bd096-c9f4-362f-9dc1-61f86d8c0c04,https://sns-img-bd.xhscdn.com/87795c6d-e471-589a-43e5-7ab7a3e28230,https://sns-img-bd.xhscdn.com/ea999e0e-edc7-6afb-de79-0cc834ddfa64,https://sns-img-bd.xhscdn.com/b7ca7a06-81e2-d3ed-c86f-cb7dcc03eb37,https://sns-img-bd.xhscdn.com/c41647e7-d390-4c55-dd5e-6323c68c912a,https://sns-img-bd.xhscdn.com/f66b8261-4f22-ae52-e34c-0ace4be8478c,https://sns-img-bd.xhscdn.com/0903900a-d769-6374-80d6-8031d51a2a44,https://sns-img-bd.xhscdn.com/04916fd5-e9ed-7eed-fe42-01834c5fce9c,https://sns-img-bd.xhscdn.com/df17e6ff-eb9b-7bf0-23f7-e643f2a4f3a4,https://sns-img-bd.xhscdn.com/a5fb2c2d-a508-ab95-50f9-e31cda9b33e3",https://www.xiaohongshu.com/explore/6567f524000000003202e233
东西涌穿越｜丛林徒步攀岩最美海岸线攻略,"



",https://sns-img-bd.xhscdn.com/49bbaddb-acce-e6b4-9d0d-69a4d3b324b0,https://www.xiaohongshu.com/explore/65484e580000000025020caa
恭喜你🎉去东西冲之前看到这篇攻略,"出发前准备好这些东西，就不会到了只能无奈发出“早知道。。。”的感慨啦～
对于徒步大神来说难度是一星难度🌟
对于恐高小白来说，难度是🌟🌟🌟🌟
重在体验，做好攻略可以帮你少踩很多坑
	
出发：🔛东冲社区工作站
终点：🏁西冲
交通：建议打车，或者自驾，周末自驾大鹏要做好塞车准备。
	
☝️路线：到东涌社区工作站后，会经过一段水泥路，跟着人流，下到海岸线就可以。沿着海岸线的礁石走，期间需要翻过5座山，一共8公里，大概5小时。
只有一条线，只要记住‼️沿着海岸线，跟着人流就可以了。
🧗翻越4座山的时候，山顶有往天文台的路，可以往左下山继续穿越，往右前往天文台，会有下山的公车。
	
‼️‼️注意事项（听劝🙏）
1️⃣补给点：每翻越一座山基本都有补给点，价格不贵，不需要携带太多。
2️⃣带手套：很有地方需要攀爬，一定要准备手套，东涌下车会有很多售卖点3¥/双。
3️⃣带护膝：如果有一定要带上，膝盖被撞到的时候真的很感谢自己带上了。
4️⃣其他：
❌不要背单肩包，会掉到前面，很影响攀爬（亲身经历）。
❌不要穿阔腿裤，有些攀爬跨度大，容易被绊倒（亲身经历）。
❌不要穿浅色衣服，攀爬会接触到黄土，会很脏。
🉑一定要100%防晒，海岸线基本没有遮挡。买有顶的帽子，空顶帽头皮可能会晒伤。
🉑剪脚趾甲，需要上上下下，一定要保护好🦶。
🉑上下山可能会需要排队，有些很陡，没有落脚点，一定注意安全。
🈶基本翻越一座山，海边都会有停靠坐回西冲的船，50¥/人，随时有退路。
‼️‼️‼️不需要报团、不需要报团、不需要抱团，户外最大的魅力就是自由，且周末去东西冲人真的很多，跟着人流走就不会错。
	
与其一直向往，不如现在就出发。🤩
	
东西冲的风景很美，蔚蓝海水在阳光的照耀下像星星一样闪烁，很迷人～
	
越往后看到的风景越美，回程的夕阳也让人很惊喜。
———————————-
	
主页还有更多深圳周末出行小众路线，周末不宅家。喜欢记得+++哦～
           ","https://sns-img-hw.xhscdn.net/69eb431f-736c-b2be-63fe-66111aa9e4cb,https://sns-img-hw.xhscdn.net/5482b2d6-ee1c-f0d1-1777-c5090bfc20fd,https://sns-img-hw.xhscdn.net/8a4413f4-1a86-012d-540c-0ad2ab421b53,https://sns-img-hw.xhscdn.net/058c36a6-9556-f81e-acd4-c59ab727a01e,https://sns-img-hw.xhscdn.net/b5c4eca9-d97b-8e55-711f-8554e62424c5,https://sns-img-hw.xhscdn.net/cdeb5db1-7e78-84d2-d833-adb7afaa323b,https://sns-img-hw.xhscdn.net/2c81417e-bb31-ce07-1096-73661b55856a,https://sns-img-hw.xhscdn.net/45d9365a-3072-35ee-b8f6-e3f42f6e80f6,https://sns-img-hw.xhscdn.net/70125583-0bb9-e7f5-0990-118d3adecadc,https://sns-img-hw.xhscdn.net/0f1db054-59dc-683f-aae3-c70d9dd411d5,https://sns-img-hw.xhscdn.net/fcbeaf00-921b-ef5f-8729-b38d94712068,https://sns-img-hw.xhscdn.net/a89c4c7e-fde6-4e79-17eb-5e68655f97c2,https://sns-img-hw.xhscdn.net/28fa14ec-0b2b-c095-13b3-c59bb4d82c27,https://sns-img-hw.xhscdn.net/f3c0896f-9840-8c34-ba9d-6f0b79bca10f",https://www.xiaohongshu.com/explore/654a55b70000000025022be3
在悬崖上徒步，接到警察电话，老板猝死了,"七月第一天，约好来一场浪漫的徒步穿越东西涌之旅。但中间耽误了两三个小时，因为有个驴友中途接到警察电话，她老板猝死了。她是公司行政，警察需要她调监控来排除老板被他杀的可能。
但是，当时我们在悬崖上，信号非常差，很难弄。我们一边在嶙峋峭壁上攀岩，警察一边在办公室等我们调监控，一直等着我们。老板尸身动不了，我们在陡峭的石头上不得不移动。所以耽误了很多时间。我听到的时候，惊呆了。虽然满身大汗，但鸡皮疙瘩瞬间立起。。这是我第一次，这么近距离接触命案。直到晚上7点多，确认是猝死，无意外，我们才继续出发。。一直走到天黑。
	
驴友老板昨天晚上睡在公司，应该是加班了很久。下午去厕所，人就倒下了。周末公司没人，没有被及时发现。好可惜。愿他的妻儿家人都安好。[合十R][合十R]
	
我们一行6人继续在月光下黑夜中攀爬着，彼此互相加油打气。突然在想，明天和意外，不知道哪个先来。突然狠珍惜自己今天还能出去玩、出去看海、出去攀岩、出去体验的日子。世界那么大，我还没看完。珍惜活着的每一天。[合十R][合十R]
      ","https://sns-img-hw.xhscdn.net/4d03bdc9-69f4-4529-2ae0-73c81e9d3ecf,https://sns-img-hw.xhscdn.net/348a4633-3d6e-4032-535d-dc75e54296dc,https://sns-img-hw.xhscdn.net/dadf019b-5d45-634a-50bf-15f07eb8c752,https://sns-img-hw.xhscdn.net/a7837166-0247-3ef4-3122-b551ec00f8cf,https://sns-img-hw.xhscdn.net/be128172-aa46-244a-003d-85bdb726a012,https://sns-img-hw.xhscdn.net/a747ba4c-9a68-743b-e7fe-bf9436f547af,https://sns-img-hw.xhscdn.net/44ba872a-f6d6-3527-7246-717dacdd693a,https://sns-img-hw.xhscdn.net/2fec160d-c345-5d11-2e64-ac99c85c5b4b,https://sns-img-hw.xhscdn.net/39a835e8-8876-f00b-616d-0fdd0de3b04c,https://sns-img-hw.xhscdn.net/2dc9d4e6-1769-263a-3215-5bb50b591a3b,https://sns-img-hw.xhscdn.net/8541c6c0-0e5b-9c24-fdc3-a940728d5c5a,https://sns-img-hw.xhscdn.net/f6cc28d7-e85c-91e6-47ee-ad7d576ccf9a,https://sns-img-hw.xhscdn.net/5574b799-4f1a-9df1-b35b-3210e04751da,https://sns-img-hw.xhscdn.net/a8588ead-41d5-ef12-d6bc-abcd92a784dc,https://sns-img-hw.xhscdn.net/9b4f6547-5a1a-b771-dc64-6daf7163ac42,https://sns-img-hw.xhscdn.net/57ef0c61-cf95-971b-a927-2b14eec2e1f8,https://sns-img-hw.xhscdn.net/77a93cc6-bbeb-529f-58a4-90c66f085791",https://www.xiaohongshu.com/explore/64a1bcb9000000001300a7ce
