title,desc,image_list,note_url
中英街，不建议去。,"如果你是来深圳旅游，时间安排紧凑的情况下，不建议你来中英街游玩。
	
我被小红书的推荐所吸引，带着对一街两制的好奇，满怀期待的过去游玩一下，一过境期望值马上消失，旅客很多，但大多数是旅游团带进来购物的，游玩的景点真的很少，这里就单纯的一个购物街，而且买的东西重复度很高，没有什么特别吸引，商品也没有什么特别大的价格优势。
	
🚶🏻‍♂️适合去的人群：盐田居民，需要补充生活日用品的人，以及只是单纯好奇想过来打卡拍照的旅客（是否购买商品自行决定，谨慎一点以防买到假货）。
	
[炸弹R]遇到那些叫你帮忙带货的，不要帮忙带！！！怕不小心进了🍊。
	
[打卡R]地点：沙头角中英街
🚇路线：地铁2号或8号线沙头角站A1口直转公交B619 （3站）
🎫门票：免费🆓，可当天预约（在微信小程序搜中英街即可预约），建议提前一天预约，预约时间段内直接用【身份证】在自助机取通行证即可，需在17:00前。
	
📸打卡点：中英街界碑（左边深圳，右边香港)、港风街道、深港合作墙、警示亭、海滨栈道等。
	
❗️往返限制：深户可以1星期去1次，非深户只能30天去1次。
🚨一定要带身份证！一定要带身份证！一定要带身份证！
	
🕘开放时间：9:00-18:00
🕟取证时间：9:00-17:00（记得在17点前取证）
	

","https://sns-img-bd.xhscdn.com/de1ddafc-974e-1a3b-ac4b-4d5b016275e2,https://sns-img-bd.xhscdn.com/b9833c59-b86b-f9fe-d72b-449f56a61213,https://sns-img-bd.xhscdn.com/730779e3-82fc-ac23-8f70-402084c751c5,https://sns-img-bd.xhscdn.com/c8afc7ee-4f02-5cfd-0ecb-afb46da990a4,https://sns-img-bd.xhscdn.com/306e41e9-ca7b-fe14-923f-9be693d979ce,https://sns-img-bd.xhscdn.com/d58337b7-bc67-4bdd-f191-50bfb8e86144,https://sns-img-bd.xhscdn.com/fe3c731c-5e05-bc61-c31e-43525f95ffda,https://sns-img-bd.xhscdn.com/1a5079e8-556f-04a9-d0ca-0dec22d146d3",https://www.xiaohongshu.com/explore/6579cdc300000000380260fa
周末千万别去中英街，你会后悔的,"带着对一街两制的好奇跟朋友今天city walk了沙头角中英街，强烈建议大家周末别去，因为人太多了，排队进出镇花了两个多小时。
.
	
[打卡R]地点：沙头角中英街
[清单R]路线：🚇地铁2/8线沙头角站A1口直转公交B619（3站）非常快
🎫门票：免费🆓，可当天预约（预约方法看图二，在微信小程序搜中英街也可），建议提前一天预约，预约时间段内直接用【身份证】在自助机取通行证🪪即🉑️，需在17:00前哦
	
.
[清单R]打卡点：中英街界碑（左边深圳，右边香港）、港风街道、深港合作墙、警示亭、海滨栈道等，喜欢购物的也可以逛下免税店，小买了一点，港币的价格折算95折人民币付款（当天汇率大概92）
	
⏰开放时间：9:00-18:00
	
[咖啡R]美食：好像没发现什么美食类，看到有快餐店（18～40不等，有粉有自选菜），比较实惠的就一家南通肠粉店（7-15RMB的各种肠粉蒸米粉，出餐比较快，汤粉18Rmb起）
	
.
⚠️注意事项：深户一周🉑️去一次，非深户30天内去一次；周末打卡最好早点回，今天14:00后就已经开始好长队出镇，没买东西或者买的少的可以走最右边快速通道会少点人。
   ","https://sns-img-bd.xhscdn.com/db6d108c-3887-5050-46e1-af8749845914,https://sns-img-bd.xhscdn.com/fd11e6d0-557b-6463-c8cd-890b7cf1baaf,https://sns-img-bd.xhscdn.com/d7fe15c2-78ec-db86-fdb7-00cf582eafe4,https://sns-img-bd.xhscdn.com/a783487d-4e2b-4a33-bb97-2238a2136677,https://sns-img-bd.xhscdn.com/82b7313b-0db1-5ac2-4572-20af447849c8,https://sns-img-bd.xhscdn.com/dc04e79a-2d83-a850-5977-9a11d6346a50,https://sns-img-bd.xhscdn.com/629689c2-545e-1e0a-bca3-83a9a2b81146,https://sns-img-bd.xhscdn.com/ed5b0132-1aae-a459-43ef-cb1a4ed8a904,https://sns-img-bd.xhscdn.com/dc0691f8-3803-64dc-f038-96a52c963c0a,https://sns-img-bd.xhscdn.com/ac95b840-aa1c-b0c4-f740-5d078f9a53d1,https://sns-img-bd.xhscdn.com/15b0d766-f606-000a-dd41-81d8c38dd8c5,https://sns-img-bd.xhscdn.com/a0547515-4700-e729-dbdf-8a034919748e,https://sns-img-bd.xhscdn.com/014b22e9-7e3a-8bc1-44a2-9f9da7fc4779",https://www.xiaohongshu.com/explore/655a0977000000003202d9ee
去中英街之前请看这条！！！！," 
第一，需要提前预约！！！！
第二，一定要吃饱再去，里面的吃的很难吃！！！进去之前有个香港小吃还不错，非常正宗，可以去尝试一下！
第三，非常小，东西少，而且卖东西的人很少，因为疫情关闭了很多店铺！！！
第四，没事别去中英街！！！！！ ","https://sns-img-hw.xhscdn.net/c5f136b5-0abf-651a-1314-ffac8c2987ae,https://sns-img-hw.xhscdn.net/36b9a92d-be22-3c4a-8c40-c71cf1e4be77,https://sns-img-hw.xhscdn.net/91ae23da-a622-d4a8-f2c4-ab61176ee964,https://sns-img-hw.xhscdn.net/6aa1d64c-33d7-8abe-0907-580682c11451,https://sns-img-hw.xhscdn.net/4c07ca9c-f1c7-aeaf-e7de-3dde35454281,https://sns-img-hw.xhscdn.net/9f66e998-fb8b-ddcf-214a-b4a062ce99be",https://www.xiaohongshu.com/explore/63e09b30000000000d016fc7
刘德华在这被客家阿婆骂，而我们被遣返...,"💡揭晓地点
中英街，位于深圳盐田区沙头角街道与香港特别行政区北区交界处。
	
看过香港电影《五亿探长雷洛》的朋友们大概记得一个非常经典的搞笑片段：电影中刘德华扮演的雷洛得罪上司颜同（秦沛饰演）后，被调职到距离市区最偏远的沙头角警署。
	
有一天，一位丢失了自家走地鸡的客家阿婆前来报案，被警察敷衍“鸡是不是被野狗叼走了”后，骂出了那句经典的客家话国骂（“担惹米之北”）。这段客家与粤语的灵魂碰撞，常看常笑🤣
	
🤔一街两制
说话回来，本次分享我们来到了电影中香港沙头角——的对面，深圳市盐田区沙头角中英街。
	
在1898年以前，深港两侧的沙头角同属一个社区。是年，中英《展拓香港界址专条》签署，第二年，沙头角也随着边界的划分一分为二，被划为“华界沙头角”和“英界沙头角”。
	
而这条边界跨过的一段干涸的河床，也慢慢聚集了前来做生意的乡民，形成商业聚落，这也是中英街早期的雏形。
	
随着时代的发展和变迁，渐渐演化成现在的“中英街”
	
🌲
我们提前预约办理边境通行证，到现场后就在自助机上领取边境通行证，过了安检和边防检查，才进入中英街景区。
	
中英街左侧属于深圳，右侧属于香港，所以左侧的建筑多是政府统一规划，典型的近代岭南骑楼样式，右侧的建筑则都是低矮的村屋，看起来和香港新界的农村并无太大差别。
	
🚶不一会，我们看到一条小巷子，里面挂着“菜园角茶档”的招牌。正好肚子饿，而且兜里还有点港币，便直接进去就餐。餐厅有一大亮点，🛜能自由冲浪且网速不慢
	
🙀不小心越界
饮足饭饱之后，我们继续沿着小巷子走，发现前面是一片低矮的树林，树林外有一面铁丝网，偶能看到贴着来自香港警务处的告示。
	
😓默默隐忧：我们不会已经非法越境了吧？忐忑中沿着屋村外围的铁丝网一直往前走，心想总能走回到闹市。
	
终于，走到了沙头角两地居民的“官方过境处”，被香港入境处的警察瞅见后喊过来，只能坦白：Sorry sir，迷路了不知道怎么回去😰
	
警察看了眼我们的边境通行证，和蔼地说：行错路不紧要，走回去就好。便带我们走到了两地居民的安检通道，把我们正式“遣返”回深圳那侧。
	
这趟“非法越境并被遣返”的经历算是有惊无险，但请勿模仿⏰
      ","https://sns-img-hw.xhscdn.net/c72d8aa7-f55f-0d06-2b9b-d53b2713a43d,https://sns-img-hw.xhscdn.net/c78f747b-3369-b307-9a6e-7bbc2ff0be28,https://sns-img-hw.xhscdn.net/04370b88-80e3-9839-e4d6-a978abdb2fd7,https://sns-img-hw.xhscdn.net/1ab037b1-a491-8377-59e8-49fc4619d1c4,https://sns-img-hw.xhscdn.net/4a5e4b63-af96-8d57-d217-f6a85994eee3,https://sns-img-hw.xhscdn.net/d7876bba-f6c5-c21e-c714-a2167aca4dec,https://sns-img-hw.xhscdn.net/52dde52c-f158-dd04-192f-1b39577b1924,https://sns-img-hw.xhscdn.net/829a2dfe-9040-d118-c4c8-c1660f946c6e,https://sns-img-hw.xhscdn.net/51ead4fc-b29e-6afd-703c-984b86a77013",https://www.xiaohongshu.com/explore/6564398e000000000f029436
为什么会有两个中英街！,我觉得高德地图有毒吧……我导航去中英街，结果给我导航到华强北附近……在一搜才发现那个中英街离我还有好远好远,https://sns-img-bd.xhscdn.com/707a3a34-e3d4-58af-d4b9-6f3b4609d005,https://www.xiaohongshu.com/explore/657966d5000000003a0081a0
"90年代，中英街两边巡逻的警察照片，镜头中的最中间是一个石制界碑，界碑两侧清晰的划分了两边的事物，左边巡逻的是香港警察，右边的则为大陆公安。
造成这种现象的，要追溯到第一次鸦片战争，晚清政府腐败无能，屈服于英国的武力之下，签订了丧权辱国的卖国条约，其中就有将香港岛割让的条款。
新中国成立后，废除了不平等的条约，并与英国进行了谈判，最终香港回归了祖国的怀抱。
注：图片来源于网络。","90年代，中英街两边巡逻的警察照片，镜头中的最中间是一个石制界碑，界碑两侧清晰的划分了两边的事物，左边巡逻的是香港警察，右边的则为大陆公安。
造成这种现象的，要追溯到第一次鸦片战争，晚清政府腐败无能，屈服于英国的武力之下，签订了丧权辱国的卖国条约，其中就有将香港岛割让的条款。
新中国成立后，废除了不平等的条约，并与英国进行了谈判，最终香港回归了祖国的怀抱。
注：图片来源于网络。",https://sns-img-hw.xhscdn.net/93e99037-8d62-2196-f4d6-77a6ffcb8bc3,https://www.xiaohongshu.com/explore/64c3d733000000001201e726
这是深圳离香港最近的地方，一步之隔，左边是香港，右边是深圳，你来过这里吗？  ,这是深圳离香港最近的地方，一步之隔，左边是香港，右边是深圳，你来过这里吗？  ,https://sns-img-qc.xhscdn.com/4dd1783a-20e1-03a0-783a-fd47fb3d391c,https://www.xiaohongshu.com/explore/64f4951f000000001500b6d2
中英街，港澳台别来了,真的年少无知，来了结果发现不让进[捂脸R][捂脸R]，只有大陆人才让进  ,https://sns-img-hw.xhscdn.net/cfceb59c-35ab-d064-ab92-13a09a32542d,https://www.xiaohongshu.com/explore/64cf3b5f000000001700ce15
中英街真的太好买了！！！,也很出片，但是没有什么好玩的。,"https://sns-img-qc.xhscdn.com/8e6ced75-dc63-e887-4e31-65d36aa7501a,https://sns-img-qc.xhscdn.com/8caa795c-8e03-af7d-2925-284013060de7,https://sns-img-qc.xhscdn.com/7101289f-4465-5100-6aa6-2dbc6281d28f,https://sns-img-qc.xhscdn.com/70ec405b-1d86-0ab1-d391-229a225d6d50,https://sns-img-qc.xhscdn.com/72daac38-d1e4-26e6-a88c-5a9aeb102b5a,https://sns-img-qc.xhscdn.com/433e5700-326a-16c6-6815-adece093fefe,https://sns-img-qc.xhscdn.com/985067a0-aa47-fb36-596e-3851d3f1bfd2",https://www.xiaohongshu.com/explore/65476b7b000000001f03f94f
在深圳第一次去中英街，这15点要注意！,"深圳的uu们，最近假期有打算去中英街的，一定要看好这篇！
1️⃣中英街是免费的，里面的历史博物馆也是免费的
2️⃣中英街不需要港澳通行证，但需要提前预约，工作日可以当天预约，周末提前1-2天预约
3️⃣中英街用通关凭证，需要带身份证去自助机器取证
4️⃣中英街取证及预约时间，只要在预约的当天都可以进去
5️⃣每个人都需要预约，婴儿宝宝也需要预约的哦，60岁以上长者无需预约，可以直接在现场自助机办理通关证
6️⃣未满16周岁且未办理居民身份证的孩子，需携带户口簿原件或出生医学证明原件，由法定监护人前往人工窗口审核确认后方可申办
7️⃣关于取消预约，只需在预约出行日期当天晚上24时前
8️⃣持永久居住证的外国公民和港澳台居民不可预约
9️⃣持有护照类的游客不可预约
🔟深户7天可预约一次，非深户30天可预约一次(从办证第二天开始计算间隔期)
1️⃣1️⃣通关时间:9~18点，取证时间:9~17点
1️⃣2️⃣中英街里面有很多让帮忙带东西出关的，为了自己安全，请不要理睬
1️⃣3️⃣中英街可以用港币现金、wx、zfb刷卡，自己先在银行换好港币比较划算，银行现在汇率87，如果用wx或zfb或刷卡是按各个店里的汇率来结算的。
1️⃣4️⃣中英街里面有美食店，茶餐厅、粤式早午茶，不必赶着出关吃午饭
1️⃣5️⃣关于正品，深圳一侧的波记、良记、实惠、华港，但是实惠会比其他家贵两块钱左右，香港一侧的周养记、玲玲、廖记、联兴、新辉，实测周养记也会贵一点点
	
                    ","https://sns-img-qc.xhscdn.com/4e395c77-be8e-4508-c04c-53301bd68de4,https://sns-img-qc.xhscdn.com/f12353f9-90de-e30c-94b0-48b6a873e303,https://sns-img-qc.xhscdn.com/29f56b6f-8bf6-af54-7a59-edee7841305e,https://sns-img-qc.xhscdn.com/1ced1484-16f9-ca27-f091-e61af70f45bb,https://sns-img-qc.xhscdn.com/012a1fb6-1b31-1fc9-dd41-0c5bab513f54,https://sns-img-qc.xhscdn.com/fb530817-0261-46d1-5724-5870c1d57c29,https://sns-img-qc.xhscdn.com/9dc701fc-f7ac-ce45-c7ff-ab9ef0dcc2fb",https://www.xiaohongshu.com/explore/6517ad38000000001f03d11f
