title,desc,image_list,note_url
12.10仙湖植物园，劝退一个是一个,"如果是冲着小红书的红叶金秋而来，那大概会骂街[偷笑R]现在植被都还很绿，冒充春天都不夸张[偷笑R]
	
驱车三十几公里真的会有点失望，环生态湖走真的好无聊呀，也没找到比较好看的拍摄点，就随意看看吧～
	
还好可以去弘法寺拜一拜，求财求事业也还不错，免费体验了一把斋饭，不算难吃（汤好喝），记得要吃完哦！
	
周末排队坐巴士别看人超级多，但很快，因为车辆充足，最多十几分钟就到了。自己走上去的话得走一小时～
	
       ","https://sns-img-bd.xhscdn.com/9b90ae5c-e75d-2b6d-909c-55a613b54573,https://sns-img-bd.xhscdn.com/74f10295-1633-8374-4383-9119f3a4d7d9,https://sns-img-bd.xhscdn.com/c6e52b55-4ded-effd-8dc7-3787bf657f2a,https://sns-img-bd.xhscdn.com/1a2f1e88-64f9-c001-f1fc-ea08cd71859e,https://sns-img-bd.xhscdn.com/1d61273c-9602-6aa3-873a-7039078a46e0,https://sns-img-bd.xhscdn.com/84eede70-b1c0-808e-2163-387c9b540b0f,https://sns-img-bd.xhscdn.com/2d20d8df-11b4-03b5-eea7-007d7a68c10c,https://sns-img-bd.xhscdn.com/f117602b-13be-c301-8f20-05c6ed84fe7f,https://sns-img-bd.xhscdn.com/ca326b31-f008-b006-0bf2-e0a914202854,https://sns-img-bd.xhscdn.com/b69cbd5b-f5f0-b819-3c1c-46fa1d93c67b,https://sns-img-bd.xhscdn.com/8d002324-8b5f-d279-114b-8a16f8db8d9b,https://sns-img-bd.xhscdn.com/d400e2c3-8683-5d74-c65f-aeb09cde1dbb,https://sns-img-bd.xhscdn.com/41d14031-3528-0930-e943-6c3259dbc795,https://sns-img-bd.xhscdn.com/eda15343-6dc9-80e3-9804-c16b01f97840,https://sns-img-bd.xhscdn.com/2127eb8d-fdd1-01e6-555f-a488186ec3e9,https://sns-img-bd.xhscdn.com/911c2ec2-6a25-e4c3-0213-7dae860eda24,https://sns-img-bd.xhscdn.com/738beab1-f69b-64fa-b2d4-1c4f055f6556,https://sns-img-bd.xhscdn.com/4f95e185-1380-cc33-7a32-6d2202fb300b",https://www.xiaohongshu.com/explore/6575bc78000000000602191b
深圳仙湖植物园剧透，落羽杉快红了❗️,"*大家好呀，我这个小众旅行地发现家🏃又来啦，这次介绍深圳冬天赏美景的好去处哦～～
	
接下来的这个月，仙湖植物园的落羽杉🍁将惊艳登场！深圳人再也不用羡慕北方的红枫黄叶啦，家门口就有！
	
仙湖沿湖一圈都有高大茂密的落羽杉🌲，每年的12月份到次年1月份，树叶都会变得金黄金黄的🍁，上演一场金色的视觉盛宴，非常美艳！
	
湖边的落羽杉🌲和古风的亭子相映成趣，湖水平静时，还有绝美的倒影！在这里顺便欣赏一场浪漫日落🌅晚霞，简直完美！
	
大家提前收藏好这份攻略，并期待这份冬日盛宴吧！
·
📍地址：仙湖植物园
🚇地铁：2/8号线仙湖路站C3口出，步行700米到大门口
🚗自驾：导航“深圳仙湖植物园-停车场”，需要提前预约
·
🎀实用打卡小tips：
① 仙湖植物园数量最多、拍照📷最好看落羽杉在玉带桥、水生园附近，可以直接往这里冲～
② 建议选择阳光☀️明媚的天气去拍，下午四点以后在水生园拍照最佳，那一大片的落羽杉会被照亮，相当惊艳～
③ 建议穿白色或浅色裙子👗拍照哦，配上金灿灿的落羽杉，韩剧氛围拉满～
④ 从入口走到落羽杉处大概半个小时，也可以在入口处坐往返大巴到【天上人间】附近，在走过去就很近啦
.
*小众旅游发现家，走过深圳100+公园绿道古镇，关注我💓，周末出游不用愁🎉
.
       @城市情报官","https://sns-img-hw.xhscdn.net/595e7083-8b7a-fdb2-7749-f32387f141c6,https://sns-img-hw.xhscdn.net/d08ff23d-0351-8d21-59f5-735e2d42ba87,https://sns-img-hw.xhscdn.net/c982359a-5d7f-5316-2c0f-f6c3bd239ee6,https://sns-img-hw.xhscdn.net/3c7e6d34-d9f3-1556-8721-f69e74f54b15,https://sns-img-hw.xhscdn.net/a0084abe-37a0-43cb-5f6d-3d835d102f58,https://sns-img-hw.xhscdn.net/01e6399b-d68a-c332-4207-76278f041fcd,https://sns-img-hw.xhscdn.net/cd173149-b21a-5f03-82d5-4bf98d6f9050,https://sns-img-hw.xhscdn.net/8819cc65-fed4-b95f-39fd-96df3707c4b4,https://sns-img-hw.xhscdn.net/61132667-2020-dbb2-a7be-bf6749db347d,https://sns-img-hw.xhscdn.net/09897800-26bf-4200-653a-f84a3b038804",https://www.xiaohongshu.com/explore/6565c399000000003300bbe8
深圳人请注意❗接下来这些地方拍照绝了❗,"天气转冷，落羽杉的最美季节又来啦！黄色的树林，在四季常绿的地区，真的太难得了！
最佳观赏期12月底到1月份。
	
整理了深圳附近的一些观赏点，找个离得近的点安排吧～🤗
这组图是22年12月底在东莞松山湖拍的
东莞：
1️⃣松山湖黄花风铃木林
导航黄花风铃木林，在华为溪流背坡村J区旁边，进门岗就可以看到
2️⃣燕岭湿地公园
导航东一门、东三门有停车位
	
深圳
3️⃣中心公园
📍D2区，🚇3号线华新站F出口步行十几分钟
旁边就有厕所，青梅童乐园！超适合遛娃
📍E区景观湖周围，🚇3号线华新站
	
4️⃣莲花山公园
📍漾日湖：🚇3/10号线莲花村D出口
📍莲花湖：🚇3/4号线少年宫F1出口
	
5️⃣洪湖公园：7号线洪湖站，AB口都可以。进了公园往左手边走，推婴儿车走B口不用上天桥。
	
6️⃣仙湖植物园：
✅打卡点：集中在桫椤湖、玉带桥、水生园三个
🎫门票：15元/人
🚇地铁：2/8号线仙湖路c3出口步行10来分钟到大门
	
7️⃣荔枝公园
🚇地铁：3/9号线红岭站E出口
📍西门旁的湖畔
📍西2门的揽月桥旁
	
8️⃣香蜜公园
🚇7号线农林站C出口
🚘公园停车位不多，自驾可停深业中城/东海广场
	
9️⃣笔架山公园
🚇3/10号线莲花村地铁站C2口、14号线黄木岗13出口，南门进右手边走到湖边
💡地铁走到公园门口较远，推婴儿车的姐妹建议自驾或打车
	
🔟马峦山郊野公园
建议自驾，西北门进去走七八分钟就到
	
1️⃣1️⃣石岩湿地公园
无地铁直达，6号线官田站然后打车
自驾可导航到“石岩湿地公园停车场🅿️（入口）”
	
1️⃣2️⃣泰华梧桐岛
🚇1号线固戍地铁站C出口步行10分钟
✅打卡点：园区中央人工湖、湖中的木栈道旁
	
1️⃣3️⃣红花岭公园
🚇3号线双龙站，下地铁后打车到达
🚘“美丽深圳”预约，停车场就在正门，左手边小路进去步行两三百米到达
	
1️⃣4️⃣聚龙山湿地公园
建议打车或自驾
💡公园较大，导航“聚龙山湿地公园洗手间A5-母婴室”，有停车场
✅打卡点：下车后进入公园沿着河边走
	
1️⃣5️⃣四海公园
🚇12号线四海站A出口步行10分钟
      ","https://sns-img-hw.xhscdn.net/b7c10487-243c-1d2e-da6a-84c4369b61a8,https://sns-img-hw.xhscdn.net/cda8be83-f49a-288a-4af5-c2bd07f4b5f2,https://sns-img-hw.xhscdn.net/a4eee908-91dc-0fa3-3a0a-603e621d6429,https://sns-img-hw.xhscdn.net/5eb550f4-cd34-4b52-9e37-bdb9fb026e13,https://sns-img-hw.xhscdn.net/8d97cd97-79a5-ac0c-f689-7c7ba6bb7e79,https://sns-img-hw.xhscdn.net/a0ee84a0-0d14-4845-c345-a6795d5eb52a,https://sns-img-hw.xhscdn.net/e7bfaea7-1921-b187-bbdc-7c4a8f6fd435,https://sns-img-hw.xhscdn.net/3f2a0357-4587-3a4d-ad9a-179cb1e5d54b,https://sns-img-hw.xhscdn.net/3023f008-1689-d4a2-9fa5-a4b5cf9edcc8,https://sns-img-hw.xhscdn.net/d463f41b-09fa-8a56-a0f1-fa5ba6e94606",https://www.xiaohongshu.com/explore/657f0192000000003802382c
再过一个月，仙湖植物园将迎来美貌的天花板,"深圳的秋天总是姗姗来迟，
每年的12月份到一月份
仙湖植物园的落羽衫黄了，
成为一道靓丽的风景线！🍂
也是仙湖植物园最好看的时候
	
——
南方的朋友提前收藏好这份赏秋攻略吧！
1⃣⛳落羽杉的位置就是在湖边各个角落，所以推荐最佳的观赏路线—就是围绕湖边走一圈，这样不会错过最美的风景
2⃣📍 定位:仙湖植物园，8号线仙湖站c出，可以进大门坐大巴车到弘法寺，然后往回走个几分钟右边岔路口往下通往湖边。定位导航邓小平手植树。
3⃣🕐拍摄时间:建议下午四五点，光线比较好，落羽杉拍出来都金灿灿的，超美……
	
       ","https://sns-img-hw.xhscdn.net/136ec067-d447-fc8d-f3df-ccfa07a4235b,https://sns-img-hw.xhscdn.net/3b1d7c99-6efb-9c3c-2326-91d1f4335e83,https://sns-img-hw.xhscdn.net/5ce6a0d6-47a0-1e7a-8bea-cd2b7e2648a4,https://sns-img-hw.xhscdn.net/8cbd1452-76ab-109a-cd38-237bec96a7ba,https://sns-img-hw.xhscdn.net/eeb530cb-d4ae-a96d-377f-28406d0421d7,https://sns-img-hw.xhscdn.net/2ac73137-d37a-846a-a9ff-132ad87ecf27,https://sns-img-hw.xhscdn.net/022eb3bf-b947-f249-747f-66309295a054,https://sns-img-hw.xhscdn.net/d22eb8da-ccf0-e2a8-8a46-4eeaf36afd0b",https://www.xiaohongshu.com/explore/6544f95b000000001e00edd4
12.17 周日仙湖植物园落羽杉摄影拍照,找喜欢拍照或者被拍的朋友一起去仙湖植物园去拍公交站楼花台和落羽杉。           ,https://sns-img-bd.xhscdn.com/086c8c51-8ace-3030-7245-4fd89d060b03,https://www.xiaohongshu.com/explore/657ad0a5000000000901f139
仙湖植物园的落羽杉完全超出你的想象,后面七张是现在仙湖植物园的落羽杉原图      ,"https://sns-img-bd.xhscdn.com/fbacc37d-dc87-336d-3eeb-531eae07c6bf,https://sns-img-bd.xhscdn.com/52ce5b17-8168-763a-0ff7-d7f62b7e1b1f,https://sns-img-bd.xhscdn.com/36a98634-2db1-41ab-5907-feca352fcb3f,https://sns-img-bd.xhscdn.com/35da7601-ca67-c50a-4f75-633a26b3ee27,https://sns-img-bd.xhscdn.com/b9a3a764-2cce-5dfc-ef66-55231bab4b49,https://sns-img-bd.xhscdn.com/1abcab24-9620-9fed-1322-1efb7e654493,https://sns-img-bd.xhscdn.com/178bdaea-d92d-745e-fd06-635678e22546,https://sns-img-bd.xhscdn.com/3bd063cd-bc4b-2196-7f94-91f004005244,https://sns-img-bd.xhscdn.com/29015433-fdca-669c-64ac-385a0c337947",https://www.xiaohongshu.com/explore/657333d000000000060285d6
切记！去深圳仙湖植物园要……,"提前在“深圳市仙湖植物园”预约买票
门票🎫15/人，学生票5/人，验码进入
-
地铁2/8号🚇仙湖路站➡️C3出口
步行800米，一路上有很多卖水卖吃的
-
公休日，节假日开车是需要预约的
通过“深圳交警”/“深圳市仙湖植物园”预约
未预约者罚款300，记3分看图2️⃣
-
走一段路后有分叉口
一个是山道一个是步行道图3️⃣4️⃣
走的步行道中途有个观景台
时间合适可以看夕阳🌇
光照绝美绝美～！hin出片
-
    ","https://sns-img-hw.xhscdn.net/62e80449-7e33-809c-6968-8f40d0e6d05f,https://sns-img-hw.xhscdn.net/fa87a4ff-83b1-f036-9f50-95e5bb89c7ae,https://sns-img-hw.xhscdn.net/5680ada6-a256-87c6-d942-225b7f6c8d58,https://sns-img-hw.xhscdn.net/891460e3-75c0-dd9d-0fb8-f869b133a447,https://sns-img-hw.xhscdn.net/3b23b8be-37df-20c7-8f3f-7b1d50e3740a,https://sns-img-hw.xhscdn.net/04e88dd2-36ec-b392-49a0-57c334f078cd,https://sns-img-hw.xhscdn.net/6f5720dc-4f96-01b0-70d2-88450aec21e5,https://sns-img-hw.xhscdn.net/480e74e4-7125-fe05-e342-5eb1fe0b48c6,https://sns-img-hw.xhscdn.net/a8f6ef97-17bd-bfa8-4727-0a86129f2300,https://sns-img-hw.xhscdn.net/674c07ff-884b-d2a6-d8b5-ea554de18b62",https://www.xiaohongshu.com/explore/655b59960000000033000281
 家人们!谁懂，在仙湖植物园坐车下山的时候被人插队，告诉对方排队是在下面位置，然后插队的人对我们置之不理，后面自己一直在维护自己排着的位置，就和插队的人互挤，谁知后面一女的不分黑白，上来就抢我位置，告诉她这位置我一直排着的，她说是我们插进来的，吧啦吧啦了几句，后面那女的男朋友意识要好像弄错了，叫不要吵!后面我男朋友也掏出排队付款记录，对方没说话!全程那对插队的情侣没受到一点伤害!该说我说有人插队的时候为什么你们不说?排了好久才在那里哔哔!知道插队了为什么不维护自己的位置!最后那对插队的情侣因为没排队坐车付, 家人们!谁懂，在仙湖植物园坐车下山的时候被人插队，告诉对方排队是在下面位置，然后插队的人对我们置之不理，后面自己一直在维护自己排着的位置，就和插队的人互挤，谁知后面一女的不分黑白，上来就抢我位置，告诉她这位置我一直排着的，她说是我们插进来的，吧啦吧啦了几句，后面那女的男朋友意识要好像弄错了，叫不要吵!后面我男朋友也掏出排队付款记录，对方没说话!全程那对插队的情侣没受到一点伤害!该说我说有人插队的时候为什么你们不说?排了好久才在那里哔哔!知道插队了为什么不维护自己的位置!最后那对插队的情侣因为没排队坐车付款记录直接被工作人员轰下车，而我被气哭了，最后男朋友在车上让那个误会我的人道歉了!但我一点都不解气!!,https://sns-img-qc.xhscdn.com/2a252efc-6cc6-4a8e-68eb-e7210b310368,https://www.xiaohongshu.com/explore/65621544000000001b00ff33
深圳人都不上班的吗？😢,在上班和上进中选择上香，实在卷不起来[笑哭R]    ,"https://sns-img-bd.xhscdn.com/35f0c041-a027-331e-d542-4311d8e62755,https://sns-img-bd.xhscdn.com/7f52f1c3-a7a8-0cb7-0f9c-3ffb4efdceca,https://sns-img-bd.xhscdn.com/ed470c9b-953c-d6a1-7693-54a38cbf3778",https://www.xiaohongshu.com/explore/6579d79900000000090244d4
💰3坐大巴直接上塔⁉️你想多了……😵‍💫🤦,"
深圳这个天气去弘法寺太适合了吧😭
大家千万不要以为坐上🚌直接上去
没那么简单‼️‼️
走路🚶半个小时 坐车排队也要半个小时以上😭
	
要去的姐妹👭记得做好应急准备🙋
	
✏️提前一天小cx 深圳市仙湖植物园-便民购票，成人15元/学生5元
	
📍地址:深圳仙湖植物园深圳罗湖区仙湖路160号地铁:8号线仙湖路C2出口跟导航小tips📝
净手池洗手
扫码免费请三根香
不要踩门槛，不能用嘴吹香不要戴帽子，穿超短裙
  ",https://sns-img-bd.xhscdn.com/4569d4a6-5260-abba-d56c-788037471b5e,https://www.xiaohongshu.com/explore/65673fd800000000380289d7
