title,desc,image_list,note_url
地王大厦的夜景，八十块钱门票感觉有点不值,"关于时间：白天去没有晚上好看，晚上去拍照的时候玻璃反光[笑哭R]，不过视觉感受还是晚上要好很多
关于买票：美团上提前一天买会便宜一点，当天买价格贵一点，成人票价：80元
关于路径：位置在大剧院地铁站附近，美团买票后到大厦一楼兑换门票，电梯上40层，凭门票刷码进入，乘坐电梯上69楼，在69楼观赏
  ","https://sns-img-qc.xhscdn.com/4de4b0a5-d1e6-f3df-2438-f15289010296,https://sns-img-qc.xhscdn.com/397a4265-fe64-f5c7-52fd-a1ca468b830d,https://sns-img-qc.xhscdn.com/d414f3dc-7b1f-8c01-2842-b393022f7187,https://sns-img-qc.xhscdn.com/8bd74a3d-2d18-3d3f-4f6d-4f609ab9b0c3",https://www.xiaohongshu.com/explore/65353dc3000000001d015066
深圳12个高楼地标排名合集汇总,"来深圳游玩这些高楼也可以看一看，感受一下深圳城市繁华的高楼地标建筑，整理了一份12个高楼排名合集，看看你去过哪几个呢？
1、平安金融中心（福田）
599.1m
2、京基100（罗湖）
441.8m
3、华润大厦-春笋（南山）
392.5m
4、深业上城三期（福田）
388.03m
5、城脉中心（罗湖）
388m
6、地王大厦（罗湖）
383.95m
7、大百汇广场(福田）
380m
8、星河双子塔(龙岗）
369m
9、深湾汇云中心（南山）
358.7m
10、赛格广场（福田）
355.8m
11、汉京金融中心（南山）
350m
12、深圳湾壹号广场T7栋（南山）
约350m
         ","https://sns-img-bd.xhscdn.com/7ab2f4c0-8587-627a-7a82-46d7ca4277f0,https://sns-img-bd.xhscdn.com/0d73466f-d216-b42f-a41e-c5fbaa4b0af7,https://sns-img-bd.xhscdn.com/825b23f7-c3a0-b9c5-4d2b-8735d9a2bade,https://sns-img-bd.xhscdn.com/2662dc9b-ee4c-86d2-f293-dc002e289ac8,https://sns-img-bd.xhscdn.com/8bf6081e-6db8-554c-910f-139f1110328f,https://sns-img-bd.xhscdn.com/5a2c4b09-c795-159f-2520-0fb9525ee458,https://sns-img-bd.xhscdn.com/22251cf6-bf39-ebfd-34a8-f10b0edf15d2",https://www.xiaohongshu.com/explore/6506eb6e000000001f03929a
深圳地王大厦旅游攻略❤️❤️🌹,"深圳地王大厦旅游攻略
深圳地王大厦，位于深圳市罗湖区深南东路，是深圳的标志性建筑之一。下面是我为你准备的旅游攻略，让你轻松玩转地王大厦！
1. 景点地址
地王大厦位于深圳市罗湖区深南东路，交通便利，可乘坐地铁1号线至大剧院站下车，步行即可到达。
2. 避坑指南
参观地王大厦，尽量避免周末和高峰期，以免人太多影响游览体验。建议早上或傍晚前往，此时光线柔和，适合拍照。
3. 景点费用
地王大厦门票价格为60元/人，电梯费用为2元/人。如果你想体验观光电梯，需要另外购买门票。
4. 景点介绍
地王大厦总高度达383.95米，是深圳第一高楼。其独特的建筑风格和优雅的地理位置使其成为深圳的标志性建筑之一。登上地王大厦，可以俯瞰整个深圳市的美丽景色。
5. 注意事项
参观地王大厦时，请注意保持安静，不要影响其他游客的体验。在拍照时，请避免使用闪光灯，以免影响其他游客的视线。
6. 拍照指南
在参观地王大厦时，你可以选择不同的角度和机位进行拍摄。建议选择空旷的位置或背景较为简洁的地方，以便更好地突出建筑物本身的美感。
7. 最佳摄影时间
最佳的摄影时间通常是在傍晚时分。此时太阳逐渐落下，天空呈现出美丽的晚霞和色彩，可以拍摄出更加浪漫和迷人的照片。
8. 个人观点
我个人认为地王大厦是一座非常有魅力的建筑，它的优雅和简洁设计让人感到震撼和惊艳。参观地王大厦不仅是一种游览体验，更是一种欣赏艺术作品的过程。            ","https://sns-img-hw.xhscdn.net/f4d74de1-2f49-0956-192b-186e4c92168c,https://sns-img-hw.xhscdn.net/0793b066-809f-f4ab-73f8-5038227a4942,https://sns-img-hw.xhscdn.net/f6a22ee6-3b64-96e0-293f-94af54a88f9d,https://sns-img-hw.xhscdn.net/823a3cde-25b8-67dc-12c6-42b1d3ae7ee6,https://sns-img-hw.xhscdn.net/5be4a78b-90f2-dc46-5c2c-66669b74e4b0,https://sns-img-hw.xhscdn.net/3efd1585-5f9e-2611-1903-80df394769de,https://sns-img-hw.xhscdn.net/7a58e346-e558-43f0-6a61-091eb27e1afc,https://sns-img-hw.xhscdn.net/d86c3c0e-921b-c710-b158-17bfb3d53413,https://sns-img-hw.xhscdn.net/46793df7-ad11-6a64-86bc-89df79b3f88d,https://sns-img-hw.xhscdn.net/51c1263b-cfbd-7b0c-b45b-92d9c80444cd",https://www.xiaohongshu.com/explore/651f9456000000001e03e2a1
深圳十大地标建筑，你知道几个？,"1.第一 平安国际金融中心，598.9米，我国第二高楼，位于福田区，造型锐意进取的寓意，代表深圳人的创业精神。
2.第二 京基100，原名京基金融中心，441.8米，位于罗湖区。
3.第三 春笋，也就是华润大厦，华润全球总部大楼，392米，位于后海中心，形状突出，造型漂亮。
4.第四 深业上城，中规中矩造型，388.4米，位于福田区。
5.第五 城脉金融中心大厦 ，388米，位于罗湖区，集超甲级办公、精粹商业、高奢会所、行政会馆等于一体的世界级都会地标。现已获得LEED-CS金级预认证、WELL-Core金级预认证、中国绿色建筑二星认证，并于2021年12月被评选为“2022年全球值得期待的十大超高层建筑之一”。
6.第六 地王大厦，又名信兴广播场，384米，十大建筑里面最知名的存在，1992年，深圳政府向国内外企业公开拍卖，最终以1.4亿美元被香港一家公司高价中标，奠定了地价之王的位置，是深圳人心理图腾般的存在，代表了深圳崛起的标志。
7.第七 大百汇广场，高375.6米，位于福田区，形状像一个挺着肚腩的男人。
8.第八  汉京金融中心，高358.9米，位于南山区，造型奇特，顶部那里宽一些。
	
9.第九 深湾汇云中心，358.7米，位于南山区，集高端写字楼、商业、商务公寓、酒店为一体的大型城市综合体。
	
10.第十 星河双子塔，356米（规划369米），位于龙岗区，是世界第二、中国第一高的等高双子塔。
（图片个别有差异，请不要介意，后期完善[红色心形R]）
  ",https://sns-img-bd.xhscdn.com/8f3fa4f7-cfb0-fb7f-e035-0ef78195da76,https://www.xiaohongshu.com/explore/64663cdc0000000027029114
地王大厦27年前后对比，1996年亚洲第一高楼地王大厦，横空出世完成封顶，创造了九十年代深圳速度  ,地王大厦27年前后对比，1996年亚洲第一高楼地王大厦，横空出世完成封顶，创造了九十年代深圳速度  ,https://sns-img-hw.xhscdn.net/08826fcb-0aa7-06d0-3df1-11b377ed742f,https://www.xiaohongshu.com/explore/655f2311000000000f02a591
深圳罗湖地王大厦,"地王大厦虽然有些年代，但依然还是非常的漂亮的
  ","https://sns-img-hw.xhscdn.net/d5496f07-c121-bd03-6050-92db3483c68f,https://sns-img-hw.xhscdn.net/d9eef80d-422a-d13f-8b9d-5ff7323cce44,https://sns-img-hw.xhscdn.net/01d1cdfe-f436-ef87-492d-eb806d726de3",https://www.xiaohongshu.com/explore/649eb2480000000011013424
被小红书骗来的……,"天气太棒啦！昨天傍晚🌆拍到了好好看的照片，炒鸡出片~
-
在这里蓝天白云🌥️、日落🌄、黄昏🌇还有360度的深圳美景全部一次看完~好美呀！
-
每个深圳人的记忆都离不开地王大厦🏢，在384米高空，有一个主题性高层观光旅游景点：地王观光·深港之窗，用手机也可以捕捉到深圳最美时刻！非常出片！观光之余还能一次了解深港两地发展历史。
            ","https://sns-img-hw.xhscdn.net/21f65101-af88-b444-76fa-dab0b0782109,https://sns-img-hw.xhscdn.net/65a38159-10f2-2f1e-4677-04448058b002,https://sns-img-hw.xhscdn.net/61f2861e-4164-73d7-816e-2af298ed5568,https://sns-img-hw.xhscdn.net/8ddc9cb2-803a-c497-bd92-69c7b0a38b69,https://sns-img-hw.xhscdn.net/e99c3c17-45e4-0896-5cdc-b44188149974,https://sns-img-hw.xhscdn.net/dd690e32-5dbf-f075-a804-e99dda8c8d31",https://www.xiaohongshu.com/explore/65559030000000001701dd13
深圳目前有四大CBD，高楼遍地开花,"深圳是一个多中心的城市，拥有非常多的摩天大楼，其中200m以上（190栋+）和300m以上（20栋+）高楼数量为全国第一。
	
一、福田区CBD
主要地标：平安国际金融中心（599m）
大百汇广场（375m）
	
二、罗湖区CBD
主要地标：京基100大厦（441m）
地王大厦（384m）
城脉金融中心（388m）
	
三、南山后海CBD
主要地标：华润大厦-春笋（392m）
深圳湾一号（350m）
	
四、前海CBD
主要地标：前海世贸中心（300m）……
	
总体来说，深圳的摩天大楼比较分散，有一些高楼并没有坐落在CBD区域，而且深圳还在大量兴建高楼，真的是摩天大楼遍地开花的城市。     ",https://sns-img-bd.xhscdn.com/94c36248-d0d4-22a4-1614-9e46314cdb6b,https://www.xiaohongshu.com/explore/64efd865000000001d0145ef
不要来这！,都是一些骗人公司,"https://sns-img-bd.xhscdn.com/a060c85e-3164-8dfd-1f8a-2618042c2a52,https://sns-img-bd.xhscdn.com/3c16f128-6098-423b-bf1d-b78fdb3d594a",https://www.xiaohongshu.com/explore/648a90ca000000001300ac21
"【老照片】1994年，深圳。上世纪，修建地王大厦的建筑工人，他们正在位于蔡屋围的工棚宿舍内休憩。他们中的大部分来自广东的吴川县以及湖北的新洲县。地王大厦由总部位于湖北武汉的中建三局承建，后来很久它都是中国第一高楼。那会儿我刚进初中，记忆犹新。 ​​​
	
   ","【老照片】1994年，深圳。上世纪，修建地王大厦的建筑工人，他们正在位于蔡屋围的工棚宿舍内休憩。他们中的大部分来自广东的吴川县以及湖北的新洲县。地王大厦由总部位于湖北武汉的中建三局承建，后来很久它都是中国第一高楼。那会儿我刚进初中，记忆犹新。 ​​​
	
   ",https://sns-img-bd.xhscdn.com/ace1f83e-4f40-d522-ec42-9d27fbf1260e,https://www.xiaohongshu.com/explore/650447f00000000020003fb0
