title,desc,image_list,note_url
小梅沙正在修路…,"周末去了小梅沙，到了才发现这里在修路。但是海边栈道还可以正常进。
不好太停车，只能停到村子里，车位也很难找，首小时10元第二小时开始每小时3元
   ","https://sns-img-hw.xhscdn.net/2724fd81-594b-ac13-8b0f-5d9a3bfad700,https://sns-img-hw.xhscdn.net/4031c39c-c6e6-8870-8a2f-0862c07f2402,https://sns-img-hw.xhscdn.net/370fd77d-0d97-6dac-1131-caac3339b3df",https://www.xiaohongshu.com/explore/656424f5000000003203191a
定啦🤗12月28日开通‼️地铁直达大小梅沙🏖️,"
地铁8号线二期经过为期20天以上“试跑”活动，将于今年12月28日开通‼️
线路共设 4 座车站，分别是鸿安围站-盐田墟站-大梅沙站-小梅沙站
	
地铁沿线景点攻略抢先看👀🫣
	
🚇大梅沙站🌊
	
1️⃣ 大梅沙海滨栈道
大梅沙地铁站-步行1公里
大梅沙海滨栈道总长9.8km，水波汹涌，四海潮生，看海绝绝子👍
2️⃣ 大梅沙海滨公园
🚇大梅沙地铁站-步行500米
沙子柔软、海水清澈，沙滩大且干净，深圳必打卡景点之一🐳
3️⃣ 栖息图书馆
🚇大梅沙地铁站-步行200米
图书馆建于湖上，独栋欧式建筑美到词穷，藏书丰富开放时间：周三至周日（12:00-19:00）
每周二闭馆，免费免预约
	
4️⃣听海图书馆
🚇大梅沙站-步行300米
听海图书馆颜值与实力并存，360°环绕全玻璃设计，抬头看海、低头看书…
开放时间：周一、周三至周日（12:00-19:00）
每周二闭馆，免费免预约
	
🚇盐田墟站🚆
	
1️⃣ 春天海图书馆
盐田墟站-步行300米
春天海图书馆外形建筑是书籍造型，馆内浪漫的蓝色调静谧又梦幻📕
开放时间：周一、周三至周日（12:00-19:00）
每周二闭馆，免费免预约
	
2️⃣ 盐田海鲜街
盐田墟站-步行300米
盐田古老渔村，这里除了吃海鲜，还有美丽的海滨栈道，拍照特别出片📷
	
3️⃣ 烟墩山国际友好公园
盐田墟站-步行900米
公园位于盐田河入海口。上山看海，风景一绝，是盐田区非常值得打卡的一个公园。
	
🚇小梅沙站🏖
	
1️⃣ 小梅沙度假村
小梅沙地铁站（出站就是沙滩）
小梅沙历经几年升级改造，即将回归。全面更新的小梅沙聚集主题乐园、生态公园、酒店滨海度假配套、预计明年 5月正式开放；
	
2️⃣背仔角灯塔
距离小梅沙地铁站8公里
背仔角灯塔在小梅沙海湾最东端，被誉为“深圳的尽头”，它像遗世而独立的存在，红白相间的灯塔在深蓝大海的映衬下尤为壮观。
	
           @城市情报官 @走走薯 @户外薯 @小红书创作助手","https://sns-img-bd.xhscdn.com/7f76b585-eded-ede6-2521-dc76ccc73f01,https://sns-img-bd.xhscdn.com/f3a8e6d8-e4db-6acf-678c-571b8c5698e9,https://sns-img-bd.xhscdn.com/56b2da0e-c625-549a-8860-3dc67de2ae16,https://sns-img-bd.xhscdn.com/2ae6f116-7f36-5c7a-32b1-935055215d36,https://sns-img-bd.xhscdn.com/a36c32fe-b077-a62b-bf81-8e0648f73084,https://sns-img-bd.xhscdn.com/421011a9-9de1-0308-0293-a132b18a5fb6,https://sns-img-bd.xhscdn.com/ce547f65-7b95-5d4d-ac13-f80d7a0e7a45,https://sns-img-bd.xhscdn.com/a02a395f-1d3a-4001-455b-1337fe87f71b,https://sns-img-bd.xhscdn.com/95504edf-492a-8be5-2b3a-e5051411dcdf,https://sns-img-bd.xhscdn.com/0803ebac-ee17-6970-56ec-b259f441f47c,https://sns-img-bd.xhscdn.com/3266a442-1490-0a1d-a855-457d4545a61d",https://www.xiaohongshu.com/explore/656f785700000000380352ca
小梅沙提案——有啥不一样？,"竞赛分享，留言评论优点
	
#双十一小红书买买节@薯队长 @薯条小助手 @创作者小zhu@创作者小助手 @小红书REDesign  #风景园林  #设计竞赛  #景观竞赛  #建筑设计  #景观设计  #国际竞赛备考  #环艺考研  #环艺设计  #建筑学考研  #我的日常  #考研规划  #城市设计留学  #城市设计竞赛  #城市设计参考图  #景合文旅  #文旅规划设计  #旅游规划设计  #建筑快题 #宽窄巷子@薯队长 @薯条小助手 @创作者小zhu@创作者小助手 @小红书REDesign  #风景园林  #设计竞赛  #景观竞赛  #建筑设计  #景观设计  #国际竞赛备考  #环艺考研  #环艺设计  #建筑学考研  #我的日常  #考研规划  #城市设计留学  #城市设计竞赛  #城市设计参考图  #景合文旅  #文旅规划设计  #旅游规划设计  #建筑快题 ","https://sns-img-bd.xhscdn.com/ee3cff9e-5a89-9aec-3b71-d30e3bdc060c,https://sns-img-bd.xhscdn.com/c059b49c-50c2-4ed4-399c-f68157b8434a,https://sns-img-bd.xhscdn.com/6a4d21cd-bdfc-adbd-b347-11b41cd95778,https://sns-img-bd.xhscdn.com/526a803c-5044-1b16-15e8-c1075bc2f862,https://sns-img-bd.xhscdn.com/1f3a33a3-10b4-223c-b0a3-0af9420aa494,https://sns-img-bd.xhscdn.com/f6bd2aae-3d43-2600-bccf-2d5174d46a24,https://sns-img-bd.xhscdn.com/7ab07967-d3ae-4994-8221-262ffbdbd9e2,https://sns-img-bd.xhscdn.com/afa262b9-9a35-8a82-6a3f-940382963fd0,https://sns-img-bd.xhscdn.com/de83c35c-5c3e-30e8-06b4-ff6801a67e09,https://sns-img-bd.xhscdn.com/957ff9af-f608-4c14-bfb4-70129034c102,https://sns-img-bd.xhscdn.com/f120c6f5-5951-d5e0-12b4-32ee240c0afa,https://sns-img-bd.xhscdn.com/26521551-fcae-5bcf-fece-d66bd4fdb8cd,https://sns-img-bd.xhscdn.com/78f821b1-aa25-1b41-50a7-9c67c9ceca10,https://sns-img-bd.xhscdn.com/22e83ebe-95be-ab93-6ee0-09f0e25d04ae,https://sns-img-bd.xhscdn.com/972413c5-0716-e4b2-8686-5a614bbdf4a9,https://sns-img-bd.xhscdn.com/dee15be3-d96b-a262-9059-7510f52c7340",https://www.xiaohongshu.com/explore/653ba497000000001f03e264
千万不要在工作日来小梅沙海滨栈道！！！,"因为你会收获一段绝美的记忆！！
	
一直对大小梅沙穿越非常感兴趣，但是全程将近20公里，要走至少五六个小时，确实怕自己体力吃不消，于是趁着工作日，直接选择了第三段沿海栈道部分来进行游玩（小梅沙到背仔角灯塔）～
	
交通🚗
公交车坐到小梅沙总站走过去，不过差不多1公里左右的路程全部都是工地灰尘特别大，一定要带好口罩
也可以直接选择打车到海关小梅沙教育培训基地，车子开到差不多地方路上就有护栏显示不能再往前开了，下车大概往回走20米，就可以看到栈道入口啦，沿着楼梯走下去、就能看到超级超级美的海啦！！！
	
路程⌚️
从入口走到背仔角灯塔差不多四五十分钟，工作日路上基本上没有人。可以尽情地拍照，也不用怕拥堵。
从灯塔原路返回小梅沙大概30分钟就能走完了。
玩乐
大概走到四分之三位置的时候有一个平台可以直接到沙滩上，不过位置比较小，路上有看到很多人都是找比较好爬的岩石从栈道直接爬下去，但是危险哦，路上也有工作人员提醒不要攀爬。潮落的时候也能看到很多大人带小孩下岩石滩赶海，好像能挖到很多青口，羡慕了！
	
拍照📷
全程！每个角度！都非常适合打卡！
礁石上不知道是青苔还是海草特别特别翠绿，显得超级有生命力
而且水也特别清能见度很高，海里的石头都清晰可见，太阳照射下来波光粼粼的真的是绝绝子
走到最后背仔角灯塔那块位置海的颜色突然就变成了很静谧的深蓝，加上灯塔的红色，无敌适合打卡了！
	
全程走下来，基本上没有什么台阶，真的非常适合散步、而且走累了之后，灯塔那里的海风特别大坐在石头或者是椅子上休息，心情也超级好！","https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi00040upondmbisbtd5nkvg,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi00g40upondmbisb47cbar0,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi01040upondmbisbsgfpl1g,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi01g40upondmbisb6j67888,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi02040upondmbisbhc86asg,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi02g40upondmbisbbk7pg68,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi03040upondmbisblol3ou8,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi03g40upondmbisbg4tmiso,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi04040upondmbisbbhio5uo,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi04g40upondmbisbjv28rqg,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi05040upondmbisbttb71vg,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi05g40upondmbisbhtfhk9o,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi06040upondmbisb5o4sb20,https://sns-img-hw.xhscdn.net/1000g00825qo9a9sfi06g40upondmbisbas2b56g",https://www.xiaohongshu.com/explore/640b4231000000001301051b
小梅沙升级啦，必须再去一次深圳东部滨海！,"🌊大梅沙、小梅沙是深圳人对沙滩的第一次记忆。
也记录着深圳从小渔村到大都市的历程。
现在，小梅沙正在焕新升级，以满足我们对沙滩的更多期待。
	
⛰️生态山海、海洋世界、滨海街区、沙滩海湾，
是小梅沙马上要呈现给我们的新面貌。
	
📌小梅沙预计明年五一全新开放！","https://sns-img-bd.xhscdn.com/cf1d83b9-434d-6f22-514c-f6aabf7f070a,https://sns-img-bd.xhscdn.com/570252b4-c829-ee0e-0279-f8be6a023dea,https://sns-img-bd.xhscdn.com/4162aa42-81aa-991e-0792-204d52fbd36b,https://sns-img-bd.xhscdn.com/4562dac9-35c2-300e-f2c3-3ab8a7aa10c7,https://sns-img-bd.xhscdn.com/934fa705-9157-431a-4a8e-7a5e4d24e957,https://sns-img-bd.xhscdn.com/08a69b83-8b39-5ccc-ec8d-6a13d789f986",https://www.xiaohongshu.com/explore/6558d84a0000000033007c13
深圳地铁8号线 小梅沙地铁站！抢先看,  ,https://sns-img-qc.xhscdn.com/e85e1bae-ad5b-ecef-2f73-aa1d6eaae357,https://www.xiaohongshu.com/explore/65851bc80000000006022e2e
广东首家美高梅酒店来啦🔥就在深圳小梅沙‼️,"11月4日，深圳美高梅酒店""签约仪式在北京举行📍，广东首家美高梅酒店落户盐田小梅沙🔥，未来将打造成奢享💯和海洋文化相结合的顶级体验地和新的区域地标🔥
💁酒店名称:深圳美高梅酒店
📍地址:广东省深圳市盐田小梅美高梅酒店
🕑开业时间:2024年五一
💁酒店介绍:
1⃣酒店由日本一级建筑师事务所佐藤综合计画担当概念设计👍，酒店建筑面积45,000平方米，客房数不少于300间，配备各类餐厅🍽及酒廊🥂、多间多功能厅及会议室、健身房与泳池🏊🏻等娱乐休闲设施🔥
2⃣美高梅，代表着国际化的""娱""悦高度。来自美国拉斯维加斯的美高梅国际酒店集团👍，是全球知名的豪华酒店集团之一🔥。在其大本营拉斯维加斯，主干道两侧从奢华代表的 Bellagio （宝丽嘉）🔥，到坐镇地标的 MGM Grand🔥 ，到以熔岩火山闻名的 The Mirage （美高梅美幻）🔥，再到以真沙海滩出名的 Mandalay Bay🔥 ，无不代表着拉斯维加斯的""娱""悦高度💯
3⃣深圳美高梅酒店旁，鹦鹉螺形状的便是小梅沙新海洋世界🔥，包括热带馆🦓、极地馆🐋、鲸豚馆🐳等，将有200多种珍稀名贵的动物🐅。项目将设计全球最大的""青蓝洞""，投放10万余尾沙丁鱼风暴🐠，结合数字媒体技术，为参观者带来高科技＋海洋娱乐体验💯
4⃣梅沙客厅由一栋24米高塔楼及室外配套组成，未来承载片区公共旅游配套服务功能👍，同时也是片区特色文旅融合产业的配套服务承载地🔥，将是未来深圳海洋城市文化体验、文化艺术展览展示📍、文化沙龙📍、论坛📍、公益讲座📍等的重要活动举办地👍
# ","https://sns-img-bd.xhscdn.com/aba84d42-19b6-dc54-06a8-5c7bf745395d,https://sns-img-bd.xhscdn.com/f0721f07-827b-88fa-266d-6d54dd994846,https://sns-img-bd.xhscdn.com/9a8559a2-5d5b-7462-ae9a-e1fe8040008c,https://sns-img-bd.xhscdn.com/db73cbae-29c8-3490-81cd-ab3e95615392,https://sns-img-bd.xhscdn.com/11390ec3-c0ba-1b10-d3b1-1492fe11dfc2,https://sns-img-bd.xhscdn.com/ce1b30bd-33da-851f-9c33-f7b2de306006",https://www.xiaohongshu.com/explore/649af776000000001300ecb7
小梅沙，非自驾别来！！,"图1,2 ➡️ 深圳地铁转M199公交车🚌
差点挤死在巴士上，根本没位置坐……
但是滴滴太贵了 又堵车的情况下
	
图3,4,5 ➡️ 小梅沙海滨栈道
风景真的很美 水真的很蓝 海风真的很爽","https://sns-img-hw.xhscdn.net/34bed86a-7b96-5509-75c2-11305e47e9a3,https://sns-img-hw.xhscdn.net/0c5460ee-0e4e-0939-188f-1ceaef08f48b,https://sns-img-hw.xhscdn.net/0075f901-137f-16e1-daec-38039ada5b4d,https://sns-img-hw.xhscdn.net/2dddddd1-4e84-0acb-d622-73de21aeebfe,https://sns-img-hw.xhscdn.net/e9365232-2124-500e-a88f-4dd7d614843d",https://www.xiaohongshu.com/explore/6519382b000000001c01500f
深圳24个绝美海边沙滩合集|快去拥抱大海,"[彩虹R]亲们，整理深圳24个比较熟知的沙滩
去过14了，有什么问题可以问哦
～
1、小梅沙（去过）
2、大梅沙（去过）需预约
3、	背仔角沙滩（去过）
4、溪涌沙滩
5、玫瑰海岸（去过）
6、沙鱼涌沙滩（去过）
7、官湖沙滩（去过）
8、金沙湾沙滩
9、大澳湾沙滩
10、南澳第一沙滩
11、海贝湾沙滩（去过）
12、蓝宝石沙滩（去过）
13、鹅公湾
14、柚柑湾（去过）
15、大鹿湾
16、东涌沙滩（去过）
17、西涌沙滩（去过）
18、白沙湾公园
19、坝光沙滩
20、较场尾（去过）
21、花海间沙滩（去过）
22、桔钓沙
23、杨梅坑沙滩（去过）
24、鹿嘴山庄
～
[星R]蓝天、白云、清澈见底的海水、绝美的风景等着大家去探索～
[向右R]合集里有部分海滩视频哦
          ","https://sns-img-hw.xhscdn.net/62ebe922-bde7-524b-af00-4ec2d3109a32,https://sns-img-hw.xhscdn.net/ddc4fb2f-b94d-af6f-f288-ef9fa867a0c7,https://sns-img-hw.xhscdn.net/a40ce789-8e08-1451-40f9-da46637647cd,https://sns-img-hw.xhscdn.net/0a0f0de9-80f9-70c1-3f9d-7c8780579179,https://sns-img-hw.xhscdn.net/39633bf0-e039-46f0-55c3-655dc506fef8,https://sns-img-hw.xhscdn.net/3f48793a-b6ba-824a-3c11-a36a60997208,https://sns-img-hw.xhscdn.net/abb2f8a9-1a37-9409-159e-f23dba272d2e",https://www.xiaohongshu.com/explore/6499809c000000001300831f
小梅沙即将上线 背仔角我来了,"中午多了个能去扫街的地方 期待
      ","https://sns-img-hw.xhscdn.net/c5a767bd-83ae-070d-5eef-b7f037f57a53,https://sns-img-hw.xhscdn.net/4ad9f6fd-05a8-a2e4-1327-53420a045108",https://www.xiaohongshu.com/explore/6577ac8e000000000801f832
