title,desc,image_list,note_url
深圳杨梅坑 坑点告知贴！！⚠️主意,"上周跟老公去了杨梅坑，有值得一玩的地方有坑点的地方，姐妹们听我细细道来！！
‼️‼️最重要的交通问题🚗🚗
1⃣️自驾前往的话强烈建议停在杨梅坑停车场的周边2公里内的停车场，不要！不要！不要往最里的停车场挤，堵到哭的程度[石化R][石化R][石化R]
我们停在P2停车场，首时15，每一小时加5元，算便宜的了。停好之后在门口有很多摩的，打一个20直接到海边。这个方式最快捷，当时摩的小哥还挺好的还给我们回答了好几个问题。
	
🎠🎠景点及游乐相关
1⃣️快艇🚤，我觉得全程最值的地方！！坐第一排会非常刺激，胆小的姐妹往后坐！！[笑哭R][笑哭R][笑哭R] 那天风浪很大，船被拍得老高了吓得不轻，但是好玩！！
2⃣️人鱼洞🧜，确实好看水很清但人也不少。万万没想到到了海边居然还要爬山的，值得一看 但也就是一看哈哈！
3⃣️海滩🏖，整个海滩沙很细水很清，还有一些石堆不少小朋友在上面找寄居蟹。如果要赶海的话可以去 白沙滩，不过记得小程序看好赶海时间哦！
	
✅✅推荐路线：
强烈建议坐完快艇后，上山全程坐小巴士，否则爬到山顶真的是累得没什么力气看风景了！
下山可以选择步行，全程是沿海走廊非常美丽！！兴起时还可以随时下去踏踏浪！
⚠️小巴车是有时间的哦，且分两段，第一段13元从入口坐到鹿角山庄（沿海路段）第二段5元（下山懒得走太多这程可以坐）坐到人鱼洞。如果坐了快艇就不需要坐第一程小巴车啦～
	
最后！！千万不要选择周天晚上回市区！！很多人从惠州方向回市区超级堵！！！[哭惹R][哭惹R][哭惹R][哭惹R][哭惹R]
	
希望以上有帮助到你哦！！[飞吻R][飞吻R][飞吻R][飞吻R]
     ","https://sns-img-hw.xhscdn.net/31584d9f-1a89-bc7b-dfd4-40f5e9b48bb3,https://sns-img-hw.xhscdn.net/73e5bacc-ff74-7774-b98b-cc00e4a25705,https://sns-img-hw.xhscdn.net/2e3fc688-5e07-816d-2bf4-2c601bfe920c,https://sns-img-hw.xhscdn.net/1ff3d2fc-84be-6579-6132-9ce1f3473783,https://sns-img-hw.xhscdn.net/a41be818-f511-23e6-7244-a72b09c436aa,https://sns-img-hw.xhscdn.net/1be8af73-692b-35e6-98be-4aee958b4373",https://www.xiaohongshu.com/explore/6555cbf1000000001b037ac6
杨梅坑没有下次了...,"📍地点：深圳杨梅坑
🥾长度：6公里
👓难度：⭐⭐
	
⛰️🌊
绝美山海徒步路线。登大雁顶，远眺连绵的山峦，领略超五星的无敌海景，可在杨梅坑自由漫步，打卡极具浪漫与诗意的美人鱼洞。
	
溪谷、山野、丛林、草甸、沙滩、礁石、大海
满足你对山和大海的所有憧憬
感受“山海相依、水火共融”的独特魅力
	
大概行程：
1️⃣7:30珠江新城出发
2️⃣10:30左右到达深圳杨梅坑，停好车，上好厕所买好午餐出发。
3️⃣10:45可以选择坐船或者观光车到达徒步的一个起点。船票是30单次，观光车（没坐不知道）但是离停车的地方有几百米。
4️⃣11:00 到达大雁顶徒步的起点，上好厕所，做热身出发咯！（徒步路上没有洗手间‼️）
5️⃣12:00左右到达第一或者第二观景台开始午餐时刻！午餐大概20就可以出发了。
6️⃣14:00即可到达三号观景台，从这里可以俯瞰远处山海相连的景色。到三号观景台即可不需要再往上走❗️（到达三号观景台路程有很多分叉口，都可通过，无非是缓坡和陡坡）
7️⃣15:30返回到山脚徒步起点，出发前往美人鱼洞。（可坐电瓶车5块钱/人，一个小时即可逛完，不用走回头路。
8️⃣17:00返回到下船点，乘船回到杨梅坑停车场，休息片刻即可出发返回广州。
9️⃣21:30左右即可到达珠江新城！周末很大可能无法避免塞车。
	
⚠️装备建议：
1.必备装备：双肩背包、运动鞋或徒步鞋、帽子、雨衣、手机等；
2. 可选装备：手套、护膝、太阳镜、头灯或手电、相机、防晒霜、替换衣物等；
3. 午餐（干粮自备）；
4. 食品和水：少量干粮、水果、补充能量食品，1.5L水，功能饮料500ml。
   ","https://sns-img-qc.xhscdn.com/33b01ccb-d314-4a9c-3a36-d0f9fe4ee97c,https://sns-img-qc.xhscdn.com/cbb18700-f9d8-41e3-6825-fd84e8e0b25e,https://sns-img-qc.xhscdn.com/7c95f319-8e72-426c-1c5d-3167b53a85ee,https://sns-img-qc.xhscdn.com/b15b48e8-b90c-0748-413f-0be597ee8e17,https://sns-img-qc.xhscdn.com/95a045d5-8226-fd04-557c-cdad645cef1a,https://sns-img-qc.xhscdn.com/83599062-b27b-4ca5-c902-02e3f69ef3f8,https://sns-img-qc.xhscdn.com/1381b6db-2749-345a-3a52-1c7a3cf5b682",https://www.xiaohongshu.com/explore/65348510000000002303a466
深圳｜最推荐去的6个宝藏海边！建议收藏！,"1⃣桔钓沙
深圳最干净的沙滩！沙子超级细软！！还有超级好看的玻璃海，海水很清澈，在这里拍照怎么都出片！
🎫门票：免费
📍地址：大鹏新区环岛公路桔钓沙
2⃣玫瑰海岸
玫瑰海岸的海水和桔钓沙一样都是玻璃海，海水还算清澈，海滩上还有椰林树影，适合度假，水上游玩道具等，附近有很多小店都挺适合拍照打卡的。
🎫门票：成人40 儿童老人25
📍地址：龙岗区深葵路551号玫瑰海岸
3⃣鹿嘴山庄（杨梅坑）
电影《美人鱼》的拍摄地
鹿嘴山庄和杨梅坑都是在一个地方，可以一起去。日出很美，超有氛围感的海边，海边是比较高的崖边，建议穿舒适的鞋子去，还有美人鱼洞可以打卡。
🎫门票：免费 游艇20-25/人 观光车13.8/人
📍地址：龙岗区南澳杨梅坑新东路
4⃣天文台
最适合徒步的海边，有着最美海岸线的称号。全长1.8公里，有的地方会比较陡，走完全程大概1.5-2小时，沿着海岸线走，边走边拍照真的很绝！
🎫门票：免费 山顶大巴10/人
📍地址：深圳天文台
5⃣深圳湾公园
可以看到海鸥的海边公园~地铁站深圳湾站D2出口，一出来就可以看到海边，三月份会有海鸥，和海鸥拍照氛围感拉满了好吧！落日也好美~
🎫门票：免费
📍地址：南山区滨海大道（近望海路）
6⃣盐田海山公园
盐田的海边公园虽然比较小，但是风景也不熟深圳湾公园！海山公园附近还有很多可以逛的地方，天气好的适合拍照很出片，高级感一下就上来了~
🎫门票：免费
📍地址：盐田区海山地铁站盐田区深盐路
     ","https://sns-img-hw.xhscdn.net/7b8919d0-127d-2da7-9ec7-4cf37f5fda27,https://sns-img-hw.xhscdn.net/cf0c1d2e-65ac-0fb6-8dc7-4a17b58a8993,https://sns-img-hw.xhscdn.net/c1f712ba-e368-0d0c-49ea-0f87e534b460,https://sns-img-hw.xhscdn.net/9941fdb6-b2b0-19cb-ea8c-ddb8889a5572,https://sns-img-hw.xhscdn.net/d823dec6-18db-e87d-3e50-dfd3bbd6c776,https://sns-img-hw.xhscdn.net/e4ea9585-bcd9-c8ac-6544-bcdddfae796e,https://sns-img-hw.xhscdn.net/70ef5c89-a5e8-d7b0-ed93-30facae135c5",https://www.xiaohongshu.com/explore/657a80c90000000006023bd8
干货收藏❗杨梅坑丨鹿嘴山庄丨美人鱼洞,"🔹「杨梅坑——鹿嘴大道——鹿嘴山庄——周星驰拍摄电影《美人鱼》的人鱼洞」🔹这条徒步路线，大概是今年给我蕞大的惊喜。晴朗的天，平坦的路，蓝色的海，还有惊涛拍岸的美人鱼洞，真的太舒服太美啦！如果在深圳，一定要走一回！
	
🎈【关于交通】
深圳北站乘坐E11高速大巴（票价10元）——南澳月亮湾下车（全程大约1.5-2小时）——原地转M274小巴（票价3元）——终点站“杨梅坑”下车（小巴约30分钟内）
	
🎈【杨梅坑——鹿嘴沙滩】
有三种方式，详见图16
◾︎ 坐快艇：M274下车后，顺着马路往前走大约100米左右，会看到一座桥。根据图示左转，票价30元/人，来回60元。
	
◾︎ 坐观光车：看到桥后继续前行，大概还要走300米，就会看到岗亭。根据图17，右边是观光车排队及买票处，票价13.8元/人，来回27.6元。
	
◾︎ 徒步：免费。从观光车的起始点开始往前走这条鹿嘴大道，全程大概3-4公里，走走拍拍约1-2小时。
	
🎈【鹿嘴沙滩——鹿嘴山庄酒店大堂/悬崖餐厅】
有三种方式，详见图18
◾︎ 观光车/快艇的终点站，是鹿嘴沙滩。从这里到酒店大堂/悬崖餐厅，已经很近了，大概1公里内，步行约8-10分钟。走路过去，其实很快的。
	
◾︎ 鹿嘴沙滩处有吆喝，坐园区观光车，5元/人。
	
◾︎ 鹿嘴沙滩处有哈啰共享电车，路程短，费用贵，有网友说不建议租。
	
🎈【酒店大堂/悬崖餐厅——美人鱼洞】
顺着左手边山上的栏杆走，一直前行，大概五六分钟就会看到非常空旷而有气势的大海和美人鱼洞，超级美。只能步行，无交通工具。
	
🎈【回程】
美人鱼洞走回酒店大堂/悬崖餐厅——坐园区观光车5元或者走路回到鹿嘴沙滩——坐观光车13.8元回到杨梅坑——走一小段路约5分钟到7-11便利店（新东路店，可口可乐联名主题），这里才是M274回程起始站。
	
👉🏻【我个人蕞喜欢】
去程徒步，直到终点美人鱼洞，路况好风景美，适合拍照。
	
回程累了，从鹿嘴沙滩坐观光车（13.8元）5-7分钟回到杨梅坑，方便尽快搭巴士去吃饭/返回市区
	
🎈【注意事项】
◾︎ 挑一个阳光灿烂的好天气，蓝天白云+玻璃海，风景美啊！
	
◾︎注意防晒，带足水、食物、充电宝
	
        #","https://sns-img-bd.xhscdn.com/36c38bb2-9938-0e2a-acde-33f9839239b7,https://sns-img-bd.xhscdn.com/7fd93642-6cbf-65c5-d415-d24ae09b75cf,https://sns-img-bd.xhscdn.com/4fac5efb-eb9f-43d3-fb9d-fe11a8e24421,https://sns-img-bd.xhscdn.com/9e96bed3-9122-8197-5e4a-b3d6221bb74e,https://sns-img-bd.xhscdn.com/2af5d289-fc26-d410-6b80-ddf176e546e3,https://sns-img-bd.xhscdn.com/70baf41e-65d3-e889-c960-d5bd3a3842ec,https://sns-img-bd.xhscdn.com/529ac211-45bc-98f4-63be-d0eafcbedb99,https://sns-img-bd.xhscdn.com/16b7e618-9d79-085f-c2c2-097f76344e1b,https://sns-img-bd.xhscdn.com/65f20958-3908-2f1a-32d4-0de02414e4d2,https://sns-img-bd.xhscdn.com/9c11ba2c-b093-a571-ce6e-6c3f45ad5a11,https://sns-img-bd.xhscdn.com/2381b4ed-87fc-7bcd-3f81-3ec6a6f76219,https://sns-img-bd.xhscdn.com/7feeb439-6597-1180-4b97-e0cc7df3469c,https://sns-img-bd.xhscdn.com/eb4b2a5e-113e-4e49-60cb-2147e35decc6,https://sns-img-bd.xhscdn.com/fbe8d97c-aa11-c75d-3a5b-416937db30f1,https://sns-img-bd.xhscdn.com/c8306634-21c3-117d-d522-dd66a614cba0,https://sns-img-bd.xhscdn.com/cbf35ad7-d50b-fd7a-3c12-ce4814180961,https://sns-img-bd.xhscdn.com/f7d0c178-55fb-b479-2e44-6e3b882d917b,https://sns-img-bd.xhscdn.com/d34facb7-6917-1c07-5303-f353b3ba0af0",https://www.xiaohongshu.com/explore/654a1988000000001e03160e
抱歉，因自大而浪费了公共资源｜望郎归徒步,"自以为经验丰富，原定线路是杨梅坑-老虎座山-大雁顶-望郎归-返回杨梅坑，大约16km爬升900多，因为以前比这强度大的线路也走过好几条，便预估九小时到十小时可以搞定，也劝同行的山友不用太赶基本不会摸黑下山。
我们早上九点上山，不算很热，偶尔有风，在往大雁顶攀爬时有一段岩壁比较险。最后到望郎归已经快五点，拍照拍了半小时，然后下撤，这个时候离天黑差不多两个小时，往三号观景平台返回应该是可以坚持到步道路，可就在这时，到了丁心湖，指示牌显示岔路可以到一号观景平台，相当于更近一点，有点心急的就往这下去了（因为我们都没有水了，不想再爬升，往原路三号平台有一个非常大的上坡)。
从丁心湖这一段到一号观景平台，显示是在建森林巡防道，2.2km约需2小时，以为走快点能在入夜到底，实际走下去才发现非常难走，很多接近垂直的坡度一路抓着树枝和藤条往下降。偶尔按着线路走着有点偏移，又不停找路走到轨迹上，沿路也有反光飘带，撞得满头是蛛丝，最后从32号走到11号反光带，眼看离步道只有200米了，却怎么也找不到十号反光带，因为缺水失盐久，体力不支，就不敢再走了，决定打119救援，好在我们已经下到低海拔，这里也有信号！联系救援后大鹏消防让我们发经纬度（安卓手机的指南针说最准确）问了我们的状况，救援队就立刻带了水出来了，我们在原地等候！最后过了一个小时多一点，救援队九位帅气年轻小伙子找到我们，原来巡防路就在我们上方几米处，但是真的那个时候因为缺水太久，再乱钻就怕身体出事。
感谢“深圳市大鹏新区救援大队直属救援站”和九位帅气年轻队员，一路护送我们，走了十来分钟就到了步道，再下去二十几分钟到鹿咀山庄，出去杨梅坑叫车回家。
[拔草R]
1. 最大失误是高估自己，实际上攀爬多的线路是更耗体的，需要酌情降低公里数，水带少了（无补给)，头灯也没带。
2.庆幸这次没有人受伤，没有遇到野兽和蛇，没有下雨，有信号有电量有救援，不然不敢想象。
建议:
1.非大神的话，来望郎归一定要在三点多之前到达，给下撤预留充分白天时间。
2.望郎归除了丁心湖-三号观景平台这条是多人走的，其他的路都非常野，比如下到马料河海柴角东涌等！植物长得很密，路也难，一定要在白天按轨迹走，晚上真的容易迷路！
3.水和充电宝一定要带足，听救援队说每周这里都要救援四五次，所以他们对森林巡防路比较熟，不过咱普通徒步者一定不要走人迹罕至的野路！
   ","https://sns-img-hw.xhscdn.net/61740d7f-8d48-925b-3127-e96eb1c5d735,https://sns-img-hw.xhscdn.net/453f5f95-15fb-0c7b-b0b2-d2780da2decb,https://sns-img-hw.xhscdn.net/8bf6d7bf-0b01-5b2d-d828-89d928ca78d2,https://sns-img-hw.xhscdn.net/97e3bd11-267e-e7c4-40d4-8e417f4bdd53,https://sns-img-hw.xhscdn.net/0ad46d47-8762-6ab5-b7ef-ca130b44c2ba,https://sns-img-hw.xhscdn.net/c4746476-7793-cf72-812b-05c89fa9db24,https://sns-img-hw.xhscdn.net/18e92de5-1a3a-3034-f1a2-0b8c7d162fa8,https://sns-img-hw.xhscdn.net/0cee0238-2afe-a174-21ae-c1e16eaeccbf,https://sns-img-hw.xhscdn.net/93c23058-7294-0f42-4c73-05250d801420,https://sns-img-hw.xhscdn.net/fcd8f607-9296-ff86-fd8d-6d85f9ac9a5c,https://sns-img-hw.xhscdn.net/b557b55e-3f1d-eb28-b6ec-5710416d0dc4",https://www.xiaohongshu.com/explore/64bd38a7000000000b02a87b
深圳的玻璃海，有点难评,"苏拉台风+海葵暴雨，昨天去了风很大的玻璃海[失望R]真的……有点难评！
-
图2⃣️3⃣️是桔钓沙，沙滩比较小，水…凑合吧，游完泳发现冲淡设备维护中，体验很尴尬。唯一的优点是人不多，可能是下雨的缘故。
-
	
图4⃣️5⃣️是杨梅坑，石滩类型的海，风大到伞都吹翻，石滩很难走，不过可以看到远处的海还是很好看的。
-
本来是来看日出的，天气不好真的很可惜。近期有计划的家人们最好还是遵循天气预报出行吧[哭惹R]
      ","https://sns-img-hw.xhscdn.net/d3ff4416-6514-2a6a-d318-63b5d05d9cd7,https://sns-img-hw.xhscdn.net/8b408da0-0cc5-5803-4240-6738ca1d1599,https://sns-img-hw.xhscdn.net/b8ca1ee1-4498-f397-461a-0066345f0e39,https://sns-img-hw.xhscdn.net/38578a54-c084-5ede-8f04-55c6f542c3c0,https://sns-img-hw.xhscdn.net/25d1ddc4-3ffa-9d98-a201-a593cc4392aa,https://sns-img-hw.xhscdn.net/d5169cd9-aed3-544d-6fab-ed46a4d3e8f6,https://sns-img-hw.xhscdn.net/1d6d3876-7ed2-a66f-0250-90a1e1b91900,https://sns-img-hw.xhscdn.net/872fa29c-7191-e413-8361-b4999c98281a",https://www.xiaohongshu.com/explore/64fe6701000000001f0349f9
刚从深圳团建回来，血泪的教训😭,"深圳团建|户外团建|团建攻略|团建定制
团建策划|团建方案|团建玩法|团建场地
——
刚从深圳团建回来
都要emo了
做了很多攻略还是没做到位
所以现在把经验教训总结出来
给大家做个参考
希望大家团建及时避雷
——
✈️【团建行程推荐】
08:00-09:00抵达大梅沙
09:00-10:00热身、破冰游戏
10:00-11:00沙滩运动会
11:00-12:00纳斯卡巨画
12:00-14:00午餐
14:00-16:30摩托艇
16:30-18:00游泳
18:00-20:00露营烧烤
20:00-21:30返程
·
⛳️梧桐山
亮点：山里溪涧幽邃、植物茂盛，登上山顶，向东南远眺，大鹏湾海面以及大鹏半岛尽收眼底
项目：爬山⛰️、徒步、定向活动
·
杨梅坑
亮点：名副其实的玻璃海!能看到成群的小鱼和螃蟹水质很好附近的美人鱼🐟洞，视野宽阔，两侧林木茂盛，海天一色，清新又治愈。
项目：山海徒步、最强战队、帆船⛵、潜水
·
⛳️较场尾
亮点：被誉为深圳版“鼓浪屿”，是广东深圳唯一一个有海岸线的村子，有明媚的阳光，蔚蓝的大海，沙滩比较狭长，分为几个层次。
项目：定向寻宝、古风剧本杀、撕名牌
·
⛳️大鹏所城
亮点：经历600多年风风雨雨，错落有致的明清居楼依然保存完好，有悠久深远的小巷，青石板铺就，宁静而古朴，是深圳具有历史韵味的地方
项目：真人CS、丛林越野车、皮划艇🚣‍♂️
·
⛳️观澜版画村
亮点：其建筑风格为典型的客家排屋形式。这个久负盛名的客家小村是深圳最后的世外桃🌸源
项目：DIY版画、古镇定向、古村游玩
·
⛳️大梅沙
亮点：深圳知名海滩，三面环山⛰️，一面临海，山海结合的风景美到炸裂！可以下水游泳，可以放心下去游泳戏水的海滩，在深圳可并不多哦~
项目：摩托艇、沙滩🏖️车、沙滩排球、游泳
·
⛳️背仔角沙滩
亮点：一片未开发的海域，也是一处被遗忘的海滩，碧海辽阔，海🌊风清凉，在阳光的照射下，海面被披上一层炫目的银光，美得惊艳。
项目：游泳🏊🏻、漫步、烧烤、钓鱼
——
⚠️专注多年方案策划，靠谱满满，专业策划定制执行服务
⚠️定期更新别具一格的方案！欢迎FOLLOW&点击头像
⚠️主页戳小编，10分钟马上免费安排方案
","https://sns-img-bd.xhscdn.com/099dcfbc-5f1e-3228-6391-c74f09307610,https://sns-img-bd.xhscdn.com/83cfb3af-b5e4-3b31-6634-e17aee87cf1b,https://sns-img-bd.xhscdn.com/2f6e3566-edd7-979d-5327-fbf4e9f1143f,https://sns-img-bd.xhscdn.com/bc01f4b5-af45-8a23-9dfe-35a28b149774,https://sns-img-bd.xhscdn.com/7563bd14-e840-a71e-cf62-9a876e7019e0",https://www.xiaohongshu.com/explore/6493d43e000000001300331b
杨梅坑➡️大雁顶➡️鹿嘴山庄徒步路线攻略,"这条路线包含徒步看海，登山，美人鱼🧜景点打卡，深度养眼还能锻炼身体。
深度全程徒步19公里，中度10公里。如果不去爬山只有3公里[偷笑R]。
	
        ",https://sns-img-hw.xhscdn.net/d1df5a86-3ecb-1409-9e5a-56754c86b0fb,https://www.xiaohongshu.com/explore/6549897b00000000250161e4
周六杨梅坑,早上打卡徒步了天文台！中午到了杨梅坑！堵车40分钟！徒步进鹿嘴山庄，50元坐快艇返回杨梅坑桥码头！返回时（50元快艇可以开到美人鱼洞兜一圈！30元的直接返回）坐游览车和快艇人超多（耐心排队吧）！建议坐快艇超刺激[捂脸R][捂脸R][捂脸R]周六周末早去早好！晚了就要做好堵车等待准备！开心重要[耶R][耶R][耶R]  ,"https://sns-img-hw.xhscdn.net/de78fa61-0d4c-d96c-1ddc-ec4f258c7454,https://sns-img-hw.xhscdn.net/9684ce3d-f82f-d1a4-6423-01a14820fed7,https://sns-img-hw.xhscdn.net/4ab69df3-b7ff-99d1-8ee2-3dd4c956bd57,https://sns-img-hw.xhscdn.net/53a9f077-1219-ee99-5f5e-6521af066f20,https://sns-img-hw.xhscdn.net/57a8ccd1-de51-90a5-84c6-e0808edc8b6e,https://sns-img-hw.xhscdn.net/a3c0bbbe-1914-a071-cbe3-a1b45c17efac,https://sns-img-hw.xhscdn.net/c6353dfa-22d0-c4b7-7715-f72e5d3f18c4,https://sns-img-hw.xhscdn.net/736c537a-9827-75bf-3d25-b16df7c70725,https://sns-img-hw.xhscdn.net/e6ce9824-70b3-48f8-dc13-b1f3343581dd,https://sns-img-hw.xhscdn.net/a8d04c2a-6fad-4444-6576-f86f525c3a7d,https://sns-img-hw.xhscdn.net/d6d540ef-79c3-019d-dc4e-8a8c0b0466bc,https://sns-img-hw.xhscdn.net/cd2e6a6a-37f7-01fb-4ee8-58613e2b602c,https://sns-img-hw.xhscdn.net/3e4271dd-c407-0916-36f2-eb5c98e204fe",https://www.xiaohongshu.com/explore/6404d51c00000000120307f3
深圳周边宝藏遛娃海滩——三天两晚游记,"大鹏半岛绝对值得N刷，这次考虑错风（台风），所以只待了三天，带娃出行跟特种兵比不了，行程比较佛：
Day1  中午到达
🏝️入住@趣墅Qvilla HAJANA海边别墅
🦪午餐在附近的海鲜一条街—【景好海鲜餐厅】解决
因为台风预警不能下海，下午在民宿拍照休息，傍晚沿南澳第一沙滩海边散步，全是漂亮的海边民宿和龙眼树，有人摘的时候会分享给周围人吃，超甜
Day2  早上蓝宝石海滩，不大（八点前起来的可以顺路逛一下附近的南澳海鲜市场）水清沙白适合浮潜，挖沙游泳是小朋友最爱的项目……回民宿简单休整出发去杨梅坑-鹿咀山庄，路上可以睡一觉
🍔午餐在杨梅坑7-11简单吃，驿站坐观光车到鹿咀山庄（单程13.8元/人），到站再换乘观光车（单程5元/人），到了还要爬一段山路，不太好走，走很久才看得到美人鱼洞，不过景色很美～回程不要太晚，最后一班观光车六点，很多人排队
Day3  睡到自然醒在民宿外的南澳第一沙滩玩沙玩水
🦞午餐到月亮湾（双拥码头附近）【凯月湾海鲜餐厅】下午南澳小城逛游，遇到了海味干货一条街和本次行程最惊艳的【骆记肠粉油糍小吃店】，🔚返程
总结：大鹏半岛主要景点（上→下，左→右）溪涌官湖村-南澳第一沙滩-蓝宝石-海贝湾-柚柑湾-西涌-天文台-东涌-鹿咀山庄（电影美人鱼拍摄景地）杨梅坑-桔钓沙-较场尾-大鹏所城，中间还有七娘山，地质公园，随便都可以玩个几天
下一篇分享Tips
   
  ","https://sns-img-qc.xhscdn.com/81eccc0e-b1bd-0eb2-ca75-f1a282bb23bd,https://sns-img-qc.xhscdn.com/5c48a98a-870c-c912-aa25-b3b64c51d9da,https://sns-img-qc.xhscdn.com/ce24988c-9bb7-7401-52cc-591e7dcd4ad6,https://sns-img-qc.xhscdn.com/01c50ef9-a694-20d6-b895-2c95d0c05dc7,https://sns-img-qc.xhscdn.com/f61d3fcb-3a38-199c-1dab-683fea13c031,https://sns-img-qc.xhscdn.com/e59be20e-f5e9-9524-81b7-dad4203fe8dc,https://sns-img-qc.xhscdn.com/2dff453d-e67b-d934-8a04-025c0dcd4d83,https://sns-img-qc.xhscdn.com/54edcc71-95d6-834d-6ab4-40cf67321682,https://sns-img-qc.xhscdn.com/e1fe36dd-bd4c-389d-d1cd-adcab9f0f469,https://sns-img-qc.xhscdn.com/0a8da589-2d51-2eed-5b9d-c24b765738f7,https://sns-img-qc.xhscdn.com/8b55f43a-80f5-e09d-d97a-37431bcf9adf,https://sns-img-qc.xhscdn.com/be19873b-6a9c-e2ba-213f-25057cd5f782,https://sns-img-qc.xhscdn.com/572b856c-9a83-f54b-07f9-f3e5338a07c5,https://sns-img-qc.xhscdn.com/8efed8d5-056f-b626-3096-245bbb6048e9,https://sns-img-qc.xhscdn.com/b40a4dc4-081c-83c2-bdc9-89c65c846df1,https://sns-img-qc.xhscdn.com/d327ee55-77d3-d3e4-f0f1-4c7867856076,https://sns-img-qc.xhscdn.com/169df689-da98-eec7-9b1d-6e69f24ec382,https://sns-img-qc.xhscdn.com/3d57f7c4-63cc-f8d1-e352-9055cf0bbec1",https://www.xiaohongshu.com/explore/64c876ad000000001201de00
