title,desc,image_list,note_url
深圳梧桐山千万别来，不然你哭着回去,"小小梧桐山，拿下and看日落去啦
🕕2023.12.09
🏔深圳第一峰梧桐山，海拔943.7米
📍起点从景区北门—🏁终点至梧桐山南路地铁站C口，全程楼梯➕15.17公里，总爬升高度1084米，用时7个半小时
	
🏔具体路线
梧桐山北门➡️泰山涧➡️大梧桐山顶➡️好汉坡➡️杜鹃十里➡️小梧桐电视塔➡️登云路➡️梧桐山南路地铁站
🏔泰山涧：途径吊桥、溪流、瀑布，溯溪好去处
🏔大梧桐山顶：可以俯瞰深圳，风景绝美！不过我们是三点半登顶，太阳很刺眼，记得戴上墨镜，晚点风大，保暖抗风衣物记得带上，山顶有补给
🏔好汉坡：有🚾有补给，从山顶下来路上也会有自动叛卖机
🏔小梧桐山电视塔：也有🚾，还有个饭馆
🏔登云路：这条路真的又臭又长，全程台阶，非常陡非常陡，前面台阶接近90℃的坡度，还很窄，真的要很小心，为了看日落，我们下山晚，所以头灯一定要备好
	
👏装备
✅双肩包、登山杖、登山鞋/防滑运动鞋，护膝（全程楼梯保膝盖要紧）、墨镜、速干/防晒衣物、防风或保暖外套、防晒帽、头灯、充电宝
✅喝：有多处补给，为减轻负担，可少带点水，一瓶矿泉水+1瓶功能饮料：宝矿力/脉动
✅吃：小零食+水果，能补充能量的就行
‼️大家要文明户外，无痕登山哦
	
              ","https://sns-img-hw.xhscdn.net/ad131c7a-c47b-64d9-5fe3-e58a40ac8e05,https://sns-img-hw.xhscdn.net/9cbcd13a-78b5-2901-7b6f-046d22d84a4c,https://sns-img-hw.xhscdn.net/323786ef-080f-2d60-22df-37014af7c3bf,https://sns-img-hw.xhscdn.net/8fb4a930-ba6b-b0aa-d507-5e791032b9fa,https://sns-img-hw.xhscdn.net/63dff737-4114-ef36-afd2-7404fccec506,https://sns-img-hw.xhscdn.net/f3f36bb8-ec28-dfad-6cd4-9480a3acfaf1,https://sns-img-hw.xhscdn.net/9c01e27f-e41c-bac1-82c7-330057af5d6d,https://sns-img-hw.xhscdn.net/fd87c84f-06a2-1f4f-17a9-caab56a5d86b,https://sns-img-hw.xhscdn.net/44b9e416-0341-4b34-0ccf-40cb63c0fcce,https://sns-img-hw.xhscdn.net/90a55b80-d131-b969-75c7-370297274eb6,https://sns-img-hw.xhscdn.net/9cc22480-4209-8c88-7469-dfb9d7e4dd2d,https://sns-img-hw.xhscdn.net/2ee7aab7-1573-d88b-8c39-43e12af87af9,https://sns-img-hw.xhscdn.net/919d11c1-b361-29f4-e944-24eae999bc7d,https://sns-img-hw.xhscdn.net/48ef4efc-2444-0b40-ec2d-6c3b681e619b,https://sns-img-hw.xhscdn.net/95f07d2f-6df3-b9c7-5af9-c2e4cf523f11,https://sns-img-hw.xhscdn.net/42759c2d-aedb-ce14-00f7-bb33dcbcb923,https://sns-img-hw.xhscdn.net/00b4116f-1bb2-779c-d16c-de47f60140b8",https://www.xiaohongshu.com/explore/6579c567000000003a00a729
记录一下梧桐山夜爬 踩雷,"建议换个山吧 真没有什么风景
山顶特别无趣 都是人 景色真的 。。。。
耗时大概五个小时一趟
山上有水有吃的 不需要背太多
路途很累 山顶位置要走1180米的楼梯 不建议
过渡开发 各位做好攻略！","https://sns-img-hw.xhscdn.net/eca4c5e4-40bc-17d6-b0a0-872e0cc667f3,https://sns-img-hw.xhscdn.net/e3bfa4bc-8b2b-7572-b0bc-ad23f43ddaec,https://sns-img-hw.xhscdn.net/a39350ac-c376-a738-bf93-a8f2a0ae1443,https://sns-img-hw.xhscdn.net/013f3e9c-d136-fbd6-18ed-43f398deed49,https://sns-img-hw.xhscdn.net/c1102850-77e7-7145-bbf9-d2dbea7b9a9f,https://sns-img-hw.xhscdn.net/ed16a243-a4df-053b-5df5-fc369da938e9,https://sns-img-hw.xhscdn.net/115a108a-b6b3-b486-f87b-fbcbe328dec0,https://sns-img-hw.xhscdn.net/047eb0ff-a240-336c-0941-cfa67933293b,https://sns-img-hw.xhscdn.net/7c74f3ee-0831-21b6-9206-83057c36dbf9",https://www.xiaohongshu.com/explore/65634f52000000000f025367
梧桐山到底怎么爬！看这一篇就够了！,"在上班与上进之间，我选择了上山...
该说不说作为深圳第一高峰的梧桐山
光是常规登顶线路就多的让人眼花缭乱
整理一份详细集合分享给大家（具体线路在p5-p12）
祝大家看到日出遇见野猪（不是
	
1️⃣北门环山公路【散步路线，轻轻松松没有难度】
	
2️⃣登云道【台阶路轻松版】
	
3️⃣蝴蝶谷【风景最好，深圳版的虎跳峡高路徒步，难度适中四季皆宜】
	
4️⃣泰山涧【有瀑布，很凉快，推荐夏天避暑前往】
	
5️⃣秀桐道【路程短，适合特种兵登山】
	
6️⃣百年古道【野趣十足，挑战性强】
	
7️⃣凌云道【赏花大道，推荐开春后花季前往】
	
8️⃣盐龙界【小众，体验感强】
	
             @户外薯 @薯队长 @小红书创作学院  ","https://sns-img-hw.xhscdn.net/20c8aac2-922a-a3c2-78d7-6db0c0a97635,https://sns-img-hw.xhscdn.net/59fa6004-94e2-90c1-0deb-2730ea4b1150,https://sns-img-hw.xhscdn.net/89a2f090-de92-677c-66ec-0546b5e1ff45,https://sns-img-hw.xhscdn.net/2aa9b7d7-d326-f5d4-f961-e5f5e19690c8,https://sns-img-hw.xhscdn.net/33576ca6-4080-d1ee-acd1-87c97d9f558f,https://sns-img-hw.xhscdn.net/34379b74-45be-b4f4-e22d-4dd5fb82c68d,https://sns-img-hw.xhscdn.net/ac18b119-d6bf-5eef-dcd7-4e9a38676a40,https://sns-img-hw.xhscdn.net/49f857c4-6be1-2d34-15f1-5829d1f020e9,https://sns-img-hw.xhscdn.net/df5b4405-3ecd-5eae-86e9-e17f535239d4,https://sns-img-hw.xhscdn.net/ca0ed599-fdf6-4892-6c5c-4f0be0efe526,https://sns-img-hw.xhscdn.net/f236c9f3-48d3-02f5-7866-fde7e570d4c2,https://sns-img-hw.xhscdn.net/72075cee-2053-ca01-3465-8689ed718072",https://www.xiaohongshu.com/explore/654b5cd60000000033002a05
梧桐山很好 下次不来了,总用时6个钟，真勇士才能登顶！！！[哭惹R][哭惹R][哭惹R],"https://sns-img-hw.xhscdn.net/bca51db0-2a92-76a6-c3f3-5fd11801cd2d,https://sns-img-hw.xhscdn.net/ccc9b35f-3930-7ef2-fe35-ba21040e17e4,https://sns-img-hw.xhscdn.net/8417ec23-91f5-f718-c604-0cf9debff916,https://sns-img-hw.xhscdn.net/21295bae-0370-ccfa-6350-9067ce7536cc,https://sns-img-hw.xhscdn.net/c68a2380-5ff2-cd9e-91ef-6be3a3105239",https://www.xiaohongshu.com/explore/653f0b00000000002201c75a
12.16梧桐山，下山遇到好人大哥给了雨衣,完全毫无准备，下午出去玩临时决定去爬的，最基本的电筒都没有，晚上超冷，风和雾都贼大，手机爬一半也都快没电了，路上遇到了很多友友，一直鼓励我们，虽然半路想放弃但还是坚持下来了，建议大家不要学我们，还是得做好准备再出发的  ,"https://sns-img-hw.xhscdn.net/5d0f1393-1e52-5178-5d6b-8749783aef6f,https://sns-img-hw.xhscdn.net/1cac9c2d-8d17-69f4-835e-9c76bc04a162,https://sns-img-hw.xhscdn.net/0592d602-e7fb-1f6c-f7c3-8bcf92b32b0f,https://sns-img-hw.xhscdn.net/805c1ee0-0cf6-72fd-f641-a6169f004e3e,https://sns-img-hw.xhscdn.net/59a13c19-f6f1-a373-44f3-e617f9a07986,https://sns-img-hw.xhscdn.net/c0728cfb-d25b-c8fb-fcf5-973f1b302f78",https://www.xiaohongshu.com/explore/65803567000000000901dfad
2023年我去里十二次梧桐山，拍了这些照片,"不得不说在深圳，梧桐山还是最容易出片的，选择好的天气去（别选雾霾天），总会有收获，今年运气不错，在梧桐山拍到了粉红晚霞云海、夜景云海、白天云海、贴着山间的流云等，明年继续冲梧桐山，希望能拍到更好的照片。
	
      ","https://sns-img-bd.xhscdn.com/228e9e9c-179e-1df7-88f8-1a1a140df616,https://sns-img-bd.xhscdn.com/bbda63a3-44e2-f966-d5ac-93a194abb2d4,https://sns-img-bd.xhscdn.com/7f25ac06-f03a-089e-1f07-780e51d6547c,https://sns-img-bd.xhscdn.com/933fbbe4-8d9a-1b21-3fbf-9280b3e7dc8b,https://sns-img-bd.xhscdn.com/b3a76277-e1e6-2ea9-226b-e8a3f1fc6e80,https://sns-img-bd.xhscdn.com/580bb6ef-a9c6-e514-a024-83ea2ad1f3d2,https://sns-img-bd.xhscdn.com/174dc238-296c-17ad-62dc-9b32b39a8ac1,https://sns-img-bd.xhscdn.com/815026f7-321f-3dcd-793f-ebe2f41eb523,https://sns-img-bd.xhscdn.com/a8b67b22-0b17-abae-69d1-c4ff4661173c,https://sns-img-bd.xhscdn.com/50a9ea33-bf0e-6e17-d102-e2c2c3f42c41",https://www.xiaohongshu.com/explore/6580eacc000000003a00bab0
爬山前：青春没有售价，爬山后：回家躺一周吧,     #,https://sns-img-hw.xhscdn.net/d880de73-0882-2feb-2ca5-1b8282b4e6e1,https://www.xiaohongshu.com/explore/651177a9000000001d01721e
深圳梧桐山我跪了,实在是太累了[哭惹R][哭惹R]，上山是秀桐道，下山是老汉坡，结果到了十里杜鹃莫名其妙走了百年古道蝴蝶谷。分分钟要人命，还好在天黑之前下到登山口  ,https://sns-img-hw.xhscdn.net/1bfdf5f4-da17-286e-88d8-7322db64cb9f,https://www.xiaohongshu.com/explore/647cb00000000000270000b4
深圳40条爬山路线超详细整理（建议收藏！）,"本期整理了40条爬山路线，基本已覆盖了深圳95%以上的山啦👉👉
后续我会陆续更新去过的看海、徒步、露营等路线哦👉👉
此次，还加了一些山名的来源，增加大家对山了解[偷笑R]
以下是春季爬山推荐
	
🏔1.梧桐山-罗湖（海拔944m，用时4-6h）
来源：明朝《舆地志》：又南七十里曰梧桐山（其木多梧桐）
景色：鹏城高峰｜2-3月份可看小梧桐的杜鹃花海
交通：公交到梧桐山总站、地铁梧桐山南D出口
	
🏔2.七娘山-大鹏（海拔870m，用时4-6h）
来源：昔传有七位仙女云游于此，不愿重返天庭，变成了七个山峰
景色：春可踏青 | 纵情山野，登山观海
交通：E11大鹏假日专线到新大社区，转M423到国家地质公园
	
🏔3.梅沙尖-盐田（海拔753m，用时4-6h）
来源：康熙《新安县志》：“山里多梅”
景色：山野“天梯”｜远眺梧桐山和大梅沙
交通：8号线盐田路站E出口
	
🏔4.阳台山-宝安（海拔587m，用时2-3h）
来源：仙女为了纪念一个被财主害死的长工，他会吹短笛，所以又叫“羊笛山”
景色：羊台叠翠｜有数条山泉小瀑布，山高林茂
交通：6号线到阳台山公园站
	
🏔5.马峦山-坪山 （海拔526m，用时2-3h）
景色：远足登山、观海观瀑
交通：公交B678路至马峦小学站
	
🏔6.塘朗山-南山（海拔430m，用时1-2h）
景色：山高谷深、林茂水长
交通：地铁7号线桃源村站D出
	
🏔7.银湖山-福田（海拔400m，用时1-2h）
景色：领略深沟茂林，静听流水潺潺
交通：9号线银湖站D出口
	
🏔8.凤凰山-宝安（海拔376m，用时1-2h）
传说：康熙《新安志县》记载：凤凰岩，在茅山之北。（相传有凤凰栖于内，故得名）
景色：自然风景绮丽，人文景观丰富
交通：公交到凤凰山路口
	
🏔9.大南山-南山 （海拔336m，用时2h-4h）
景色：远可观深圳市中心区楼群、香港流浮山脉
交通：2号线海上世界D口
	
🏔10.铁仔山-宝安（海拔204m，用时0.5h）
景色：被誉为“城市休闲氧吧”
交通：地铁1号线固戍站A口；西城工业区公交站（北门）
	
根据自己的情况，选择适合自己的山来挑战哦👉👉
若文中不对的地方，欢迎留言更正，方便更多爱好户外的朋友们出行[害羞R][害羞R]
周末我经常出去户外爬山徒步，有兴趣欢迎组队一起呀[偷笑R][得意R]
              
  ","https://sns-img-hw.xhscdn.net/59e1da66-8dd1-1f44-8175-58c4623ea483,https://sns-img-hw.xhscdn.net/f8f14008-060b-9a3c-bbde-51aa9b513c9a,https://sns-img-hw.xhscdn.net/22e43546-74d9-11b6-d122-dbc4e0753d73,https://sns-img-hw.xhscdn.net/2bec9f29-0ec1-09f7-b1d6-a4d066dcd978,https://sns-img-hw.xhscdn.net/c2c40079-e399-7c76-cacf-60a219bc83d1,https://sns-img-hw.xhscdn.net/85b1750b-4f56-709c-7be8-4b0b06a28b57,https://sns-img-hw.xhscdn.net/561a5eff-060b-578c-8450-5fbb3e808a77,https://sns-img-hw.xhscdn.net/43d072eb-c6aa-a375-a4ad-adf4ba149450,https://sns-img-hw.xhscdn.net/5d71af21-d7f0-5aa8-5dca-2471ddb5e9ce",https://www.xiaohongshu.com/explore/63f602480000000013017845
最近千万别去梧桐山⛰️,去了也是白去，说是山体滑坡严重不能进去，然后路人说走小路可以去，但是说要更久所以就没去打道回府了[捂脸R],"https://sns-img-hw.xhscdn.net/301b531c-a948-356e-114f-9721b048cd58,https://sns-img-hw.xhscdn.net/d40d4b83-9d18-e043-81c9-335663f6f72d,https://sns-img-hw.xhscdn.net/1fd1ab1d-1727-b3c0-98cd-0be54688bd96",https://www.xiaohongshu.com/explore/650b00bb000000001f03bb04
