title,desc,image_list,note_url
深圳湾欢乐海岸烟花好美啊啊啊啊啊啊啊啊,,"https://sns-img-hw.xhscdn.net/b06b6587-7d0f-1ed6-13bd-1dbfb41ea157,https://sns-img-hw.xhscdn.net/b1fd279a-6ab2-1b28-f8ec-e6c7356545ac,https://sns-img-hw.xhscdn.net/366623e9-e5eb-1a90-630a-53c9e6499e76,https://sns-img-hw.xhscdn.net/45016323-6032-e502-611f-166f4f3ca372,https://sns-img-hw.xhscdn.net/21f62883-626d-0a2f-eacf-2d196e1d1d1d",https://www.xiaohongshu.com/explore/6576eeef000000000703bf1c
打卡深圳南山欢乐海岸✅,"喜欢看海看展看烟花看夜市
还可以吃各地不同美食的小伙伴看过来呀
	
💓特色街区
欢乐海岸的街区设计得比较有特色，类似曲水湾里流觞曲水，有种江南水乡的感觉。另外这里有各种特色餐饮，都是可以拍照打卡！
	
🧡水幕表演
每天晚上8点开始会有水幕表演，持续40分钟，周一停演。票价分为68、168两种，其实不买门票在边上经过也可以看见，当然想更近距离的观赏和体验水秀的魅力，那就只有进场看啦
	
💙海洋奇梦馆
这里有各种美丽的水母和海洋生物，每天有固定海狮表演。如果没有去过海底世界，这里也是个不错的选择噢。
⚠️海洋馆很小
门票：单门票门市价60元/张，套票（含海狮表演）门市价100元/张
	
💛打卡网红地铁口
欢乐海岸跟深圳湾公园只隔着一条滨海大道，穿过地下通道，走到网红“深圳湾公园”地铁口D2出口，就是从地铁口出来就能看到美丽的海。还能沿着深圳湾公园海滨栈道散散步，
✅在深圳湾公园地铁站D2出口
顺着电梯上行
就可以直接看到海景
	
💚《穿越时空的爱丽丝》数字艺术大展
展期：2023年9月29日-12月28日
开放时间：周二至周日 13:30-21:00
*20:30后停止入馆，周一闭馆，法定节假日除外
地址：深圳欢乐海岸OCT创意展示中心
票价：单人 88元 | 双人148元
亲子票128元
	
📍地址：深圳市南山区白石路东8号欢乐海岸
🚗交通方式：
1.公交：乘B603、45、48路到华侨城湿地站下车至创意广场，然后步行前往。
2.地铁：地铁9号线，到深圳湾公园，D、E出口，步行5分钟到欢乐海岸。或坐地铁1号线到侨城东站转乘B603到白石路东下车至创意广场，按指引前行。
3.自驾车到欢乐海岸：深圳市南山区白石路东8号欢乐海岸
            ","https://sns-img-hw.xhscdn.net/3a644c56-6385-eb92-dab5-b4980c826950,https://sns-img-hw.xhscdn.net/efa5db89-04c9-5ed7-bab9-57a55da3805e,https://sns-img-hw.xhscdn.net/f376e86e-9212-f1eb-cfee-a1c30535bab8,https://sns-img-hw.xhscdn.net/8e811933-03dc-7a24-6e46-b270f077f20f,https://sns-img-hw.xhscdn.net/753de183-a062-26e9-8653-f9ee102b67c5,https://sns-img-hw.xhscdn.net/8e449d5b-660f-8b49-b8c0-6c7558689a25,https://sns-img-hw.xhscdn.net/ca2bbc6f-074b-a7d4-4158-6d6de46d2bd2,https://sns-img-hw.xhscdn.net/21a61e37-38e5-be40-4853-13b61bb5f845,https://sns-img-hw.xhscdn.net/58be91a4-d150-2907-fee2-e1b314a9d83e,https://sns-img-hw.xhscdn.net/c754061c-74b6-ccd8-06d1-94e999ead394",https://www.xiaohongshu.com/explore/65338548000000002500afff
欢乐海岸拜拜，我再也不去了,"这里真的非常十分以及极其无聊！

想着很久没去了今天去转转，
真叫一个360度无死角的晒➕360度无死角的无聊，
再也不想去了
	

不过今天是我的小法棍第一拍[萌萌哒R]
假期结束咯
      ","https://sns-img-hw.xhscdn.net/9dfe4367-9b91-2776-4e25-05c47764d854,https://sns-img-hw.xhscdn.net/110bceb5-902a-9f40-b56f-014862d04845,https://sns-img-hw.xhscdn.net/5f475e8d-d02d-c843-b28d-9e7444805d68,https://sns-img-hw.xhscdn.net/d5415600-5403-6140-9ab2-8ad7d558c5e3",https://www.xiaohongshu.com/explore/645238c40000000027013b20
听说今晚深圳人都在这里！提前过年啦🧨,"我好像在演唱会现场哈哈[派对R][派对R]
拿图1骗了几个朋友了[偷笑R]
好玩又好看！！就是有点冷呀🥶🥶
又有水秀又有唱歌又有舞蹈还有烟花～
下周好像还会开灯会哦
	
           ","https://sns-img-hw.xhscdn.net/006b0ca8-293f-ffdf-9321-56099f8a587f,https://sns-img-hw.xhscdn.net/ef1cfffb-8b30-8f8d-6fb5-be7ea33768b0,https://sns-img-hw.xhscdn.net/25c20e67-2ea5-715e-dc4b-16bd9553328b,https://sns-img-hw.xhscdn.net/4f4c3c27-41aa-1ad3-441a-27471867295c,https://sns-img-hw.xhscdn.net/196e20ef-b3ae-91ee-46c2-264951b380fd,https://sns-img-hw.xhscdn.net/f0cf3b80-3cfa-6582-a1fb-5ad5adaa0645,https://sns-img-hw.xhscdn.net/aebd29bf-1793-8154-3945-99a3c38fdf4c,https://sns-img-hw.xhscdn.net/6f72a738-fb25-6d68-9f3b-312895d14fba,https://sns-img-hw.xhscdn.net/a8a68469-2b1b-74a0-d688-9a75ed0c5a2e,https://sns-img-hw.xhscdn.net/5a4d1f95-8bf4-f078-9247-0fc06224bb39,https://sns-img-hw.xhscdn.net/1a8615c3-4aa7-b749-8bac-cdf983088ebf,https://sns-img-hw.xhscdn.net/5125bba7-029c-c5f3-f2e4-91264f6a0ba6,https://sns-img-hw.xhscdn.net/629b7956-cd0d-79ce-fb6d-f812c1fed70a,https://sns-img-hw.xhscdn.net/6cf3f36f-0dc8-e733-0ba0-1f9b1b46ea43,https://sns-img-hw.xhscdn.net/05cf50d3-5579-9e90-cf68-535130186f04,https://sns-img-hw.xhscdn.net/36b8044e-dd9d-0cbe-2e7e-1713e5b27a98,https://sns-img-hw.xhscdn.net/0859cc89-d55d-4903-b5e7-f16cff95bac6",https://www.xiaohongshu.com/explore/657d90ec000000001502f5da
2024湾区超级灯会,2024湾区超级灯会于12月18日开园噢，在欢乐海岸~持续到2024年3月3日，看着还不错~等开园了来看[哇R]     #,"https://sns-img-bd.xhscdn.com/5226c881-f4b6-239c-e7e2-a0ec116ee776,https://sns-img-bd.xhscdn.com/74554103-1ed4-cb29-fae5-88638dd50266,https://sns-img-bd.xhscdn.com/91b32f7e-9f46-ccfd-44ee-fb20a89c0496,https://sns-img-bd.xhscdn.com/bc2be966-5469-1979-13a3-5adcff0024a3",https://www.xiaohongshu.com/explore/657edc79000000003903014b
深圳欢乐海岸水秀剧场烟花表演,"如果你在深圳，一定要带挚爱的人来看一次烟花表演吧💃
 周二至周日晚8点多大型水上烟花秀  ",https://sns-img-hw.xhscdn.net/2649f06d-1c25-941e-eb1d-47a4180e2659,https://www.xiaohongshu.com/explore/657e4d80000000003a00a5cb
在深圳！欢乐海岸烟花秀🎆免预约免门票🎫,"完美结束🔚假期～
在深圳！最佳约会好去处！@欢乐海岸
带喜欢的人来看一场🆓烟花秀，免预约免门票🎫
下午5，6点左右可以先去深圳湾公园散散步吹吹海风看看日落🌇，6点日落拍照📸超美的！
看完日落晚上来欢乐海岸吃个晚饭
（餐厅也有很多选择，可以看看DP）
去了不要忘记打卡喜茶超🔥超！好吃的芋泥蛋糕🍰
	

安排好时间预算，大部分都是水秀表演，烟花是表演的闭幕燃放，不是主要的烟花秀表演；烟花时间很短暂，大概45秒左右，杠精不喜勿喷（提前找到沿湖边观赏位置哦～）
⏰表演时间：
❤️每周二至周日20:00~20:30分
❤️节假日20:00～20:50左右
❤️每周一停演🚫下雨天也会停演
	
烟花秀这段在快结束时的五分钟左右，注意看和听到有音乐高潮响起一段后，烟花就差不多开始了（准备拿好手机hhhh）
📍地址：深圳市南山区欢乐海岸
🚇地铁：深圳湾公园地铁站E出口
	
           ",https://sns-img-hw.xhscdn.net/116ae9f2-b5b2-432d-0586-e117be8f4f04,https://www.xiaohongshu.com/explore/65202671000000002301bfc4
又被欢乐海岸给坑了,简直就是骗子，小票根本进不去，要有邀请函[生气R]，19点20分开始开始什么？活动都19：40分了还没开始[生气R],https://sns-img-hw.xhscdn.net/4447b61e-77c5-4d8e-8ead-74ba87d31295,https://www.xiaohongshu.com/explore/657d8df6000000003801d739
实拍|在深圳🆓烟花观赏机位烟花🎇巨方便,"深圳欢乐海岸这里...
除了每周一，其余每天20:23-20:26左右都有一场烟花🎇
	
工作日几乎没人，很好拍照！！
但只有短暂的一会😭大概就1分钟
周末和节假日人多，但是烟花放的久一点，hin好看
主要是大商场，吃的逛的啥都有，很方便
	
📌最佳观赏点：图5️⃣
📷拍照建议：手机直出就很美！相机的话建议设置为快门1/15 iOS400
	
             ","https://sns-img-hw.xhscdn.net/f3ab4d88-73c9-b66e-7b93-012ab69a150a,https://sns-img-hw.xhscdn.net/dd8d60bb-2096-9af6-fcb4-5fe1b9e31aa8,https://sns-img-hw.xhscdn.net/c384a265-2c13-0fff-0b45-8c51fd3b2db9,https://sns-img-hw.xhscdn.net/82d93a65-5da6-c776-c3ff-a0576b615cb7,https://sns-img-hw.xhscdn.net/a737e741-87a1-ed46-c255-b60a53ac65d4",https://www.xiaohongshu.com/explore/6569b1cf00000000340378a3
华侨城欢乐海岸、欢乐港湾对比,"深圳欢乐海岸占地面积125万平方米。
深圳欢乐港湾占地面积38万平方米。
顺德欢乐海岸PLUS占地面积20万平方米（总规划336万平方米）。 ","https://sns-img-qc.xhscdn.com/b42b6752-62fe-ec56-873c-850c6fab0f40,https://sns-img-qc.xhscdn.com/b6d98215-6f9d-51d5-7b21-4d610a626b16",https://www.xiaohongshu.com/explore/64c37202000000000800da84
谁能告诉我欢乐海岸到底是玩什么的,"昨天带娃去了欢乐海岸
人山人海
我不是很懂，那里到底是玩什么的，那么多人
我去转了一圈，就是一些吃饭的地方
好像也没什么特别的
每个店吃饭都要排队一个半小时以上
最后吃了麦当劳，也吃了2个小时
吃完就9点了，又该回家了
景色好像也就那样，娱乐好像也就那样
到底是什么样的情况造就了人山人海[偷笑R]
	
真诚发问
 ","https://sns-img-hw.xhscdn.net/ab393827-67c7-15c1-6a9d-6158c1f958bc,https://sns-img-hw.xhscdn.net/42ab7288-7468-e5e6-cceb-be215444f068,https://sns-img-hw.xhscdn.net/cf446408-e50e-a7bf-7f02-32a662abbb66",https://www.xiaohongshu.com/explore/64bccf2e000000000b02be30
翘课去玩！妈妈要打屁屁！哈哈,"本来已经计划好这周日出去走走滴
没有想到要补课，酒店已经订好了
管不了啦，哈哈，趁学业还不重
玩了再说[害羞R][害羞R]
惊喜的是！！！
欢乐海岸生日当天坐摩天轮竟然免费，
哈哈！所以外婆省了99元[哇R][哇R][哇R]
逢简水乡孩子去还是有点无聊的
吃吃喝喝勉强还行！
没有vlog，也没有认真拍游客照，
努力在相册凑够9张，当个朋友圈发吧
哈哈哈[萌萌哒R][萌萌哒R]
     ","https://sns-img-hw.xhscdn.net/99088c7a-5cb7-4b9e-c5dc-5aba363a7f86,https://sns-img-hw.xhscdn.net/6cb19015-8043-526e-f106-fa90e7f99148,https://sns-img-hw.xhscdn.net/cb80fdc9-e29b-134c-00e4-d330a92a1e91,https://sns-img-hw.xhscdn.net/6b214565-baed-7c51-b08c-d4e80237b8ef,https://sns-img-hw.xhscdn.net/0012fbba-84a0-3d39-3082-6e8f0c265e60,https://sns-img-hw.xhscdn.net/a28615a6-55b5-3dac-1bb3-7620bb98640d,https://sns-img-hw.xhscdn.net/4ce39371-24df-ed37-5195-7e5827e74261,https://sns-img-hw.xhscdn.net/a5268d9d-ba0a-a67a-d141-c1ec4a90f42c,https://sns-img-hw.xhscdn.net/2e1e11fd-740a-97e1-943b-f4337c1b2f98",https://www.xiaohongshu.com/explore/64450524000000001300d53a
深圳跨年攻略，总有一个款适合你！,"元旦马上就要到啦，大家做好游玩计划了吗？打算去哪里玩呢？短短三天小假期，去太远时间不够还有可能堵在路上，所以还不如留在深圳，跟着我的攻略去这些地方玩，省事省力还省心！
-
✅✅轻松游玩局✅✅
👉深圳世界之窗
不仅有烟花秀，人工飘雪，电音派对，各种演出热闹非凡、还有超多人陪你一起参加跨年活动。
-
👉深圳大鹏半岛
东西冲，较场尾，大梅沙，在跨年夜有非常多的烟花绽放，不花钱都能看到一场烟花盛宴！
-
👉欢乐港湾
“从黄昏到日落，胜过一切的诗”无论白天还是晚上，超美！
港湾长廊能看到摩天轮全景和跨海大桥，特别适合看日落。
交通：地铁5号线临海站B2出口
门票：免费
-
👉欢乐海岸
不得不说欢乐海岸真是一个浪漫有情调的地方，晚上可以观赏烟花秀，有海洋馆，适合小情侣来打卡，对面就是深圳湾公园，傍晚还可以看日落
交通：地铁9号线深圳湾公园E出口
门票：免费
-
✅✅爬山徒步局✅✅
👉大南山
傍晚上去看夕阳和夜景是最美的。一路上都是盘山公路那种，难度比较小。
交通：9号线荔林站A出口直走100米左转进荔林公园
门票：免费
-
👉梧桐山
深圳第一高峰，难度最大，但是新年第一天，当然要爬第一峰啦！
路线推荐：上山：深外高中站C出口，导航到秀桐道登山口
门票：免费
-
👉打鼓嶂
传说中的深圳版千岛湖，风景是非常不错的，适合新的一年休闲局
打车到坪山“十号桥” 或者地铁14号线南约c口再打车到10号桥，下车之后桥的右手边就是登山口（但它看起来不像常规的登山口）
门票：免费
-
👉天文台
新的一年新的挑战，去穿越东西冲直上天文台吧，不仅如此还可以看到绝美海岸线，推荐大家去！
      ","https://sns-img-qc.xhscdn.com/0f5b39e8-054e-c41c-670e-8098ea4d36a5,https://sns-img-qc.xhscdn.com/2648a85c-ef69-2969-e826-4df79248d907,https://sns-img-qc.xhscdn.com/d217bdf3-083e-c3ee-fa54-95c64e41c2d4,https://sns-img-qc.xhscdn.com/f666683d-1bfa-c849-4eb8-f982076e10e8",https://www.xiaohongshu.com/explore/657c2518000000003403d2d0
亲测避雷🚫拍照取景统统拿下！🌟,"🏖欢乐海岸打卡攻略🎈 🌟欢乐海岸深游攻略，亲测避雷🚫拍照取景统统拿下！🌟
📍地址：广东省深圳市南山区欢乐海岸，地铁9号线到深圳湾公园地铁站下车，步行即可到达。
✅避坑指南： ⚠疫情期间，需提前预约参观门票，避免白跑一趟； ⚠人流高峰时段请错峰出行，或提前预约减少排队时间。
💵景点费用： 🔹大部分免费景点，部分需自费游玩项目。
🏆景点介绍： 🍔欢乐海岸拥有丰富的餐饮、购物、娱乐设施，适合家庭度假、情侣约会、朋友聚会等。 🎮除了美食和购物，还有多种互动式娱乐设施，如光影水秀、音乐喷泉等。
📌注意事项： ❌疫情期间，请遵守景区的防疫措施，佩戴口罩，保持社交距离； 🚶游玩过程中请遵守景区规定，注意安全，爱护环境。
📸拍照指南： 🌅欢乐海岸有不少拍照打卡地，如光影水秀、音乐喷泉等，建议在傍晚时分光线柔和时拍摄，更能拍出唯美大片。 🖼最佳摄影：欢乐海岸水上舞台、深圳湾公园等都是拍照的绝佳地点，利用好蓝天、白云、阳光等自然元素，拍出满意的照片。
💯个人观点： 💖欢乐海岸是一个老少咸宜的景点，适合各年龄段人群游玩，特别是情侣和家庭。在这里，可以体验到深圳的繁华与活力。
🏅景点特色： ✨欢乐海岸的独特之处在于它将商业、文化、娱乐融为一体，让游客在享受美食、购物的同时，还能感受到深圳的独特魅力。
🌟快去欢乐海岸，尽情享受深圳的魅力吧！🎉
         ","https://sns-img-bd.xhscdn.com/ca096b37-ed7a-0edd-c57a-1b5a056237d1,https://sns-img-bd.xhscdn.com/6b56b928-7de2-dfb1-75c0-bb83ca48b68d,https://sns-img-bd.xhscdn.com/5881eef4-5fd2-1355-336d-f6e3433eca47,https://sns-img-bd.xhscdn.com/154ec19a-b34a-9f6f-ce37-efcdc50ade23,https://sns-img-bd.xhscdn.com/fc5c8584-c084-3a40-5a39-426ab5179a5d,https://sns-img-bd.xhscdn.com/7f71cb0d-c454-e7be-53fc-76bb6a2689a1,https://sns-img-bd.xhscdn.com/93237c47-133e-a021-d2fa-83a838820487,https://sns-img-bd.xhscdn.com/af6a1227-960d-47a5-ea76-4518a64381cf,https://sns-img-bd.xhscdn.com/eb7342af-949a-c7fc-f7bd-258d85270246,https://sns-img-bd.xhscdn.com/ffbaeba1-6551-5494-e850-02be47fca748",https://www.xiaohongshu.com/explore/64ee5286000000001f038e86
欢乐海岸超级点灯节&烟花秀,"别去了，憋屈，说是8点45开始放烟花秀，结果提前10多分钟放了，就去商场一下就放完了…
据说也就几十秒，也不是很好看，好吧，错过就错过了
","https://sns-img-hw.xhscdn.net/40bfbbd9-7993-0d78-254c-3b0d43ba7d17,https://sns-img-hw.xhscdn.net/17d35da3-9d49-db8c-e904-a328d5257112,https://sns-img-hw.xhscdn.net/0dc5d991-2057-948c-85f3-843c9911ba45,https://sns-img-hw.xhscdn.net/d25d7d57-e76f-8eac-6a12-ad49fdceb409,https://sns-img-hw.xhscdn.net/b69a682e-839d-9246-36d9-ec276279aca3,https://sns-img-hw.xhscdn.net/81ad7495-3d2a-3476-1696-f5b4ec34b525",https://www.xiaohongshu.com/explore/657dbd670000000006028c9b
大家关心的后续来了‼️,"我在小红书投诉到欢乐海岸公众号，他们的工作人员已经联系到我，有真诚的赔礼道歉了。
那几个安保是请来保安公司的工作人员，不是欢乐海岸的工作人员。我的帖子可能对欢乐海岸的工作人员有误导，而且我要的态度也有了，所以现在发出来也帮忙澄清一下。
欢乐海岸的工作人员态度是好的，但是也希望以后请保安公司的人审核环节加强一下，因为大家去到那里玩，很多人都是当工作人员的。","https://sns-img-qc.xhscdn.com/e9cd6b86-54b0-7daa-ff85-3cf396f1b2e6,https://sns-img-qc.xhscdn.com/3de7c541-9a78-aae6-7778-8127c763dcd3",https://www.xiaohongshu.com/explore/647576f10000000027002018
深圳湾灯光秀真无语,坐两小时车来灯光秀，后来说要邀请函，真无语啊，真不愧是商户答谢会，刚开始说买了东西可以进，后来买了东西要邀请函，主办方推出的活动不是说都可以进吗？啊啊啊啊啊啊啊啊啊啊！真是受不了😱，,"https://sns-img-hw.xhscdn.net/7a419fac-dd74-1fcf-3259-1f2b121e319a,https://sns-img-hw.xhscdn.net/4aaf20ba-be9a-7b0d-6663-b1803787f6d2,https://sns-img-hw.xhscdn.net/fe3abba1-9ba1-e966-f186-db7427250df4",https://www.xiaohongshu.com/explore/657d93ae00000000340345c3
