title,desc,image_list,note_url
玫瑰海岸在广东没有对手！,"快日落了，没有下午那样看着汹涌，变柔和了[哭惹R][哭惹R]好喜欢好喜欢不想走了，海边风特别大，吹得太冷了！
ps：补了三张下午刚到时看到的玫瑰海岸，当时出了太阳，真的巨蓝！
要门票40，儿童老人半价！因为这里是拍婚纱基地，所以能遇见很多人拍婚纱照～玫瑰海岸对面就有公交站，可以坐公交去！海边很冷风很大，去的话记得带多件外套～ ","https://sns-img-bd.xhscdn.com/d12e371c-3cd2-c1d3-7c37-bbb954afaf1a,https://sns-img-bd.xhscdn.com/f27119a7-df84-2fbe-7278-af435b373baa,https://sns-img-bd.xhscdn.com/65ad2bf4-df7a-a111-f3c8-221298abdea5,https://sns-img-bd.xhscdn.com/fc4a9e0a-dce1-4012-9e58-f39f898a9f97,https://sns-img-bd.xhscdn.com/51c16d03-645d-b5cd-9f98-9dcbf088dab6,https://sns-img-bd.xhscdn.com/a1779d25-24df-1c2c-a7b0-c4625d19041a,https://sns-img-bd.xhscdn.com/e38235e2-e1f5-3f47-3e5e-3c61d34e0e33,https://sns-img-bd.xhscdn.com/1f4a9cbc-5345-e160-2b81-1c22b82f7582",https://www.xiaohongshu.com/explore/65703a8800000000380260dd
玫瑰海岸｜旅游攻略，避雷！,"游玩评价🌟
门票40元，贵！！！这里的贵是性价比不高，确实是人少，但是拍婚纱照的人巨巨巨多多多，就是一个适合流水线拍婚纱照的地方，感觉就是捅了婚纱照的窝，导致你没有办法在海边拍照，沙子粗硌脚，水质一般，这些如果你可以接受那你就去，攻略在下面。
	
景区地址📍
龙岗区深葵路551号玫瑰海岸
	
公交路线🚇
乘坐地铁8号线到盐田港西A1出口，出去就是公交站，换乘公交M362/N199直达玫瑰海岸总站就可以。
	
自驾路线🚘
直接导航玫瑰海岸，周末可能人多堵车，建议早一点出发，到了左边就是停车场。
	
停车收费🅿️
淡季（首小时内5元，第二小时超按1元/半小时加收，24小时最高收费30元）
旺季（首小时内10元，第二小时超按2元/半小时加收，24小时最高收费40元）
	
景区门票🎫
景区价格：成人40元/人  美团价格： 成人37元/人 、老人/儿童25r/人（老人七十周岁（含）以上可以凭身份证免费入园，儿童1.2米（不含）以下免费）
	
入园时间🕐
周一至周五 08:00-21:00（19:00停止入场）
周六至周日 08:00-22:00（20:00停止入场）
不需要提前预约，直接去现场买门票扫码入场
	
关于消费💰
游艇项目需要单独收费；沐浴间单独收费，太阳伞帐篷单独收费，商店少，吃的选择性非常少，怡宝4块，烤肠5块/7块，泡面10块，凉面16块/份（量少，难吃）避雷！
	
游玩攻略🏖
做好防晒，傍晚的海风吹的还是有点冷，记得带外套，可以带拖鞋海边换上，女生小裙子容易出片，自驾可以带露营装备，野餐垫，帐篷等，三五好友记得带扑克，零食，水果。
         ","https://sns-img-bd.xhscdn.com/b9382b4d-283a-7c4b-062c-19c161ed46ab,https://sns-img-bd.xhscdn.com/63d77ce5-1880-49f7-86a3-05437dbedfa9,https://sns-img-bd.xhscdn.com/91b26569-05fa-45ed-d6dc-e08cdab8217e,https://sns-img-bd.xhscdn.com/5650a211-7fa2-97aa-b993-7ca69f2a64d6,https://sns-img-bd.xhscdn.com/4ab58eee-cea8-fe48-2280-1de95f2a1ecd,https://sns-img-bd.xhscdn.com/80d4e329-fc2d-42a9-e927-854b5d98640c,https://sns-img-bd.xhscdn.com/d769d03f-37c9-a317-8c17-4ebaf54f6d7a,https://sns-img-bd.xhscdn.com/72794b47-7a61-72f5-e19f-9d7c6e5e87a9,https://sns-img-bd.xhscdn.com/465576a4-2e80-6227-3804-6ddc1be09ad3,https://sns-img-bd.xhscdn.com/8984a0e5-c3a6-0854-2ca7-3dce422c7493,https://sns-img-bd.xhscdn.com/519b3c98-026f-b8f0-caf7-9985c36bcd69",https://www.xiaohongshu.com/explore/65648288000000003801d693
7月23日的玫瑰海岸,比起大梅沙，我还是选择玫瑰海岸，人没那么多，车没那么堵，车位也好停。但是路途还是堵了一个小时，不过看到这么好看的景也值了吧  ,"https://sns-img-hw.xhscdn.net/f144cb52-33ba-f43b-5ae2-b692789f3278,https://sns-img-hw.xhscdn.net/6323c705-2d8f-c603-dd5e-2042b3079a94,https://sns-img-hw.xhscdn.net/52aa4b4d-397c-7656-c5a9-6d7bc95780b8,https://sns-img-hw.xhscdn.net/12e3c0ca-f127-c076-08a8-9f217af50ec7,https://sns-img-hw.xhscdn.net/11ea2b4a-1ebc-3b15-2e04-2ea44864d8af,https://sns-img-hw.xhscdn.net/90a9e257-7da3-ad8e-14f4-a88d2ccaf758,https://sns-img-hw.xhscdn.net/b74ed5b3-85a1-ad5d-b03f-c3dfddbe4f92,https://sns-img-hw.xhscdn.net/61863467-3e55-9a17-9d0d-43f97501cb8f",https://www.xiaohongshu.com/explore/64bd43cf000000001700cfec
深圳24个绝美海边沙滩合集|快去拥抱大海,"[彩虹R]亲们，整理深圳24个比较熟知的沙滩
去过14了，有什么问题可以问哦
～
1、小梅沙（去过）
2、大梅沙（去过）需预约
3、	背仔角沙滩（去过）
4、溪涌沙滩
5、玫瑰海岸（去过）
6、沙鱼涌沙滩（去过）
7、官湖沙滩（去过）
8、金沙湾沙滩
9、大澳湾沙滩
10、南澳第一沙滩
11、海贝湾沙滩（去过）
12、蓝宝石沙滩（去过）
13、鹅公湾
14、柚柑湾（去过）
15、大鹿湾
16、东涌沙滩（去过）
17、西涌沙滩（去过）
18、白沙湾公园
19、坝光沙滩
20、较场尾（去过）
21、花海间沙滩（去过）
22、桔钓沙
23、杨梅坑沙滩（去过）
24、鹿嘴山庄
～
[星R]蓝天、白云、清澈见底的海水、绝美的风景等着大家去探索～
[向右R]合集里有部分海滩视频哦
          ","https://sns-img-bd.xhscdn.com/62ebe922-bde7-524b-af00-4ec2d3109a32,https://sns-img-bd.xhscdn.com/ddc4fb2f-b94d-af6f-f288-ef9fa867a0c7,https://sns-img-bd.xhscdn.com/a40ce789-8e08-1451-40f9-da46637647cd,https://sns-img-bd.xhscdn.com/0a0f0de9-80f9-70c1-3f9d-7c8780579179,https://sns-img-bd.xhscdn.com/39633bf0-e039-46f0-55c3-655dc506fef8,https://sns-img-bd.xhscdn.com/3f48793a-b6ba-824a-3c11-a36a60997208,https://sns-img-bd.xhscdn.com/abb2f8a9-1a37-9409-159e-f23dba272d2e",https://www.xiaohongshu.com/explore/6499809c000000001300831f
不要来玫瑰海岸,从西门进，就这景色，十分钟不到逛完全部，敢收40rmb，还不如盐田海滨栈道呢,https://sns-img-bd.xhscdn.com/dc8bb708-f8b9-3cf0-b925-42635e3403b2,https://www.xiaohongshu.com/explore/646edeff0000000012031166
接下来的深圳，堪称国内浪漫旅行天花板‼️,"短暂的雨季过后
接下来几个月的深圳，堪称沿海城市旅行天花板
没来深圳之前
我和很多小伙伴一样觉得这里只有高楼大厦
在深圳待了几年
才发现，原来繁华的深圳还有这么多不为人知的美景
如果有机会来深圳一定不要错过这些地方
-
图3️⃣：深葵路
深圳很火的沿海公路，天气好的时候真的绝美，直接导航“万科十七英里”
-
图2️⃣：盐田北山-秘密天台
坐地铁到“盐田路”站D出口出，看到一栋蓝色大房子从左边小路沿绿道走到跨铁路天桥上山
-
图3️⃣：深圳天文台-东西冲穿越
被《国家地理》评为中国最美海岸线之一的东西冲，真的很绝，尤其深圳天文台的海边栈道一定要来看看
-
图4️⃣：铁仔山公园
深圳海边看日落最佳的地方，爬山30分钟抵达山顶栈道，绝美海景一览无余
-
图5️⃣：恩上水库
水库旁边草坪一颗孤独的大树拍照特别有感觉，走两步还能看到海
-
图6️⃣：文天祥纪念公园
能够和南山区地标“春笋”合影的小众公园，不过需要长焦拍摄
-
图7️⃣：老虎涧瀑布
深圳离地铁站很近的瀑布，可以直接导航
-
图8️⃣：海边公园
这里离深圳摩天轮很近，海边有大片的草坪，可以舒舒服服躺平看日落
-
图9️⃣：西冲黑岩角
深圳陆地最南端，这里看日出绝美
-
图1️⃣0️⃣：日出剧场
深圳市区最适合海边看日出的地方，自驾打车直达特别方便
-
图1️⃣1️⃣：玫瑰海岸
深圳一个婚纱摄影基地，沙滩面积不大，但是拍照挺好看，非免费景点
-
图1️⃣2️⃣：小南山公园
深圳看港口日落最佳视角，夜晚港口灯光亮起，看船只驶过真的很浪漫～
-
图1️⃣3️⃣：大雁顶
鹿嘴山庄，杨梅坑…都在附近
-
图1️⃣4️⃣：马峦山瀑布群-黄竹坑瀑布
马峦山面积很大，大大小小的瀑布数不胜数，不过我还是最喜欢去人更少的黄竹坑瀑布
-
图1️⃣5️⃣：海上世界艺术公园
深圳绝美海边艺术馆，看展的时候往向窗外就能看到大海，海的对岸就是香港
-
【住宿推荐】
市区逛吃住：南山、福田
短期东部看海住：福田、罗湖
离海边近住：大鹏新区
离进机场近住：宝安区
离高铁站近住：龙华区
-
@生活薯 @户外薯 @薯队长 @薯条小助手
         ","https://sns-img-hw.xhscdn.net/19d6ee7b-11ad-d75a-d5d8-4bd72ebc07c4,https://sns-img-hw.xhscdn.net/52bebbd7-e316-fa43-453f-49588138ff78,https://sns-img-hw.xhscdn.net/4e0c35bd-7d4a-5fde-89dc-a770abc03fee,https://sns-img-hw.xhscdn.net/cd5a3f88-c691-185b-b0ba-f91f7a7d227a,https://sns-img-hw.xhscdn.net/49e2335e-8525-571d-6c19-dd89a82aec72,https://sns-img-hw.xhscdn.net/4f208f7b-d7c7-e6b3-a559-e5e2a56ed71c,https://sns-img-hw.xhscdn.net/319aa8fb-f9a1-32e4-db71-f237546780fa,https://sns-img-hw.xhscdn.net/0694f85e-000b-c974-575c-a9252e20c594,https://sns-img-hw.xhscdn.net/bde78c1b-eab6-3d0e-e382-273f68824302,https://sns-img-hw.xhscdn.net/30ced962-108f-f679-8857-2091121de7df,https://sns-img-hw.xhscdn.net/981e607a-135a-5f21-cf7d-dfed2718aad1,https://sns-img-hw.xhscdn.net/4693b6d6-8489-2381-68d1-c499978f2c97,https://sns-img-hw.xhscdn.net/194fd79f-3fce-208b-eea3-b9f8cd460510,https://sns-img-hw.xhscdn.net/2c32e237-f121-de78-6a21-a7f90bfb8f86,https://sns-img-hw.xhscdn.net/c1640d14-5c97-f771-8078-19576d099d22",https://www.xiaohongshu.com/explore/641eb8190000000027001393
深圳｜最推荐去的6个宝藏海边！建议收藏！,"1⃣桔钓沙
深圳最干净的沙滩！沙子超级细软！！还有超级好看的玻璃海，海水很清澈，在这里拍照怎么都出片！
🎫门票：免费
📍地址：大鹏新区环岛公路桔钓沙
2⃣玫瑰海岸
玫瑰海岸的海水和桔钓沙一样都是玻璃海，海水还算清澈，海滩上还有椰林树影，适合度假，水上游玩道具等，附近有很多小店都挺适合拍照打卡的。
🎫门票：成人40 儿童老人25
📍地址：龙岗区深葵路551号玫瑰海岸
3⃣鹿嘴山庄（杨梅坑）
电影《美人鱼》的拍摄地
鹿嘴山庄和杨梅坑都是在一个地方，可以一起去。日出很美，超有氛围感的海边，海边是比较高的崖边，建议穿舒适的鞋子去，还有美人鱼洞可以打卡。
🎫门票：免费 游艇20-25/人 观光车13.8/人
📍地址：龙岗区南澳杨梅坑新东路
4⃣天文台
最适合徒步的海边，有着最美海岸线的称号。全长1.8公里，有的地方会比较陡，走完全程大概1.5-2小时，沿着海岸线走，边走边拍照真的很绝！
🎫门票：免费 山顶大巴10/人
📍地址：深圳天文台
5⃣深圳湾公园
可以看到海鸥的海边公园~地铁站深圳湾站D2出口，一出来就可以看到海边，三月份会有海鸥，和海鸥拍照氛围感拉满了好吧！落日也好美~
🎫门票：免费
📍地址：南山区滨海大道（近望海路）
6⃣盐田海山公园
盐田的海边公园虽然比较小，但是风景也不熟深圳湾公园！海山公园附近还有很多可以逛的地方，天气好的适合拍照很出片，高级感一下就上来了~
🎫门票：免费
📍地址：盐田区海山地铁站盐田区深盐路
     ","https://sns-img-hw.xhscdn.net/7b8919d0-127d-2da7-9ec7-4cf37f5fda27,https://sns-img-hw.xhscdn.net/cf0c1d2e-65ac-0fb6-8dc7-4a17b58a8993,https://sns-img-hw.xhscdn.net/c1f712ba-e368-0d0c-49ea-0f87e534b460,https://sns-img-hw.xhscdn.net/9941fdb6-b2b0-19cb-ea8c-ddb8889a5572,https://sns-img-hw.xhscdn.net/d823dec6-18db-e87d-3e50-dfd3bbd6c776,https://sns-img-hw.xhscdn.net/e4ea9585-bcd9-c8ac-6544-bcdddfae796e,https://sns-img-hw.xhscdn.net/70ef5c89-a5e8-d7b0-ed93-30facae135c5",https://www.xiaohongshu.com/explore/657a80c90000000006023bd8
深圳｜大梅沙海滨栈道—玫瑰海岸｜徒步攻略,"
🟩徒步攻略：
起始：大梅沙海滨栈道
终点：玫瑰海岸
全程：16公里
用时：4小时+
途径：海滨栈道、大梅沙、小梅沙情人岛、小梅沙、背仔角灯塔、背仔角沙滩、溪涌度假村、玫瑰海岸。
沿途的风景非常治愈，沙滩超美，海水超蓝，拍照超出片。
	
🟩交通攻略：
考虑双休日外地车辆进入深圳大鹏半岛需预约通行
	
重要‼️请通过“深圳交警公众号”进行予约
建议坐地铁8号线盐田港路站
换乘公交“M465”或“大梅沙假日专线‘到大梅沙
	
🟨注意‼️事项
栈道不能下海，切勿翻越栏杆，安全第一
穿防晒衣、遮阳帽、太阳镜墨镜等
	
🟩深圳沙滩大全，请记得收藏！
收费沙滩
✅小梅沙
✅玫瑰海岸
✅西冲沙滩
✅东涌沙滩
✅鹿嘴山庄沙滩
	
免费沙滩（已开发）
✅大梅沙
✅沙鱼涌沙滩
✅官湖沙滩
✅金沙湾沙滩
✅大澳湾沙滩
✅南澳第一沙滩
✅海贝湾沙滩
✅蓝宝石沙滩
✅洋踌湾沙滩
✅柚柑湾沙滩
✅桔钓沙沙滩
✅较场尾沙滩
	
免费沙滩（未开发）
✅背仔角沙滩
✅金海湾沙滩
✅东家湾沙滩
✅企石离沙滩
✅政洁沙滩
✅残螺角沙滩
✅西长角沙滩
✅大鹿港沙滩
✅鬼仔角沙滩
✅坝光野沙滩
✅大网前沙滩
✅黑岩角沙滩
	
不对外开放沙滩
✅党校里的长滩
✅核电站里的沙滩
✅山海湾的沙滩
✅鹅公沙滩
","https://sns-img-bd.xhscdn.com/7fe3d88a-265b-e7e1-c0bb-b159a649ac6a,https://sns-img-bd.xhscdn.com/8c132ecf-8606-2748-751c-b3e7221cf5e7,https://sns-img-bd.xhscdn.com/06b8dbad-7c7c-de21-864d-bd5de73ded3a,https://sns-img-bd.xhscdn.com/b170acbd-b487-a032-721f-01b59ed71872,https://sns-img-bd.xhscdn.com/3bdc7784-611e-f1e7-3c1a-c87481d2d018,https://sns-img-bd.xhscdn.com/0fa3f7a7-4e78-328c-42ee-e01212cdddfc,https://sns-img-bd.xhscdn.com/8e9bb3f4-3b26-afab-c1db-336ff45c5733,https://sns-img-bd.xhscdn.com/72602671-7f80-4a41-6206-879be94ea4f0,https://sns-img-bd.xhscdn.com/027bfac1-a9b5-1b2b-0742-e606fb086662,https://sns-img-bd.xhscdn.com/b0725f5e-c7b3-5531-21af-b245a7c648df,https://sns-img-bd.xhscdn.com/c03d3d9a-3b58-ad7f-7510-9c91ef3e9dcb,https://sns-img-bd.xhscdn.com/92fcf9ad-4692-989e-a5e0-1f7b9d6f5bf3,https://sns-img-bd.xhscdn.com/f8fe90df-0d81-ff7a-56ed-81f95d7629b1",https://www.xiaohongshu.com/explore/649d48b8000000001300a395
深圳玫瑰海岸｜不是巴厘岛是深圳版马尔代夫,"天啊深圳版的马尔代夫🇲🇻在深圳玫瑰海岸🏖人少沙细
海水🌊也很蓝很清澈  绝美的海滩🏖
还有各种打卡景点也是深圳最大的婚纱拍摄基地 来这里可以看到很多一对对拍摄婚纱情侣
这里的景色简直太美了
⏰开放时间：
周一到周五：08:00～20:00
周六到周日：08:00～21:00
🎫门票：成人票40元/人  儿童老人票25元/人
🏨住宿：景区里面就有玫瑰酒店住宿  开窗就是一线无敌海景   如果在景区里面住就不需要门票哦 可以随意进入  看个人行程安排很预算
📍地点：深圳市玫瑰海岸
🚇地铁：2号线8号线（乘坐盐田港西A出口）→换成公交车🚌M199下车即可到
🚗自驾游：导航到【玫瑰海岸停车场🅿️】大门口旁边就是停车场
         ","https://sns-img-hw.xhscdn.net/e06a9a68-6c13-40a5-e046-b771f1141b63,https://sns-img-hw.xhscdn.net/8a89f5a4-b48b-7911-bcb6-b51eb6555377,https://sns-img-hw.xhscdn.net/a909f8f9-4ac2-8972-99f1-1f478d4b2ddf,https://sns-img-hw.xhscdn.net/7ce92718-6f47-cf7d-a68e-6f91f51eaa37,https://sns-img-hw.xhscdn.net/109c1092-9a70-8259-021f-d66b990b8154,https://sns-img-hw.xhscdn.net/1516f8b7-3d3a-c724-9211-86764f33356f,https://sns-img-hw.xhscdn.net/1b4ea690-825f-b869-4910-d3587de1b3bf,https://sns-img-hw.xhscdn.net/11ff84b4-53b7-fa3a-42e5-84c716ba03bc,https://sns-img-hw.xhscdn.net/ae2630c1-bc76-bcc4-54a1-213c6b085b57,https://sns-img-hw.xhscdn.net/974f438e-d2d7-034e-3fc3-adcc91091836,https://sns-img-hw.xhscdn.net/f423b8b6-48bb-a441-3e58-aa9ae69b3aa5,https://sns-img-hw.xhscdn.net/9906197d-fad5-43ae-2c27-f571b013a47b,https://sns-img-hw.xhscdn.net/11f76345-b033-31bb-3330-51e855181e61,https://sns-img-hw.xhscdn.net/3211f43f-5479-8de6-e25d-2076ab94090f,https://sns-img-hw.xhscdn.net/9a15a85e-e611-b34e-d589-2d106beda58d",https://www.xiaohongshu.com/explore/656d681f000000003801ee6a
深圳玫瑰海岸，如此脏的海水如此脏的沙滩，这里的工作人员是干嘛的，这样的污水能游泳吗？每人四十的门票交给你们做什么,深圳玫瑰海岸，如此脏的海水如此脏的沙滩，这里的工作人员是干嘛的，这样的污水能游泳吗？每人四十的门票交给你们做什么,"https://sns-img-hw.xhscdn.net/721e4699-5351-7176-7db3-e355b20c937c,https://sns-img-hw.xhscdn.net/564ca287-d32c-def0-774b-7a54f8d0fa08,https://sns-img-hw.xhscdn.net/7899734b-e528-494f-2569-aaa6bb08413d,https://sns-img-hw.xhscdn.net/e0a99232-1a3a-b09d-e8e0-37c8f917c76d,https://sns-img-hw.xhscdn.net/de5e15df-a056-73c1-2951-45b4af011793,https://sns-img-hw.xhscdn.net/45878b47-5684-20cf-f960-ba50845848bd,https://sns-img-hw.xhscdn.net/6515f35f-f624-cad3-f783-051dc49a86b2,https://sns-img-hw.xhscdn.net/270317b2-c7e4-46cc-6e51-017272a8b6ab,https://sns-img-hw.xhscdn.net/300ed205-05b6-faa5-151e-20d084b983dc",https://www.xiaohongshu.com/explore/64953b890000000027001eb7
