title,desc,image_list,note_url
深圳甘坑古镇真的不坑‼️周末快约朋友一起逛,"📍地址：深圳市龙岗区甘坑古镇
🚦交通：甘坑地铁站B出口
1️⃣步行10分钟到甘坑古镇
2️⃣B口有直达古镇的公交车，2块钱💰
🎫门票：免费🆓（里面有小农场收费30左右）
🍝吃：一路进去有很多吃的，餐馆便利店咖啡奶茶都有！！！甘味巷里有很多潮汕小吃，价格10块/份，比外面偏贵
📷拍照：每一处都很出片‼️‼️很多人在里面拍汉服、民族服装，有很多租服装的地方（包发型+头饰＋服装大概一整天150💰左右）
🎈甘坑古镇其实就是一条充满古风的长街，街的两边都是古建筑物，快的话大概一两个小时就能逛完整个甘坑古镇，在古镇慢悠悠的逛很惬意☺️（傍晚五点半左右会陆续开灯，六点多差不多就可以看到夜景🌃）
Ps‼️‼️
甘坑古镇北门停车场出口就是“二十四史书院”
需要买门票🎫：日场60💰夜场30（暂时没去，据说夜晚拍照很出片）
🔅深圳的宝子们周末真的可以去这逛逛！！！真的超舒服，好逛我真的说腻了，冲就完事了✅✅✅       ","https://sns-img-bd.xhscdn.com/c017637b-e768-6be4-1db4-fd9c0bf845dd,https://sns-img-bd.xhscdn.com/47460fe9-96f0-9f8b-7dc6-be3df65d52da,https://sns-img-bd.xhscdn.com/e8652ebc-7b10-3152-d153-369e952d5703,https://sns-img-bd.xhscdn.com/1b069219-7509-7b27-92ef-f17c22b733da,https://sns-img-bd.xhscdn.com/a2f63f71-c0b1-4bea-c976-2d225899a8fc,https://sns-img-bd.xhscdn.com/a476b436-28fd-5300-a8ba-a0a000d34bb8,https://sns-img-bd.xhscdn.com/d81f7711-7f8a-90e1-7bdd-8db890c5c3fe,https://sns-img-bd.xhscdn.com/8f2c4e15-5be1-2c71-06f3-a954465e5550,https://sns-img-bd.xhscdn.com/f0804335-6973-ac58-757f-04b8a310d629,https://sns-img-bd.xhscdn.com/81ec88ae-e327-c58e-72ed-846bc6aa20e1,https://sns-img-bd.xhscdn.com/095ae7cd-4761-801b-88a1-126316b0d7e3",https://www.xiaohongshu.com/explore/65772560000000000602acc2
甘坑古镇一日游🔥免费打卡深圳版千与千寻,"🌈在深圳，藏着一个云南丽江一般的慢生活客家古镇。灯火阑珊，如梦似幻，像极了走进“千与千寻”的动漫世界里，小油屋🏡，小桥，流水，青石板路，客家小楼，特色美食🍱，繁华夜景，它通通都有‼️
-
🗺️地点:华侨城甘坑客家小镇
🚇地铁：10号线甘坑站B出口，出来后步行约10分钟到达城门
🎫门票:免费
🕐时间：全天开放
✅建议游玩时间:1-3h
-
🌟古镇亮点
1️⃣客家文化：景点主题，建筑和美食都是以客家特色为主，若是没有感受过客家文化的可以先到这里略感受一下哦‼️
.
2️⃣千与千寻：初看不觉，再看仿若误入，其中有一处建筑很像油屋～还有客家碉楼上的动画，仿佛进入了童话世界‼️
.
3️⃣夜景游玩：这里的夜景真的非常赞👍，古色古香的楼房加上通红的灯笼🏮，仿佛置身在古代的闹市中🌆
.
4️⃣打卡拍摄：很适合古风与文艺小清新风格的拍摄📷，特别是古风，随处可见穿着古装的小姐姐建议下午去因为白天晚上都有不同感受。晚上夜景格出一别。
.
5️⃣娱乐设施：里面也有游玩的，不过大多都需要自费，如3D体验，火车，不是很专业的皮影戏等，亲子游玩绝佳宝地~
-
🌟美食特色
里面有小食街，小巷也有很多饮食、饰品类店铺。买得最多吃的莫过于客家小吃，如：钵仔糕、糍粑、酿豆腐🥘等💓
-
          ","https://sns-img-qc.xhscdn.com/8e9d38a1-255c-7bea-03fa-03fb1c4daf9d,https://sns-img-qc.xhscdn.com/4ea70925-6210-ada5-0fd5-9bcc5cce5f09,https://sns-img-qc.xhscdn.com/d7585af6-1479-62ab-da73-2127604cf293,https://sns-img-qc.xhscdn.com/7515ad4a-2781-1625-8bf2-7e5846bee16e,https://sns-img-qc.xhscdn.com/febe859f-db99-80eb-a6c3-7bf6dbe09e88,https://sns-img-qc.xhscdn.com/c9f18cc3-8fcc-6ed3-e618-177f897decd2,https://sns-img-qc.xhscdn.com/0458d8ff-0cab-5496-d9e6-3a39df569a3e,https://sns-img-qc.xhscdn.com/1b72389d-066e-6b08-96c5-d33532b34107,https://sns-img-qc.xhscdn.com/006bacf1-9c6c-60e6-c246-ddb3c7c89dfa,https://sns-img-qc.xhscdn.com/345e5846-06f5-ce78-d9c0-4d818283a822,https://sns-img-qc.xhscdn.com/27f25023-f0f2-200e-8452-26fdc736ebfd,https://sns-img-qc.xhscdn.com/d211c6d8-c933-2e0b-0256-1149e52b3825",https://www.xiaohongshu.com/explore/656934270000000032039ff7
真的有被这个地方惊艳到！,"🎫门票：免费无需预约
⏰开放时间：全天开放
地址：甘坑古镇
🚗自驾：甘坑古镇北门停车场
🚇地铁：10号线B口步行13分钟左右
🚌公交：甘坑客家小镇步行3分钟左右
🌈景点推荐：
❤️免费景点：
🔸关帝庙🔸家风家训馆
🔸甘坑炮楼院🔸甘坑博物馆
🔸7都116市集
🔸老围社区公园：沙池、滑梯、攀爬架、攀岩墙
等
🎫收费景点：
🔸小凉帽剧场皮影戏（一大一小50，周末及节假日才开放，一天6场）
🔸v谷乐园：以VR+AR现代科技手段、沉浸式体验客家文化（价格49-169）
🔸凤凰谷黄志博物馆：园林深处藏着四间以陶瓷、玉器、金属、佛像的艺术馆（成人票30，儿童票15）
🔸小凉帽农场：以亲子互动为主题的农场，有跷跷板、木制滑梯、秋千、儿童手摇船等游乐项目，可采摘蔬菜（一大一小99，成人30）
🔸二十四史书院：适合穿着汉服拍照打卡，夜景特别美（夜场39，全日60，儿童1.2米以下免票，超过30）
👨‍👩‍👧‍👦亲子游玩路线建议：
🔸老围社区公园➡️小凉帽农场 ➡️V谷乐园小凉
帽皮影戏剧场➡️凤凰谷黄志博物馆 ➡️甘坑博物馆
➡️甘坑炮楼院➡️家风家训馆➡️关帝庙➡️7都116市集➡️晚上二十四史书院
	
📷拍照打卡路线建议：
🔸文昌塔➡️凤凰谷黄志博物馆➡️南香楼➡️荷花池➡️甘坑博物馆➡️甘坑炮楼院➡️家风家训馆➡️古井口关帝庙➡️7都116市集➡️晚上二十四史书院
拍照超级美
⭕️‼️小凉帽农场、V谷乐园、小凉帽皮影戏剧场、凤凰谷黄志博物馆这几个自费景点没必要全部都去，根据自己的喜好选择
⭕️‼️古镇里有各种美食小吃
⚠️小贴士：
1️⃣喜欢拍照的小姐姐们可以在古镇租民族服装拍
写真
2️⃣户外蚊虫多，做好防蚊措施
3️⃣二十四史书院建议晚上吃完饭去玩，夜晚灯光全部开启拍照特别美
4️⃣附近游玩点：
✅龙祥哈哈乐园（需门票）在甘坑古镇北门停车场
有免费接驳小火车直达
✅二十四史书院（步行10分钟左右）
✅老围社区公园（步行7分钟左右）
✅雪竹径公园（开车7分钟左右）
      ","https://sns-img-bd.xhscdn.com/648199fa-2a78-cbce-273b-d9ae06c7cbb6,https://sns-img-bd.xhscdn.com/ef71f2ff-dc7c-b769-2719-a09bd06bd160,https://sns-img-bd.xhscdn.com/256c9d34-00f9-dd98-cc1e-88cfec39e10a,https://sns-img-bd.xhscdn.com/90b39bf4-e5ac-f0b5-9338-aaf57e98181b,https://sns-img-bd.xhscdn.com/88d8c93e-0100-1ae4-6808-c335b89434bc,https://sns-img-bd.xhscdn.com/4abb1934-81dd-0846-e410-3198fd3b778b,https://sns-img-bd.xhscdn.com/18cf73f0-cdc0-e77d-8113-8faf79572bfd,https://sns-img-bd.xhscdn.com/ddbe5a70-04db-d132-36ed-bfa4f81dd6f2,https://sns-img-bd.xhscdn.com/a93f2f84-fc16-b08b-1f56-c62c0e62968d,https://sns-img-bd.xhscdn.com/f6e51eb1-0e9b-4a10-02bc-beee690618ac",https://www.xiaohongshu.com/explore/657b18c20000000039032803
甘坑小镇 五年内不会再去第二次,"我觉得有些人还是会喜欢这里的，古香古色的建筑，各种汉服爱好者衣饰鲜明，妆容精致，穿梭在街闾巷里，也是一道风景线。商铺林立，丰简由君，吃吃喝喝，拍拍照打发一天时间，还是挺不错的！
只是…人太多了！景区外堵了一个小时才进去。景区里面熙熙攘攘人超级多。就这一点，足够劝退我了！
   ","https://sns-img-hw.xhscdn.net/ba608390-eb34-eb01-a4f2-0d7a4d9020c9,https://sns-img-hw.xhscdn.net/44499ef4-0930-365d-95bf-c0d87656e40f,https://sns-img-hw.xhscdn.net/74eff51e-c577-5c52-482e-b1540e5292fc,https://sns-img-hw.xhscdn.net/d5e62df7-1a0b-7a8b-726e-280c446c08c5,https://sns-img-hw.xhscdn.net/75928379-ea35-e361-7785-871d408f44c2,https://sns-img-hw.xhscdn.net/a0475447-2a3a-a004-852d-7a94824870d4",https://www.xiaohongshu.com/explore/655bf1f6000000001b03524e
99%的深圳人都不知道的唐朝古风书院‼️,"终于来打卡藏甘坑的二十四史书院
整个书院古色古香，夜晚的灯光照亮书院
这不就是梦华录的场景吗‼️
夜景随手一拍都是大片
还吸引了很多汉服爱好者来打卡
晚上夜灯亮起好不热闹！
      @城市情报官 @摄影薯 @日常薯","https://sns-img-bd.xhscdn.com/9d2dfc2f-7756-e438-b7e7-295f12b9fdf8,https://sns-img-bd.xhscdn.com/51935aad-186d-d8c1-9db7-686b0d5060e4,https://sns-img-bd.xhscdn.com/2e88bcaa-d005-2499-2a28-524606529385,https://sns-img-bd.xhscdn.com/8a28eaf0-d203-56d8-7c10-3eba6d770dfa,https://sns-img-bd.xhscdn.com/69123212-e00c-8683-f586-179b93b42883,https://sns-img-bd.xhscdn.com/cfe8cec7-687a-e1f7-65bf-b68797aaa6be,https://sns-img-bd.xhscdn.com/7e001144-4f86-19ab-8977-af05b2fe1291,https://sns-img-bd.xhscdn.com/367027d5-cd95-5f90-db1e-6b1e52323dac,https://sns-img-bd.xhscdn.com/21bdd521-9186-703d-dffb-efe4fe117629,https://sns-img-bd.xhscdn.com/266cb73b-700a-1f5f-3492-c13be3cd1a49",https://www.xiaohongshu.com/explore/64af9d01000000002f028deb
深圳甘坑古镇 不要来！现在立刻掉头回去！,"没什么特别值得逛的 各个城市都有这样的仿古商业区
人真的巨巨巨巨巨巨多！！
都退回去吧！
车停不下，人走不动，上厕所排队20min打底
我真的是来上了个厕所就走了
及时止损
[捂脸R][捂脸R][捂脸R]
	
  ","https://sns-img-bd.xhscdn.com/437cb086-fabe-8744-ab80-028375de0ef3,https://sns-img-bd.xhscdn.com/fd555bfc-9b25-ceca-7848-5ac571d7dfa1,https://sns-img-bd.xhscdn.com/e7aa8b3e-37e3-9e1a-3b44-0b9d961a5a80,https://sns-img-bd.xhscdn.com/d6151dc6-0010-c021-a2f8-1f4a08737bc8",https://www.xiaohongshu.com/explore/644e2f2d0000000027001c1a
周末节假日！避雷！！深圳甘坑客家小镇,"1、商业化很重，消费也比较贵。
	
2、景区小，如果沿着主干道一直走，估计10分钟就可以走到出口。
	
3、周边高楼容易跳戏，有些地方想拍下古风建筑一不留神就入镜。
	
4、不收大门票，有几个小景点另行收费。
	
5、大部分商店是卖一些零食小吃、饰品，价格高，套路多，防不胜防。
	
6、出游建议别选周末、避开节假日，人多起来纯纯就是看人头了。
	
    ",https://sns-img-bd.xhscdn.com/a1e5f12e-938f-3bf4-04d0-7eff0d63e29d,https://www.xiaohongshu.com/explore/63ef8195000000001300b613
🚩来深圳一定要去打卡的6个绝美景点🔥快码,"1️⃣二十四史书院
🚇地铁：10号线甘坑站B口出
🎫门票：白天60💰/五点后39💰
📍地址：深圳市龙岗区甘坑古镇北区
⏰时间：10:30-21:30
🌟亮点：唐宋时期的亭台楼阁设计，夜晚华灯初上之际，灯光在湖面交相辉映，像极了去年的热播剧《梦华录》里的场景🌟
-
2️⃣笔架山公园
🚇地铁：6号线银湖站B口出
🎫门票：免费免预约
📍地址：深圳市福田区梅岗路26号
⏰时间：06:00-23:00
🌟亮点：靠近福田中心区〽️眺望地王大厦这里不仅能领略到城市的繁华❇️还能感受自然的宁静与舒适
-
3️⃣欢乐海岸
🚇地铁：9号线深圳湾公园E口出
🎫门票：免费
📍地址：深圳市南山区白石路8号
⏰时间：全体开放
🌟亮点：看两场免费的烟花🎆8.15-8.30左右🌀第一场小一些，第二场会更好看！
-
4️⃣欢乐港湾
🚇地铁：5号线临海站B2口出
🎫门票：免费（项目需购票）
📍地址：深圳市宝安区海天路与宝华路交汇处
⏰时间：全天开放
🌟亮点：360度俯瞰城市美景，总高128米，28个椭圆回转式太空舱，科幻感十足，是一次不容错过的体验〰️
-
5️⃣人才公园
🚇地铁：2号线后海站H口出步行1.2公里（北门）
🎫门票：免费
📍地址：深圳市南山区后海科苑南路3329号
⏰时间：06:00-23:00
🌟亮点：中国华润大厦〖又名春笋、子弹头〗附近有海岸城，深圳湾万象城等商业广场🌀
-
6️⃣南山公园
🚇地铁：2号线海上世界站H口出
🎫门票：免费
📍地址：深圳市南山区街道荔湾社区别墅路
⏰时间：06:00-21:00
🌟亮点：可以俯瞰深圳前海整座城市风景、摩天轮、沿江高速S弯道，真的要被深圳这绝美夜景给狠狠迷住❇️
-
          ","https://sns-img-hw.xhscdn.net/a3125593-b265-c9f8-a687-70ae6968ebe2,https://sns-img-hw.xhscdn.net/6d9c4e99-beae-80ec-71c7-3285f8eb631f,https://sns-img-hw.xhscdn.net/924b1778-d729-44d2-8e00-69c137bb8303,https://sns-img-hw.xhscdn.net/eb419c8c-c7ac-23d2-4392-17ebadd6fdcc,https://sns-img-hw.xhscdn.net/1679b399-0613-5e43-84e7-bb7c02d72f80,https://sns-img-hw.xhscdn.net/68c437f2-a879-6bfa-4d8d-99ffc8aad985,https://sns-img-hw.xhscdn.net/951c2ac5-bc31-cc5d-2387-9551ab6f38a2",https://www.xiaohongshu.com/explore/654a25aa000000002303ae89
有关深圳的防坑🕳指南👉," 
来深圳之前刷到这篇避坑指南的一定要保存喔😲说不定那天你就用上↑了哟~
-
🌈深圳四日游行程安排
Day1：抵达深圳→深圳博物馆→深圳湾公园→世界之窗
Day2：大芬油画村→仙湖植物园→甘坑古镇→东门老街
Day3：杨梅坑→桔钓沙→较场尾→大鹏所城
Day4：大梅沙→中英街→莲花山公园→欢乐港湾
-
⚠️深圳住宿建议
‼️1、节假日记得提前预定酒店，临时定价格上涨不说，还订不到自己喜欢的酒店
‼️2、订酒店一定要看实拍图，那种加了滤镜的美好图片看看就算了，很多都是照骗
‼️3、建议和朋友一起出行，人多住民宿，人少住酒店
‼️4、住在地铁沿线是不错的选择，去哪里都算方便，转车也很方便
‼️5、去深圳是为了看海的话，可以住在海边，较场尾、大梅沙、桔钓沙之类的都靠海
‼️6、想感受震撼的繁华都市，可以住在福田区，周边都是不错的夜景
-
🏄‍♂️深圳交通
深圳交通以地铁为主就好，直接搜深圳地铁即可领取乘车码👍
如果有些地方不到的话可以地铁+打车、或者地铁+公车等方式组合出行，性价比更高！✨
不要坐🗣️黑车哦！能线上叫车就线上打车吧~
","https://sns-img-hw.xhscdn.net/2aad289a-031c-9ace-97de-856975b4d5a2,https://sns-img-hw.xhscdn.net/317cb93d-2b25-989f-530a-2cb98516072d,https://sns-img-hw.xhscdn.net/c1e3947b-ee55-7ed5-d4eb-6cda39a70966,https://sns-img-hw.xhscdn.net/a0055c5d-954f-4e9b-3baf-8d0af4425aa4,https://sns-img-hw.xhscdn.net/f495c755-c2fb-f026-0d7d-e4ab57c2c7d5,https://sns-img-hw.xhscdn.net/b9d39a37-face-c66e-9491-7dde8f1c0faf,https://sns-img-hw.xhscdn.net/a2b2901c-ce3f-4920-2146-06fddddf09fc,https://sns-img-hw.xhscdn.net/91972974-d5aa-6db0-3e86-907ac477e914,https://sns-img-hw.xhscdn.net/538a9291-46f2-fc7f-35b9-920891bbe942",https://www.xiaohongshu.com/explore/64fbf32b000000001e0205d1
深圳，实在不舍得公开的9个小众好去处,"深圳来了好多年了
现在正逢毕业季，想到去了好几个景点不错的
现在吐血整理给大家‼️
-
图1⃣️：桔钓沙（大鹏）
这个可能是去过深圳海滩里边最好看的~虽然离市区有点距离，但是看到玻璃海的一刻，我也想是值得的~
-
图2⃣️：恩上水库（盐田区）
满足了山海的所有想象，一边爬山一边看海，何乐而不为~还可以远眺盐田港，看看海山🌊
-
图3⃣️：陌上花公园（光明区）
每个季节去红花山都不一样，春夏是绿油油的，像宫崎骏的夏天，秋冬则是黄黄的一片，可以拍出情绪大片🍂
-
图4⃣️：甘坑古镇（龙岗区）
深圳版本的梦华录，古色古香的建筑，可以跟甘坑古镇一起逛，晚上灯光亮起的时候，古镇的调调就起来了~有一种时光穿梭的感觉
-
图5⃣️：海上艺术世界（南山区）
来深圳就要去海上世界看一次海，坐在海边喝上一杯咖啡，体验一下这个城市带给精致小资的情趣
-
图6⃣️：天文台（大鹏）
被国家地理评选为最美海岸线的天文台，来这里可以感受深圳离星星zui近的地方~
-
图7⃣️：大鹏所城（大鹏）
这是深圳比较像“大理”的地方，这个有风的地方，连落叶都显得有诗意了起来
-
图8⃣️：前海演绎公园（南山）
可以来这里看看日落，吹吹海风，看看别人穿着婚纱的样子很美，看看飞机从落日缓缓穿过
-
图9⃣️：背仔角（盐田）
被网友戏谑称为世界的尽头，我去的时候真实的感受这里的水是比较深的蓝色，而且浪很大，拍打在岩石上，多了几分对海的敬畏
	
@生活薯 @户外薯 @薯队长 @城市情报官
           ","https://sns-img-hw.xhscdn.net/71e864e5-4828-454c-3fdc-e7d5b2c48ee9,https://sns-img-hw.xhscdn.net/998433db-a4d7-daf1-aec0-7a5fa7dcf75b,https://sns-img-hw.xhscdn.net/8a6d2a92-1f8e-00f4-f965-18f6b91e99b4,https://sns-img-hw.xhscdn.net/a4a29d98-7a9b-6526-273f-0b9e0794d61d,https://sns-img-hw.xhscdn.net/0afd3c5c-711b-6456-4bca-e883bc1da982,https://sns-img-hw.xhscdn.net/084b519a-7029-2f83-68c4-e4a719c002e3,https://sns-img-hw.xhscdn.net/c979680c-f252-243d-2896-efcb78af45af,https://sns-img-hw.xhscdn.net/a057d95b-bd06-a5d2-027e-ade44eb829cc,https://sns-img-hw.xhscdn.net/a3e105cc-8277-cdca-7a93-4a2f7c33c1ed",https://www.xiaohongshu.com/explore/64e9ca9a000000001201f9d1
