title,desc,image_list,note_url
较场尾劝退,满怀期待来到这里，一到海边看见这么多人瞬间失望一半，下去看见海水这么脏直接不想下去了，待了几分钟就走了  国庆期间人太多了，30号去的桔钓沙 很好看，是白沙滩和玻璃海附上图4今天想着换个地方玩，没想到，还是很失望的，这么晚了换地方也来不及，回家了,"https://sns-img-hw.xhscdn.net/8876d906-2d84-d6b0-c95c-8d78c4de97bd,https://sns-img-hw.xhscdn.net/888a6de2-40f2-cbd5-13d9-0e99e624f0a7,https://sns-img-hw.xhscdn.net/36380a06-81e2-ded6-c3c9-519a0e3b6e98,https://sns-img-hw.xhscdn.net/13601587-1c12-012b-bedc-f2cf2626d32b",https://www.xiaohongshu.com/explore/651a944d000000001a0142c5
深圳较场尾1日游｜不负山海之间最美海岸线,"“像海风许愿，在山海相见” 这个夏天我们去较场尾看海吧?? 阳光、海风、沙滩、海浪…是凉凉海风吹拂过脸颊的的舒畅，收藏这份较场尾1日游攻略，一起玩全程- ✅一日游路线 ，路线安排：深圳市区——较场尾海滩——官湖村——大鹏所城 tips：全程推荐自驾游，一定注意防晒！ . ✅交通： 🚌公交车：在大鹏中心2站坐 M471公交，在较场尾站下车，全程估计1.5小时 🚙自驾：自驾定位较场尾沙滩，开进停车场，步行大约1.56439就可抵达沙滩！深圳市区1.5小时就到达。
tips：深圳以外的车牌过去要先预约哦～ . ✅游玩景点： [一R]较场尾 这里被称之为“小鼓浪屿”早晨可以看日出感受一场橘色浪漫，上午在海浪中体验帆板、岸潜、空中飞人、出海钓鱼等海上项目的惊险刺激！下午退潮后来赶海叭，带着小螃蟹、寄居蟹等小海鲜满载而归～晚上一定到较场尾小镇散步，感受火热的集市氛围
[二R]大鹏所城 距离较场尾只有一条马路之隔，逛古城是免费的，城内悠久的历史痕迹与文艺小店相互辉映，特别适合慢下来闲逛
[三R]官湖村 这里素有深圳“小镰仓”之称，从较场尾驱车20分钟就可以到达，唯美日系风格的海边村庄，很多彩色的房子和小镰仓路口适合拍照打卡
✅餐饮推荐： 鹏城饭馆，本地著名老牌美食，需要提前预约 ，海蓝海鲜餐厅，好吃不贵，推荐爆炒花甲特别入味 ，肥妈小吃店，豆腐花5元一碗值得一试 -
✅住宿推荐：「爱树·慢可可里」
🔺民宿两面环山，两边环海，出门5分钟就是较场尾海滩～装横采用魔鬼猫风格，是艺术馆、书吧、客房为一体的度假胜地，文艺青年必打卡之地
🔺民宿一楼是一个超大的图书馆，几何式旋转楼梯是民宿亮点，建筑色彩互相融合相间，少女感十足！仿佛置身于动漫世界之中
🔺每间房都配有超大阳台，别具一格的洞穴风设计，搭配精美下午茶和轻餐简食，在满足入住需求的同时，懒懒的待在房间一整天
📍地址：广东省深圳市大鹏半岛较场尾路25号101栋
","https://sns-img-hw.xhscdn.net/bfd865db-66a8-ab01-f6b0-f64b66ba03a9,https://sns-img-hw.xhscdn.net/29c3b6d3-f95c-2ab5-cdcc-d8326969b334,https://sns-img-hw.xhscdn.net/51b7c68f-c829-9486-8639-43653088ee4c,https://sns-img-hw.xhscdn.net/a105774f-588d-3f18-0e17-49244e122844,https://sns-img-hw.xhscdn.net/0f2c69ac-5595-cbd9-50e5-d22b4becae34",https://www.xiaohongshu.com/explore/656c277200000000340349a5
深圳人都不去较场尾了吗,"怎么昨天是周日都这么少人
天气一级好 大晴天 海水好蓝好好看
下午四点到玩了两三个小时
拍拍照喝杯咖啡逛逛沙滩踩踩海水🌊 好舒服啊！
	
而且较场尾对面就是大鹏所城 以前去过一次里面逛一下还蛮有意思的
不过这次我们就是想去海边吹吹风 所以从海边出来直接去沙头角吃肠粉和龟苓膏了 （意外之喜发现隔壁的汤粉也好好吃还很大份）
深圳的肠粉吃过那么多家 在我心目中还是沙头角的最好吃[哭惹R][哭惹R][哭惹R] 多少次从市区去沙头角都只是为了吃两碟肠粉[生气R]
         ","https://sns-img-qc.xhscdn.com/a88edfd2-3772-b12f-9352-37beaa2077a2,https://sns-img-qc.xhscdn.com/ce5c0400-47b9-a19f-2907-5407ca8806ec,https://sns-img-qc.xhscdn.com/cde63e82-de09-8798-c14c-b510894e1ff1,https://sns-img-qc.xhscdn.com/cd007361-5581-ec2b-3bb7-25af9115d5c6,https://sns-img-qc.xhscdn.com/c53599c0-6c6d-f162-5ca2-44f8c30c8334,https://sns-img-qc.xhscdn.com/b7f053df-6120-7820-1c0d-5393b7bfa7ca,https://sns-img-qc.xhscdn.com/6c43e37a-8f98-0b18-560c-382dd48f312c,https://sns-img-qc.xhscdn.com/2a185c52-9f38-3e6d-d98c-2ab837c81889,https://sns-img-qc.xhscdn.com/c2e0d3f3-603a-c0a6-e3ed-b2822825b62c,https://sns-img-qc.xhscdn.com/33618ad2-3968-b901-d759-e7db7af56766,https://sns-img-qc.xhscdn.com/c55ccbae-187d-6dae-3e9f-9014bcd2a19f,https://sns-img-qc.xhscdn.com/815c46ac-5a88-81a6-3e8f-cee0d2dd03e5,https://sns-img-qc.xhscdn.com/85af1fb9-0027-a24c-1f7a-0aab3af96da5",https://www.xiaohongshu.com/explore/6548f6b3000000001f03bb25
较场尾避雷😅拔🌿了👋🏻（个人感,"去了较场尾那边真的觉得没有小南澳景色好😓😓
人也太多了😓😓都是揽客的人真的很烦
努力在人群中📸了🥲可以选择还是大鹏湾那边吧
去了网红餐厅被狠狠宰了一把（巨难吃🙄店名就不说了一搜🍠推得都是它😅😅😅
ps.唯一安慰是民宿比较好，店员也很热情🥲🥲🥲
（下一条更新一下小南澳）
@Libra_凌小宇 @LemonMon_0117
  ","https://sns-img-bd.xhscdn.com/ddb1e5bf-575f-0ade-d22d-d49fd98ca7c2,https://sns-img-bd.xhscdn.com/703177c9-6326-02a1-1d1a-f8569cadbb3a,https://sns-img-bd.xhscdn.com/a367dd0c-b846-9616-87fb-02c29c9b6f4e,https://sns-img-bd.xhscdn.com/a561b92f-af66-4741-d895-636db87ce1fc,https://sns-img-bd.xhscdn.com/cabe68d3-c459-ac43-30f6-83f31f4e57e7,https://sns-img-bd.xhscdn.com/7f2e14e1-fe77-8945-ed00-1190cac6c0df,https://sns-img-bd.xhscdn.com/c7b0c78d-70c1-abd5-8ade-ccc07e5cb9d2,https://sns-img-bd.xhscdn.com/9aadba0d-d59a-9f4c-c94a-f1c0794ba5de,https://sns-img-bd.xhscdn.com/449ecb21-6c6a-9dd6-263b-4a03b08e8db1",https://www.xiaohongshu.com/explore/6485f197000000001300d629
今年跨年一起去海边🏖放烟花🎆吧～,"较场尾去年零点跨年烟花盛况🎆
祝我们都有数不尽的烟花和浪漫❤️
-
📍地址：较场尾海滩
🎫门票：免费
景区营业时间：24开放
-
🔆备注：
1️⃣海滩🏖️上有当地人售烟花，价位在30-50不等，也可以提前购买过去、性价比更高
2️⃣附近吃喝玩乐一条街、出客栈就是海，跨年房价大概300-800💰不等
3️⃣主页有烟花🎆拍照、较场尾拍照视频。
4️⃣一定要保护环境、带走放完的烟花噢。
	
｜海边烟花｜跨年仪式感｜元旦跨年｜旅游攻略｜
｜深圳周末去哪玩｜周末好去处｜较场尾｜
｜烟花拍照｜海边拍照｜氛围感拍照｜
	
          ",https://sns-img-hw.xhscdn.net/2ae902ff-854b-3a2e-59b5-ba4da98b39e2,https://www.xiaohongshu.com/explore/6576e59a000000001502fb75
较场尾 VS 桔钓沙,"1⃣️沙滩对比。桔钓沙完胜，沙质好，水质清澈！
2⃣️游乐设施对比。都有摩托艇，降伞等，打成平手。
3⃣️设施对比。桔钓沙只可以冲脚，然后没什么设施，吃喝贵，选择少，非住客酒店不让进。较场尾友善多了，收点费可以洗澡，晚上可以逛街，还有很多不错的民宿，吃喝逛非常舒服！
	
总结，吃喝住在较场尾，沙滩去桔钓沙（不用门票），车程不远，带好吃喝、遮阳防沙，基本能渡过个美好周末～吃饭推荐“景好海鲜餐厅”，都不在两个景区内，有团购，好吃😋但无空调[笑哭R]
	
完～ ",https://sns-img-hw.xhscdn.net/6951faaa-468a-b55c-00e1-6b014f39fe51,https://www.xiaohongshu.com/explore/651027a4000000001e02112d
深圳较场尾跨年，一起放烟花吧,"“逃离城市计划之星空畅游跨年倒数之旅 🌃”
🕔时间：12月31日周日傍晚～1月1日周一中午
📣活动地点：较场尾⛺
🍰食物提供：🥪火锅烧烤🍿零食🍹酒水
🏖活动内容：K歌、麻将、拍照、扑克牌、狼人杀、烧烤、互动小游戏等…
12🈷️31日
16：00 自行出发至较场尾民宿办理入住
17：00 洗菜，准备烧烤用料，会做饭的小伙伴也可以炒菜
18：00～20：00 烧烤、喝酒
21：00～23：30 玩游戏、K歌、麻将
23：30～00：30 烟花、倒数跨年
1🈷️1日
00：30～5：00 休息或者通宵
5：00～6：00 看日出
6：00～12：00 休息或者玩游戏
12：00 退房",https://sns-img-hw.xhscdn.net/f2b8e57a-5257-18e2-1dc7-2b1ff904e29b,https://www.xiaohongshu.com/explore/65815eb80000000038014bf0
广州到深圳大鹏三天两夜保姆式旅行攻略,"最近好多姐妹👭问我大鹏周边好玩的地方，属实我就给大家出个3天两夜的保姆式攻略吧
Day1:远离城市的喧嚣，感受古城的历史遗韵，吹吹傍晚的海风，享受那刻的宁静，较场尾和大鹏古城步行5分钟，可留宿民宿
Day2:来一个欧式风格的度假，海边BBQ，露营🏕️晚霞日出🌅都不错过，一次无敌的海边旅行，玫瑰小镇和杨梅坑距离十几公里，很方便
Day3:东部华侨城大溪谷，一整天刺激又好玩的项目，洗刷以前不开心的一切事情，迎接新的挑战和开始
如果是广州的朋友从南站坐到深圳北站，东广场出看长途长交转E11到大鹏中心转M471就可到较场尾，我个人喜欢坐到大鹏广场，打个车到较场尾，这样体验感更舒服，大鹏广场离较场尾就4-5公里，十几块，看个人选择
不要问我为啥这么熟，因为毕业后在较场尾旁边工作了1年，从事拓展培训的副教练，经常带团去体验不同的旅行路线，比如徒步穿梭东西涌丛林、荒岛露营、帆船🚢等各种有趣项目，嘻嘻~
你们还想去哪里玩，我来做你们的避坑小导游[斜眼R]
     @摄影薯","https://sns-img-hw.xhscdn.net/1c516835-ee02-74a3-651c-abe613624fa9,https://sns-img-hw.xhscdn.net/1d80021f-001f-6a9b-2a91-8e5d24eecc2d,https://sns-img-hw.xhscdn.net/37b06e61-cd0f-fbdf-543d-bef459f5c34f",https://www.xiaohongshu.com/explore/64e836c2000000000c0349a0
深圳24个绝美海边沙滩合集|快去拥抱大海,"[彩虹R]亲们，整理深圳24个比较熟知的沙滩
去过14了，有什么问题可以问哦
～
1、小梅沙（去过）
2、大梅沙（去过）需预约
3、	背仔角沙滩（去过）
4、溪涌沙滩
5、玫瑰海岸（去过）
6、沙鱼涌沙滩（去过）
7、官湖沙滩（去过）
8、金沙湾沙滩
9、大澳湾沙滩
10、南澳第一沙滩
11、海贝湾沙滩（去过）
12、蓝宝石沙滩（去过）
13、鹅公湾
14、柚柑湾（去过）
15、大鹿湾
16、东涌沙滩（去过）
17、西涌沙滩（去过）
18、白沙湾公园
19、坝光沙滩
20、较场尾（去过）
21、花海间沙滩（去过）
22、桔钓沙
23、杨梅坑沙滩（去过）
24、鹿嘴山庄
～
[星R]蓝天、白云、清澈见底的海水、绝美的风景等着大家去探索～
[向右R]合集里有部分海滩视频哦
          ","https://sns-img-hw.xhscdn.net/62ebe922-bde7-524b-af00-4ec2d3109a32,https://sns-img-hw.xhscdn.net/ddc4fb2f-b94d-af6f-f288-ef9fa867a0c7,https://sns-img-hw.xhscdn.net/a40ce789-8e08-1451-40f9-da46637647cd,https://sns-img-hw.xhscdn.net/0a0f0de9-80f9-70c1-3f9d-7c8780579179,https://sns-img-hw.xhscdn.net/39633bf0-e039-46f0-55c3-655dc506fef8,https://sns-img-hw.xhscdn.net/3f48793a-b6ba-824a-3c11-a36a60997208,https://sns-img-hw.xhscdn.net/abb2f8a9-1a37-9409-159e-f23dba272d2e",https://www.xiaohongshu.com/explore/6499809c000000001300831f
在广东！！为了这条沿海公路愿意来一万次…🌴,"/
等一个自然而然的晴天🌊我想要带你去海边
.
深圳是一座浪漫的海滨城市🏝
周末就该抽个空，远离城市喧嚣 去海边看海 吹风 看日落🌅
整理了一份深圳沿海公路景点攻略，开启周末逃跑计划吧🚗~
/
🔸一日游攻略：
市区出发→玫瑰海岸（海边玩水）→深葵路（沿海公路、栈道）→大鹏所城（吃住）
.
🔻玫瑰海岸
来玫瑰海岸之前我是不抱任何期待的，直到我见到了一望无际的海🌊！海边有很多拍照打卡装置，出片率💯！想玩水的也有指定区域下水，岸边可以搭帐篷⛺️~
🚇：地铁二号线到盐田港西，转公交M199到上洞村站下车
-
🔻深葵路
这条直通大海的公路太美了！5公里长的海边公路，可以选择徒步或骑行沿着山海栈道一路前行，海景视野超开阔~
🚇：万科17英里（自驾停玫瑰海岸）
-
🔻大鹏所城
不一定要去大理丽江，深圳这个古城也很文艺~可以点上一杯咖啡☕️，慢悠悠的在古城转转，也是很巴适~有时间的话晚上可以选择住古镇附近，第二天可以去较场尾玩~
🚇：建议自驾
/
‼️游玩小tips：
1️⃣海边昼夜温差大，记得带多个外套
2️⃣备好防晒霜、玩水多带一双舒服的拖鞋
3️⃣图片拍摄时间是下午2-5点，半天时间也足够玩，一定要挑个晴天时间出发
4️⃣吃海鲜可以提前买团购，避免被🔪
             
        ","https://sns-img-qc.xhscdn.com/34c8dd01-96ee-f2e2-2df1-1d4c003f4f24,https://sns-img-qc.xhscdn.com/c0947c3e-d35e-45cd-2dd2-5510fad68760,https://sns-img-qc.xhscdn.com/98b1bba3-2bb2-2a66-861f-e4149f83c324,https://sns-img-qc.xhscdn.com/206f201c-4f40-ebaa-79c6-6a27d7a86f5d,https://sns-img-qc.xhscdn.com/ff7493b7-bab2-36ad-33d9-26f964761739,https://sns-img-qc.xhscdn.com/48566843-85e3-a4e7-d46b-1083a4cc799f,https://sns-img-qc.xhscdn.com/c560cca4-4e88-e507-197d-ec35e11f1586,https://sns-img-qc.xhscdn.com/0f94098b-1dec-aab9-ba2e-9ce4c0366a44,https://sns-img-qc.xhscdn.com/2b4bc570-a2a6-efc4-4f9a-20bc4f6c103e,https://sns-img-qc.xhscdn.com/0a0bff1a-dc62-73d8-5cab-9aace9d02e87,https://sns-img-qc.xhscdn.com/de414cf5-3b85-2f7f-6608-1fa7a26d44e1,https://sns-img-qc.xhscdn.com/9f5c8647-a71e-0452-424e-3a9a99ea667d,https://sns-img-qc.xhscdn.com/ed606afc-dede-4eac-2041-1db1588bcd82,https://sns-img-qc.xhscdn.com/adcc7441-5b1d-3b8e-9828-350f7f28a94d,https://sns-img-qc.xhscdn.com/ced719e5-2961-a39c-81ec-c1cc25785284",https://www.xiaohongshu.com/explore/651afa16000000001f007abb
