title,desc,image_list,note_url
深圳锦绣中华民俗村，看看表演挺好的,"锦绣中华民俗村值得去吗？带小孩可以学民俗文化、可骑马、射箭、坐船；大人可以休闲逛逛看看表演
	
建议食完早午餐再去，里面的餐厅一般般，没外边的好吃[偷笑R]
	
行程建议：
12:30
门口有观光小火车，买一次票在6点前都可以随时坐。直接游完一整个微缩景区，途中有站可以下车，没下车的话，大约30分钟游一整圈。
	
1:00
民俗村由 20多个村寨的建筑组成，展现不同民族的建筑风格和当地的民俗风情，值得走走逛逛
	
2:00
《扎西德勒秀》藏族舞蹈表演（免费）
要提早15分钟过去，不然没座位，人很多👀
	
✨下一个表演区前边有射箭、骑马体验
	
3:30
《大漠传奇》共30分钟。门票30元。是一场大型马战实景演出，战马、战士在战场上表演，演出挻精彩的，必看！[赞R]
	
还有两场比较大型的表演：
17:00印象中国剧场《东方霓裳》
19:30《龙凤舞中华》
	
      ","https://sns-img-hw.xhscdn.net/384b687d-2d92-d60f-b39f-5bf8e90db08d,https://sns-img-hw.xhscdn.net/fc565805-eb82-ac4f-c7a2-b424ff512837,https://sns-img-hw.xhscdn.net/717593d0-5245-9e04-6754-8ed8b937311f,https://sns-img-hw.xhscdn.net/ceec3d41-624c-45d3-b3d0-6b24d64f6cbf,https://sns-img-hw.xhscdn.net/eb607072-9903-9e77-7c29-56a48652404d,https://sns-img-hw.xhscdn.net/04521dac-c39c-45b7-4633-be849286e6d9,https://sns-img-hw.xhscdn.net/5b811578-b842-cd3b-79f7-1c29d1bc142d,https://sns-img-hw.xhscdn.net/fe1f15fd-5659-32d5-36e5-be045cec07b3,https://sns-img-hw.xhscdn.net/cdab42f7-03dc-348b-c605-c64ea9c88d66,https://sns-img-hw.xhscdn.net/fea13566-f221-1f12-5c63-71a9a2faccc4,https://sns-img-hw.xhscdn.net/233b959b-a281-6f52-113c-90f0b0fafae1,https://sns-img-hw.xhscdn.net/07b2e7c7-c4ad-9744-588f-e771bf4488ee,https://sns-img-hw.xhscdn.net/20ec50a9-fd8c-bd06-87a8-adaa2e2cf0e5",https://www.xiaohongshu.com/explore/65709327000000003a00b949
锦绣中华民俗村,朋友说这是深圳骗外地游客的著名景点哈哈哈[暗中观察R] 我感觉还行 没去过的可以看看 ,"https://sns-img-hw.xhscdn.net/718b75e1-8c5a-9681-894d-e0d2a2f0ddcb,https://sns-img-hw.xhscdn.net/81380a66-8a6b-159e-b989-a978eb2cfab1,https://sns-img-hw.xhscdn.net/c4507c32-75e7-8a2d-e61e-5278a8093311",https://www.xiaohongshu.com/explore/654f7489000000003200a4e9
深圳锦绣中华攻略,"锦绣中华旅游攻略tips
运营时间⏰：
9:30-22:00（周一至周四）
9:30-22:30（周五至周日）
夜场开园时间：18:00
微缩景区晚18：30后部分区域不开放
地址📍：深南大道9005号锦绣中华
地铁🚇：地铁1号线华侨城 D出口
停车费💰：20元
门票🎫：220元💰凭身份证🪪入园
美食🥯：景区里有餐厅🍴，也可以自带一些吃的
👀👀👀👇👇     以下是我总觉得几个亲子👨‍👩‍👦‍👦游完方法：
1.观赏美景：1️⃣园区有82处微缩景观 建筑者82处中国各省的文化地标（北京的故宫天坛 甘肃的莫高窟 四川的乐山大佛 湖北的黄鹤楼 江苏的瘦西湖 福建的土楼 还有著名的万里长城等）
2️⃣民俗村参观 有28个少数民族村寨汇聚一堂（藏族的寺庙 维族的歌舞 哈尼族的木屋 侗族的风雨桥 ）⚠️⚠️⚠️⚠️要是不想走路的话可以选择电瓶小火车 大人是30块钱1.3以下的小孩子的免费的 不限次数
2.表演观看：1️⃣大漠传奇 是下午三点 影视特技实战马秀是必看的项目之一，带你走近古代边塞的不朽传奇、把民族性和艺术性都结合起来啦！之前去的时候感觉小朋友们的欢呼声和爆破声真的是太精彩 太刺激了2️⃣东方霓裳 展示着华夏各民族的服饰👘之美
3.风情水上游、坐乌篷船🛶🛶大人20元/次，全程20分钟，看烟雾💨缭绕的江南美景🎆 ，大人也可以好好的放松身心 欢乐对对碰平时也是免费的哟！它不像碰碰车那种激烈而是柔和出水花💦，自我感觉还是很好玩的
              ","https://sns-img-bd.xhscdn.com/ad70c4d4-2aac-132e-33fa-0a436577ee7c,https://sns-img-bd.xhscdn.com/31f14e41-2999-2cc3-1a6c-2da4dcbd5e48,https://sns-img-bd.xhscdn.com/9dee2a73-7058-6b89-5b3a-1fc8254847a2,https://sns-img-bd.xhscdn.com/9b39eaca-ad09-7b73-9a9c-1b35a17abf1b,https://sns-img-bd.xhscdn.com/daa18592-cb2d-d642-46cb-047b75ef9e23,https://sns-img-bd.xhscdn.com/2c4816e5-0c01-de8d-512a-eb5511d4b98f,https://sns-img-bd.xhscdn.com/be50fc13-cc5b-89e2-fbc8-f1312eb821a5,https://sns-img-bd.xhscdn.com/9a14e4cd-3de3-5742-be0c-7618f5f1eb4a,https://sns-img-bd.xhscdn.com/f5faf29a-4cf1-b364-1e21-5417d2f65a9d,https://sns-img-bd.xhscdn.com/91ac78cb-776e-314e-8474-72b740e78d94,https://sns-img-bd.xhscdn.com/d640c0a4-c055-8d1a-4977-8061f7d41481",https://www.xiaohongshu.com/explore/65531933000000001b00e6ef
锦绣中华民族村避坑指南,"这个景区包含两个部分：1.锦绣中华2.民俗村，春节期间的活动大部分都在民俗村而不在锦绣中华里，锦绣中华只有微缩景观和潮汕美食一条街。
我是早上9:30（9点就可以入园了）入园的我进来之后先去了微缩景观，微缩景观园进去第一个是九龙壁。有一些博主推荐先去布达拉宫，但是我因为进去的时候没有找到路就按照地图上的序号走了。景区导览图上面的序号可能不是很连贯，建议大家自己找到一个方向照着路旁的标志走（有想看的景点建议自己提前在地图上标注出来，不然有可能自己走过了都不知道还要再走回头路）。
11点开始民俗村就开始有活动了，要是想参加、观看这些活动的建议自己提前规划好微缩景观的行程。我在微缩景观区逛了1个半小时。民俗村的活动都很有趣，主要是要把各村寨的位置搞清楚，不然会走很多冤枉路。建议大家提前15-20分钟到观看位置不然真的很难占到好位置。大漠传奇（30）东方霓裳（30）盛世欢歌（20）这三个表演是需要额外花钱买票的。快闪演出我去看了杂技，大戏台在脸谱路直走正新鸡排旁边，这个地方椅子很少，要是不想站着看建议提前半个小时去占座。英歌贺新春是一个游走型的演出每天三场地点不同还是要注意一下。这三个村寨我个人觉得不是很好找：1.摩梭寨沿着民俗村主路一直走走过美女花灯就是摩梭寨，摩梭人库史的表演是在门口的草地上。2.纳西寨，纳西寨就在摩梭寨旁边往侏罗纪方向，仔细注意一下，纳西寨可以体验古法造纸但是位置比较少要是想尝试的还是建议早一点到。3.哈尼米索扎就是民俗村主路上有一个往下流水（看着像一个小瀑布）的地方，下面还放了几排白色的鼓。
交通：1号地铁华侨城站D口出来就是入口了，
预约：网上买票之后还要去锦绣中华民俗村的微信公众号预约，到现场之后拿着身份证直接入园就可以了。
园区里物价比较贵可乐8块一瓶水6块一瓶，所以我觉得还是自己带比较划算。
我看到有的博主说园区里有一些服务人员态度不好，我确实遇到了几个态度不好的服务人员，但是我见到的穿着粉灰色工作服的工作人员还都是很热情的，园区里几百个工作人员总会有脾气不好的，希望不要因为这种小事影响了大家出去玩的心情。
我逛了一天下来还是很累的，所以建议还是穿运动鞋。
希望我的这些亲身感受可以帮助大家，要是还有什么疑问可以留言或者私信问我。  ","https://sns-img-hw.xhscdn.net/34a236d3-7271-eef8-6287-e56a05b3bd25,https://sns-img-hw.xhscdn.net/b404d7f7-840c-5987-cc51-2a8c36b2328c,https://sns-img-hw.xhscdn.net/bf7198dc-4367-21ff-f0d8-d2a79d3e7e75,https://sns-img-hw.xhscdn.net/08ccbca4-2476-b54a-e79b-ee5d887b6db8,https://sns-img-hw.xhscdn.net/ce67d557-2584-468f-5d65-0a710808629d",https://www.xiaohongshu.com/explore/63cd2c5b000000001f00182b
定制玩偶 锦绣中华景区,"第五届锦绣灯会嘉年华
看到各平台已经在做游玩攻略
细心的小伙伴拍到小龙女了
感谢返图~
周边衍生品陆续上市中
         ","https://sns-img-bd.xhscdn.com/b44bda6f-5709-ad0f-e0de-4f5b13008d1c,https://sns-img-bd.xhscdn.com/0a980562-9fa6-0133-96be-9bb70ba4435e,https://sns-img-bd.xhscdn.com/e45566b7-fb24-7468-85b8-bdb32a4f5b21,https://sns-img-bd.xhscdn.com/cbd0dc74-f185-8cf4-6f1f-65e92679e8a1",https://www.xiaohongshu.com/explore/6568173b000000003802e0dd
2024年深圳跨年打卡点🔥公主请参考~,"盘点今年在深圳圣诞跨年游有意思的打卡活动，uu们可参考选择哦~🥳
-
🔵 深圳欢乐海岸水秀剧场
⏰时间：20:00—20:50ㅤ
📍 地址：欢乐海岸水秀剧场(深圳市南山区白石路东8号)ㅤ
🚇交通：地铁9号线深圳湾公园站E出口
✅提示：因水秀剧场为露天剧场，如遇到天气等不可抗因素可能会取消
-ㅤ
🔵深圳世界之窗烟花气球雨
⏰时间：12月24日及12月31日，21:00
📍 地址：广东省深圳市南山区深南大道9037号ㅤ
🚇交通：1号线(罗宝线)、2号线(蛇口线)可以直达
✅提示：文明游玩，遵守秩序
-ㅤ
🔵 深圳锦绣中华跨年夜活动
⏰时间：9:00-22:30
📍 地址：深圳市南山区深南大道9003号锦绣中华民俗村内ㅤ
🚇交通：1号线在华侨城站下车，然后走D出口出站
✅提示：华灯初上，建议眼睛视线敏感者带上墨镜
-ㅤ
🔵 甘坑奇幻夜
⏰时间：17:30-21:00
📍 地址：龙岗区布吉街道甘坑社区甘李路18号ㅤ
🚇交通：地铁10号线甘坑地铁站下车，然后转公交前往
✅提示：古风妆造备好
-ㅤ
深圳还有哪些跨年打卡点欢迎补充哟~😎ㅤ
@城市情报官 @走走薯 @生活薯 @薯队长ㅤ
         ","https://sns-img-hw.xhscdn.net/74620ec3-a43a-b120-41e5-0540389a89c6,https://sns-img-hw.xhscdn.net/f864f7e9-833b-c261-7d05-f9efe3a6901d,https://sns-img-hw.xhscdn.net/6f53eba2-867a-883e-40d5-fd516e28ed6a,https://sns-img-hw.xhscdn.net/adcad457-a647-beba-ec2e-34fe9bd1d8f2,https://sns-img-hw.xhscdn.net/b127b8fd-f78d-300f-a0cd-2405332452f9",https://www.xiaohongshu.com/explore/657cdc000000000009021515
深圳旅游｜深圳必打卡10个景点合集,"
来，总想去某个知名景点打卡，也给回忆留下一小片天地；关于深圳值得打卡的景点都在这里了……
～
🌞出行必备
1⃣️证件：身份证、学生证、老年证、残疾证等；
2⃣️衣物：短裙、短裤、薄外套、运动鞋、平底鞋等；
3⃣️防晒：防晒霜、太阳帽、墨镜等；
4⃣️电器：充电宝、充电器、充电线、手机等；
5⃣️护肤类：化妆品、卸妆品、洗面奶、口红等；
～
🌞深圳交通
1⃣️VX小程序搜索：深圳通，获取乘车码；或者下载深圳通APP，乘车；
2⃣️VX关注：车来了，可以查询你要上的那班车；
3⃣️出租车：白天起步价10元，2.7元/公里；
4⃣️快车：可以用下载的地图APP打车，也可以叫车、花小猪打车、阳光出行等；
～
🌞深圳可参考美食
火爆重庆的（白石洲店）、沙井蚝、公明烧鹅、肠粉、车仔面、光明乳鸽等……
～
🌞必打卡景点合集
NO.1⃣️：中国著名的缩微景区(类似北京世界公园)，把世界奇观、历史遗迹、等融为一体的人造主题公园；
NO.2⃣️：被叫做""小人国""真实体现着大部分建筑的原景观风格和艺术价值；
NO.3⃣️：一共有100多个娱乐项目，一天都玩不够；
NO.4⃣️：以科研、科普为一体的主题公园；
NO.5⃣️：看日出、沿岸骑行、看日落晚霞等，是一处不错的度假胜地；
NO.6⃣️：来深圳必去的要卡地，可以游泳、沙滩等；
NO.7⃣️：鹏城第一高峰，可以看日出云海；
NO.8⃣️：感受一座城市的发展历史，文化底蕴深厚；
NO.9⃣️：是深圳最早、规模最大的商圈；
NO.🔟：被誉为深圳十大客家古村落之一；坑客家小镇：被誉为深圳十大客家古村落之一；
～
       ","https://sns-img-hw.xhscdn.net/f95c1ff9-0b57-fa1b-bc89-3ded72b6beb9,https://sns-img-hw.xhscdn.net/70456726-b7aa-75c1-e51c-4ea89ceba4c7,https://sns-img-hw.xhscdn.net/b2a90246-7a11-1c51-1bfd-00e36dc16018,https://sns-img-hw.xhscdn.net/aaff947d-25f3-4324-ee2b-0fdb7a60f2e5,https://sns-img-hw.xhscdn.net/f8636bde-6344-babc-6418-6c35633d1c7b,https://sns-img-hw.xhscdn.net/9adb675e-1654-4ffd-80fd-bc115ee33184,https://sns-img-hw.xhscdn.net/a355b52e-43f0-bba2-c631-a33db3b577d8,https://sns-img-hw.xhscdn.net/b83a48c7-8568-ff56-ba3c-8df692856820,https://sns-img-hw.xhscdn.net/7407d9a9-9ee6-dd03-1c7f-f688aabf4a73",https://www.xiaohongshu.com/explore/6412ddbb0000000013013190
第一次去锦绣中华玩夜场，如何游玩值回票价,  ,https://sns-img-bd.xhscdn.com/e683ddfc-ee1d-d894-b899-0c66cbf44073,https://www.xiaohongshu.com/explore/64f2ac99000000001e032e68
深圳锦绣中华民俗村真的不要去！,"真的不要去！！！又热又冷清又贵！票价还不如去长隆玩的值得！
	
第一次去锦绣中华还是十年前读高中，十年前还是挺好玩的，可能那个时候玩的也不多。
	
先说门票：成人220元/人，美团大概210元/人，小朋友110元/人（里面还有很多自费项目，比如小火车30元/人、坐船20元/人，看马的表演也是要收费的）
	
再说景区：景区分为两个部门，一个是微景观比如长城、故宫等。我只能用破破烂烂来形容，有些微景观没有人打理，如果你想去可以做免费水上小火车，会有讲解。
	
一个是民俗村，这个以前还是很多工作人员在不同的寨子，现在已经是一片荒凉，大白天我都不敢进去，人也没有一个。走一圈全当散步运动…..
	
唯一觉得还值得的就是东方霓裳那个表演秀，前五排需要收费80元/人。座位也是破破烂烂，夹杂着一股陈旧的味道。
	
如果暑假你想去玩，千万不要买白天的场，可以买夜场，才六七十元，可以参加泼水节活动，晚上这个活动人比较多。记得带好泳衣、拖鞋、小盆子。","https://sns-img-bd.xhscdn.com/8faab669-9220-871e-9698-8d587c080bb4,https://sns-img-bd.xhscdn.com/8818487f-84b0-07d6-ad7f-c7f8ec721b70,https://sns-img-bd.xhscdn.com/dd2e0f40-de52-0db5-74bd-84d16680bbcb,https://sns-img-bd.xhscdn.com/860c0131-16de-3116-7c15-dfd244f0c83e,https://sns-img-bd.xhscdn.com/c47029b1-2d56-6353-a2df-95eb8c582624,https://sns-img-bd.xhscdn.com/fefec747-d856-451c-2ba6-cba7f03d16e0",https://www.xiaohongshu.com/explore/64cf9740000000000103e937
景点太坑了|答应我别去锦绣中华了好吗,"答应我千万别去深圳“锦绣中华民俗村”了。真的太坑了。
👉D音59.9特价门票和正价门票不一样，有些节目是另付费的。
👉环游班车也是收费的30-80（一直开中途不停）微缩景观本来就很迷你，所以坐车看不到什么。建议走路游玩；（有钱可以租那种计时的车80一小时）
👉部分微缩景观破败不堪，无人维修
👉景观上面孩子乱爬，无人维护，全靠自觉
👉假花漫野；卫生环境极差；
👉人多娃多，女生公厕至少排队20分钟；
👉景区里面的美食又贵又难吃；
👉晚上7点的节目没有以前的好看了，千篇一律。
  ",https://sns-img-bd.xhscdn.com/309e6a3c-88fd-7b75-e9be-bd62aadc17a6,https://www.xiaohongshu.com/explore/63fecdf90000000027001440
